player,season,league,team,position,outfielder_goalkeeper,age,country,weekly_gross_base_salary_gbp,annual_gross_base_salary_gbp,adj_current_gross_base_salary_gbp,estimated_gross_total_gbp,current_contract_status,current_contract_expiration,current_contract_length
Albian Ajeti,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,19,Switzerland,0,0,0,,nan,,
Alexander Esswein,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,26,Germany,12919,671795,696824,,nan,,
Alfred Finnbogason,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,27,Iceland,0,0,0,,nan,,
Andreas Luthe,2016-2017,Bundesliga,Augsburg,Goalkeeper,Goalkeeper,29,Germany,5939,308881,320389,,nan,,
Caiuby,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,27,Brazil,12919,671795,696824,,nan,,
Christoph Janker,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,31,Germany,7325,380924,395116,,nan,,
Daniel Baier,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,32,Germany,16573,861807,893916,,nan,,
Daniel Opare,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,25,Ghana,0,0,0,,nan,,
Dominik Kohr,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,22,Germany,12919,671795,696824,,nan,,
Dong-won Ji,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,25,South Korea,17248,896927,930345,,nan,,
Erik Thommy,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,21,Germany,0,0,0,,nan,,
Georg Teigl,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,25,Austria,8260,429552,445557,,nan,,
Gojko Kacar,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,29,Serbia,12919,671795,696824,,nan,,
Halil Altintop,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,33,Turkey,12919,671795,696824,,nan,,
Ioannis Gelios,2016-2017,Bundesliga,Augsburg,Goalkeeper,Goalkeeper,24,Greece,553,28816,29890,,nan,,
Ja-cheol Koo,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,27,South Korea,19898,1034708,1073259,,nan,,
Jan Morávek,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,26,Czech Republic,0,0,0,,nan,,
Jan-Ingwer Callsen-Bracker,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,31,Germany,12919,671795,696824,,nan,,
Jeffrey Gouweleeuw,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,24,Netherlands,16573,861807,893916,,nan,,
Jonathan Schmid,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,26,France,19898,1034708,1073259,,nan,,
Julian Günther-Schmidt,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,21,Germany,433,22513,23351,,nan,,
Kevin Danso,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,17,Austria,34,1801,1868,,nan,,
Konstantinos Stafylidis,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,22,Greece,0,0,0,,nan,,
Marco Schuster,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,20,Germany,553,28816,29890,,nan,,
Markus Feulner,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,34,Germany,12919,671795,696824,,nan,,
Martin Hinteregger,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,23,Austria,19898,1034708,1073259,,nan,,
Marvin Friedrich,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,20,Germany,7325,380924,395116,,nan,,
Marwin Hitz,2016-2017,Bundesliga,Augsburg,Goalkeeper,Goalkeeper,28,Switzerland,12919,671795,696824,,nan,,
Moritz Leitner,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,23,Germany,12919,671795,696824,,nan,,
Paul Verhaegh,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,32,Netherlands,12919,671795,696824,,nan,,
Philipp Max,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,22,Germany,6598,343101,355884,,nan,,
Raphael Framberger,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,20,Germany,658,34220,35495,,nan,,
Raúl Bobadilla,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,29,Paraguay,17248,896927,930345,,nan,,
Shawn Parker,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,23,Germany,0,0,0,,nan,,
Takashi Usami,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,24,Japan,12919,671795,696824,,nan,,
Tim Matavz,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,27,Slovenia,0,0,0,,nan,,
Tim Rieder,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,22,Germany,519,27015,28022,,nan,,
Admir Mehmedi,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,25,Switzerland,33042,1718211,1782228,,nan,,
Aleksandar Dragovic,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,25,Austria,49720,2585421,2681749,,nan,,
Andrejs Ciganiks,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,19,Latvia,0,0,0,,nan,,
André Ramalho,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,24,Brazil,24868,1293161,1341341,,nan,,
Atakan Akkaynak,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,17,Germany,1714,89152,92474,,nan,,
Benjamin Henrichs,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,19,Germany,3879,201718,209234,,nan,,
Bernd Leno,2016-2017,Bundesliga,Bayer Leverkusen,Goalkeeper,Goalkeeper,24,Germany,57806,3005969,3117965,,nan,,
Charles Aránguiz,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,27,Chile,49131,2554803,2649990,,nan,,
Chicharito,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,28,Mexico,0,0,0,,nan,,
Danny da Costa,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,22,Germany,11568,601554,623966,,nan,,
Hakan Calhanoglu,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,22,Turkey,0,0,0,,nan,,
Joel Abu Hanna,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,18,Germany,1714,89152,92474,,nan,,
Joel Pohjanpalo,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,21,Finland,11568,601554,623966,,nan,,
Jonathan Tah,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,20,Germany,19898,1034708,1073259,,nan,,
Julian Baumgartlinger,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,28,Austria,33042,1718211,1782228,,nan,,
Julian Brandt,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,20,Germany,16521,859105,891114,,nan,,
Kai Havertz,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,17,Germany,3879,201718,209234,,nan,,
Karim Bellarabi,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,26,Germany,66292,3447228,3575665,,nan,,
Kevin Kampl,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,25,Slovenia,41285,2146863,2226851,,nan,,
Kevin Volland,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,23,Germany,82589,4294627,4454636,,nan,,
Kyriakos Papadopoulos,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,24,Greece,49720,2585421,2681749,,nan,,
Lars Bender,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,27,Germany,66361,3450830,3579401,,nan,,
Leon Bailey,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,18,Jamaica,33180,1725415,1789700,,nan,,
