,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Kevin Volland,"€ 91,712","€ 4,769,000","€ 4,946,683",F,23,Germany,Bayer Leverkusen,Bundesliga,2016-2017
1,Lars Bender,"€ 73,692","€ 3,832,000","€ 3,974,772",M,27,Germany,Bayer Leverkusen,Bundesliga,2016-2017
2,Stefan Kießling,"€ 73,692","€ 3,832,000","€ 3,974,772",F,32,Germany,Bayer Leverkusen,Bundesliga,2016-2017
3,Karim Bellarabi,"€ 73,615","€ 3,828,000","€ 3,970,623",F,26,Germany,Bayer Leverkusen,Bundesliga,2016-2017
4,Bernd Leno,"€ 64,192","€ 3,338,000","€ 3,462,367",K,24,Germany,Bayer Leverkusen,Bundesliga,2016-2017
5,Kyriakos Papadopoulos,"€ 55,212","€ 2,871,000","€ 2,977,968",D,24,Greece,Bayer Leverkusen,Bundesliga,2016-2017
6,Aleksandar Dragovic,"€ 55,212","€ 2,871,000","€ 2,977,968",D,25,Austria,Bayer Leverkusen,Bundesliga,2016-2017
7,Charles Aránguiz,"€ 54,558","€ 2,837,000","€ 2,942,701",M,27,Chile,Bayer Leverkusen,Bundesliga,2016-2017
8,Ömer Toprak,"€ 45,846","€ 2,384,000","€ 2,472,823",D,26,Turkey,Bayer Leverkusen,Bundesliga,2016-2017
9,Kevin Kampl,"€ 45,846","€ 2,384,000","€ 2,472,823",M,25,Slovenia,Bayer Leverkusen,Bundesliga,2016-2017
10,Leon Bailey,"€ 36,846","€ 1,916,000","€ 1,987,386",F,18,Jamaica,Bayer Leverkusen,Bundesliga,2016-2017
11,Wendell,"€ 36,808","€ 1,914,000","€ 1,985,312",D,22,Brazil,Bayer Leverkusen,Bundesliga,2016-2017
12,Admir Mehmedi,"€ 36,692","€ 1,908,000","€ 1,979,088",F,25,Switzerland,Bayer Leverkusen,Bundesliga,2016-2017
13,Julian Baumgartlinger,"€ 36,692","€ 1,908,000","€ 1,979,088",M,28,Austria,Bayer Leverkusen,Bundesliga,2016-2017
14,André Ramalho,"€ 27,615","€ 1,436,000","€ 1,489,502",D,24,Brazil,Bayer Leverkusen,Bundesliga,2016-2017
15,Tin Jedvaj,"€ 27,519","€ 1,431,000","€ 1,484,316",D,20,Croatia,Bayer Leverkusen,Bundesliga,2016-2017
16,Jonathan Tah,"€ 22,096","€ 1,149,000","€ 1,191,809",D,20,Germany,Bayer Leverkusen,Bundesliga,2016-2017
17,Roberto Hilbert,"€ 21,462","€ 1,116,000","€ 1,157,580",D,31,Germany,Bayer Leverkusen,Bundesliga,2016-2017
18,Julian Brandt,"€ 18,346","€ 954,000","€ 989,544",F,20,Germany,Bayer Leverkusen,Bundesliga,2016-2017
19,Ramazan Özcan,"€ 14,346","€ 746,000","€ 773,794",K,32,Austria,Bayer Leverkusen,Bundesliga,2016-2017
20,Joel Pohjanpalo,"€ 12,846","€ 668,000","€ 692,888",F,21,Finland,Bayer Leverkusen,Bundesliga,2016-2017
21,Danny da Costa,"€ 12,846","€ 668,000","€ 692,888",D,22,Germany,Bayer Leverkusen,Bundesliga,2016-2017
22,Vladlen Yurchenko,"€ 9,173","€ 477,000","€ 494,772",M,22,Ukraine,Bayer Leverkusen,Bundesliga,2016-2017
23,Kai Havertz,"€ 4,308","€ 224,000","€ 232,346",M,17,Germany,Bayer Leverkusen,Bundesliga,2016-2017
24,Benjamin Henrichs,"€ 4,308","€ 224,000","€ 232,346",D,19,Germany,Bayer Leverkusen,Bundesliga,2016-2017
25,Niklas Lomb,"€ 2,385","€ 124,000","€ 128,620",K,22,Germany,Bayer Leverkusen,Bundesliga,2016-2017
26,Atakan Akkaynak,"€ 1,904","€ 99,000","€ 102,689",M,17,Germany,Bayer Leverkusen,Bundesliga,2016-2017
27,Joel Abu Hanna,"€ 1,904","€ 99,000","€ 102,689",D,18,Germany,Bayer Leverkusen,Bundesliga,2016-2017
28,Paterson Chato,€ 0,€ 0,€ 0,M,19,Germany,Bayer Leverkusen,Bundesliga,2016-2017
29,Patrik Dzalto,€ 0,€ 0,€ 0,F,19,Croatia,Bayer Leverkusen,Bundesliga,2016-2017
30,Chicharito,€ 0,€ 0,€ 0,F,28,Mexico,Bayer Leverkusen,Bundesliga,2016-2017
31,Robbie Kruse,€ 0,€ 0,€ 0,F,27,Australia,Bayer Leverkusen,Bundesliga,2016-2017
32,Hakan Calhanoglu,€ 0,€ 0,€ 0,F,22,Turkey,Bayer Leverkusen,Bundesliga,2016-2017
33,Robin Becker,€ 0,€ 0,€ 0,D,19,Germany,Bayer Leverkusen,Bundesliga,2016-2017
34,Seung-uh Ryu,€ 0,€ 0,€ 0,M,22,South Korea,Bayer Leverkusen,Bundesliga,2016-2017
35,Andrejs Ciganiks,€ 0,€ 0,€ 0,F,19,Latvia,Bayer Leverkusen,Bundesliga,2016-2017
36,Lukas Boeder,€ 0,€ 0,€ 0,D,19,Germany,Bayer Leverkusen,Bundesliga,2016-2017
37,Marc Brasnic,€ 0,€ 0,€ 0,F,19,Croatia,Bayer Leverkusen,Bundesliga,2016-2017
38,Marlon Frey,€ 0,€ 0,€ 0,M,20,Germany,Bayer Leverkusen,Bundesliga,2016-2017
