,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Bartosz Kapustka,"€ 33,327","€ 1,733,000","€ 1,766,961",M,20,Poland,Freiburg,Bundesliga,2017-2018
1,Yoric Ravet,"€ 19,038","€ 990,000","€ 1,009,401",F,27,France,Freiburg,Bundesliga,2017-2018
2,Nils Petersen,"€ 15,192","€ 790,000","€ 805,481",F,28,Germany,Freiburg,Bundesliga,2017-2018
3,Aleksandar Ignjovski,"€ 14,846","€ 772,000","€ 787,129",M,26,Serbia,Freiburg,Bundesliga,2017-2018
4,Christian Günter,"€ 14,846","€ 772,000","€ 787,129",D,24,Germany,Freiburg,Bundesliga,2017-2018
5,Florian Niederlechner,"€ 14,846","€ 772,000","€ 787,129",F,26,Germany,Freiburg,Bundesliga,2017-2018
6,Marco Terrazzino,"€ 14,846","€ 772,000","€ 787,129",F,26,Germany,Freiburg,Bundesliga,2017-2018
7,Rafal Gikiewicz,"€ 14,846","€ 772,000","€ 787,129",K,29,Poland,Freiburg,Bundesliga,2017-2018
8,Robin Koch,"€ 14,846","€ 772,000","€ 787,129",D,20,Germany,Freiburg,Bundesliga,2017-2018
9,Pascal Stenzel,"€ 13,327","€ 693,000","€ 706,581",D,21,Germany,Freiburg,Bundesliga,2017-2018
10,Gaëtan Bussmann,"€ 13,288","€ 691,000","€ 704,541",D,26,France,Freiburg,Bundesliga,2017-2018
11,Mike Frantz,"€ 13,288","€ 691,000","€ 704,541",M,30,Germany,Freiburg,Bundesliga,2017-2018
12,Philipp Lienhart,"€ 12,808","€ 666,000","€ 679,051",D,20,Austria,Freiburg,Bundesliga,2017-2018
13,Amir Abrashi,"€ 11,885","€ 618,000","€ 630,111",M,27,Albania,Freiburg,Bundesliga,2017-2018
14,Julian Schuster,"€ 11,885","€ 618,000","€ 630,111",M,32,Germany,Freiburg,Bundesliga,2017-2018
15,Nicolas Höfler,"€ 11,423","€ 594,000","€ 605,641",M,27,Germany,Freiburg,Bundesliga,2017-2018
16,Alexander Schwolow,"€ 11,385","€ 592,000","€ 603,601",K,25,Germany,Freiburg,Bundesliga,2017-2018
17,Janik Haberer,"€ 9,904","€ 515,000","€ 525,092",M,23,Germany,Freiburg,Bundesliga,2017-2018
18,Georg Niedermeier,"€ 9,904","€ 515,000","€ 525,092",D,31,Germany,Freiburg,Bundesliga,2017-2018
19,Manuel Gulde,"€ 9,115","€ 474,000","€ 483,289",D,26,Germany,Freiburg,Bundesliga,2017-2018
20,Lucas Höler,"€ 8,904","€ 463,000","€ 472,073",F,22,Germany,Freiburg,Bundesliga,2017-2018
21,Vincent Sierro,"€ 8,423","€ 438,000","€ 446,583",M,21,Switzerland,Freiburg,Bundesliga,2017-2018
22,Patric Klandt,"€ 8,423","€ 438,000","€ 446,583",K,33,Germany,Freiburg,Bundesliga,2017-2018
23,Jonas Meffert,"€ 7,596","€ 395,000","€ 402,741",M,22,Germany,Freiburg,Bundesliga,2017-2018
24,Karim Guédé,"€ 5,942","€ 309,000","€ 315,055",F,32,Slovakia,Freiburg,Bundesliga,2017-2018
25,Tim Kleindienst,"€ 5,942","€ 309,000","€ 315,055",F,21,Germany,Freiburg,Bundesliga,2017-2018
26,Patrick Kammerbauer,"€ 4,962","€ 258,000","€ 263,056",M,20,Germany,Freiburg,Bundesliga,2017-2018
27,Lukas Kübler,"€ 4,962","€ 258,000","€ 263,056",D,24,Germany,Freiburg,Bundesliga,2017-2018
28,Florian Kath,"€ 4,462","€ 232,000","€ 236,546",F,22,Germany,Freiburg,Bundesliga,2017-2018
29,Caleb Stanko,"€ 1,981","€ 103,000","€ 105,018",M,23,United States,Freiburg,Bundesliga,2017-2018
30,Mohamed Dräger,€ 788,"€ 41,000","€ 41,803",D,21,Tunisia,Freiburg,Bundesliga,2017-2018
31,Caglar Söyüncü,€ 0,€ 0,€ 0,D,21,Turkey,Freiburg,Bundesliga,2017-2018
32,Onur Bulut,€ 0,€ 0,€ 0,F,23,Germany,Freiburg,Bundesliga,2017-2018
33,Chima Okoroji,€ 0,€ 0,€ 0,D,20,England,Freiburg,Bundesliga,2017-2018
34,Ryan Kent,€ 0,€ 0,€ 0,F,20,England,Freiburg,Bundesliga,2017-2018
35,Marc Oliver Kempf,€ 0,€ 0,€ 0,D,22,Germany,Freiburg,Bundesliga,2017-2018
