,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Raffael,"€ 75,942","€ 3,949,000","€ 4,026,388",F,32,Brazil,Monchengladbach,Bundesliga,2017-2018
1,Christoph Kramer,"€ 57,154","€ 2,972,000","€ 3,030,242",M,26,Germany,Monchengladbach,Bundesliga,2017-2018
2,Lars Stindl,"€ 56,962","€ 2,962,000","€ 3,020,046",F,28,Germany,Monchengladbach,Bundesliga,2017-2018
3,Matthias Ginter,"€ 56,962","€ 2,962,000","€ 3,020,046",D,23,Germany,Monchengladbach,Bundesliga,2017-2018
4,Ibrahima Traoré,"€ 51,442","€ 2,675,000","€ 2,727,421",F,29,Guinea,Monchengladbach,Bundesliga,2017-2018
5,Josip Drmic,"€ 47,615","€ 2,476,000","€ 2,524,522",F,24,Switzerland,Monchengladbach,Bundesliga,2017-2018
6,Jannik Vestergaard,"€ 47,462","€ 2,468,000","€ 2,516,365",D,24,Denmark,Monchengladbach,Bundesliga,2017-2018
7,Fabian Johnson,"€ 47,462","€ 2,468,000","€ 2,516,365",F,29,United States,Monchengladbach,Bundesliga,2017-2018
8,Yann Sommer,"€ 47,462","€ 2,468,000","€ 2,516,365",K,28,Switzerland,Monchengladbach,Bundesliga,2017-2018
9,Patrick Herrmann,"€ 38,096","€ 1,981,000","€ 2,019,821",F,26,Germany,Monchengladbach,Bundesliga,2017-2018
10,Denis Zakaria,"€ 38,096","€ 1,981,000","€ 2,019,821",M,20,Switzerland,Monchengladbach,Bundesliga,2017-2018
11,Vincenzo Grifo,"€ 37,962","€ 1,974,000","€ 2,012,684",F,24,Italy,Monchengladbach,Bundesliga,2017-2018
12,Tony Jantschke,"€ 37,654","€ 1,958,000","€ 1,996,371",D,27,Germany,Monchengladbach,Bundesliga,2017-2018
13,Thorgan Hazard,"€ 30,481","€ 1,585,000","€ 1,616,061",F,24,Belgium,Monchengladbach,Bundesliga,2017-2018
14,Oscar Wendt,"€ 28,577","€ 1,486,000","€ 1,515,121",D,31,Sweden,Monchengladbach,Bundesliga,2017-2018
15,Nico Elvedi,"€ 28,577","€ 1,486,000","€ 1,515,121",D,20,Switzerland,Monchengladbach,Bundesliga,2017-2018
16,Jonas Hofmann,"€ 28,481","€ 1,481,000","€ 1,510,023",M,24,Germany,Monchengladbach,Bundesliga,2017-2018
17,Raúl Bobadilla,"€ 28,481","€ 1,481,000","€ 1,510,023",F,30,Paraguay,Monchengladbach,Bundesliga,2017-2018
18,Reece Oxford,"€ 22,231","€ 1,156,000","€ 1,178,654",D,18,England,Monchengladbach,Bundesliga,2017-2018
19,Tobias Strobl,"€ 18,981","€ 987,000","€ 1,006,342",M,27,Germany,Monchengladbach,Bundesliga,2017-2018
20,Tobias Sippel,"€ 11,385","€ 592,000","€ 603,601",K,29,Germany,Monchengladbach,Bundesliga,2017-2018
21,Mamadou Doucouré,"€ 4,462","€ 232,000","€ 236,546",D,19,France,Monchengladbach,Bundesliga,2017-2018
22,Julio Villalba,"€ 4,462","€ 232,000","€ 236,546",F,18,Paraguay,Monchengladbach,Bundesliga,2017-2018
23,Lászlo Bénes,"€ 4,462","€ 232,000","€ 236,546",M,19,Slovakia,Monchengladbach,Bundesliga,2017-2018
24,Moritz Nicolas,"€ 1,981","€ 103,000","€ 105,018",K,19,Germany,Monchengladbach,Bundesliga,2017-2018
25,Ba-Muaka Simakala,"€ 1,712","€ 89,000","€ 90,744",F,20,Germany,Monchengladbach,Bundesliga,2017-2018
26,Mandela Egbo,"€ 1,481","€ 77,000","€ 78,509",D,19,England,Monchengladbach,Bundesliga,2017-2018
27,Aaron Herzog,€ 788,"€ 41,000","€ 41,803",M,19,Germany,Monchengladbach,Bundesliga,2017-2018
28,Marcel Benger,€ 788,"€ 41,000","€ 41,803",M,18,Germany,Monchengladbach,Bundesliga,2017-2018
29,Justin Hoffmanns,€ 788,"€ 41,000","€ 41,803",D,20,Germany,Monchengladbach,Bundesliga,2017-2018
30,Florian Mayer,€ 788,"€ 41,000","€ 41,803",D,19,Germany,Monchengladbach,Bundesliga,2017-2018
31,Jordan Beyer,€ 0,€ 0,€ 0,D,17,Germany,Monchengladbach,Bundesliga,2017-2018
32,Michaël Cuisance,€ 0,€ 0,€ 0,M,17,France,Monchengladbach,Bundesliga,2017-2018
33,Kwame Yeboah,€ 0,€ 0,€ 0,F,23,Australia,Monchengladbach,Bundesliga,2017-2018
34,Christofer Heimeroth,€ 0,€ 0,€ 0,K,35,Germany,Monchengladbach,Bundesliga,2017-2018
