,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Robert Lewandowski,"€ 306,654","€ 15,946,000","€ 16,026,797",F,29,Poland,Bayern Munich,Bundesliga,2018-2019
1,Manuel Neuer,"€ 288,462","€ 15,000,000","€ 15,076,003",K,32,Germany,Bayern Munich,Bundesliga,2018-2019
2,Thomas Müller,"€ 287,481","€ 14,949,000","€ 15,024,745",F,28,Germany,Bayern Munich,Bundesliga,2018-2019
3,James Rodríguez,"€ 249,154","€ 12,956,000","€ 13,021,647",M,26,Colombia,Bayern Munich,Bundesliga,2018-2019
4,Jérôme Boateng,"€ 229,981","€ 11,959,000","€ 12,019,595",D,29,Germany,Bayern Munich,Bundesliga,2018-2019
5,Thiago,"€ 229,981","€ 11,959,000","€ 12,019,595",M,27,Spain,Bayern Munich,Bundesliga,2018-2019
6,Franck Ribéry,"€ 229,981","€ 11,959,000","€ 12,019,595",F,35,France,Bayern Munich,Bundesliga,2018-2019
7,Mats Hummels,"€ 191,654","€ 9,966,000","€ 10,016,497",D,29,Germany,Bayern Munich,Bundesliga,2018-2019
8,David Alaba,"€ 191,654","€ 9,966,000","€ 10,016,497",D,26,Austria,Bayern Munich,Bundesliga,2018-2019
9,Kingsley Coman,"€ 153,846","€ 8,000,000","€ 8,040,535",F,22,France,Bayern Munich,Bundesliga,2018-2019
10,Leon Goretzka,"€ 153,846","€ 8,000,000","€ 8,040,535",M,23,Germany,Bayern Munich,Bundesliga,2018-2019
11,Joshua Kimmich,"€ 153,327","€ 7,973,000","€ 8,013,398",D,23,Germany,Bayern Munich,Bundesliga,2018-2019
12,Corentin Tolisso,"€ 134,615","€ 7,000,000","€ 7,035,468",M,23,France,Bayern Munich,Bundesliga,2018-2019
13,Arjen Robben,"€ 134,154","€ 6,976,000","€ 7,011,347",F,34,Netherlands,Bayern Munich,Bundesliga,2018-2019
14,Javi Martínez,"€ 115,000","€ 5,980,000","€ 6,010,300",M,29,Spain,Bayern Munich,Bundesliga,2018-2019
15,Sebastian Rudy,"€ 96,154","€ 5,000,000","€ 5,025,334",M,28,Germany,Bayern Munich,Bundesliga,2018-2019
16,Rafinha,"€ 95,827","€ 4,983,000","€ 5,008,248",D,32,Brazil,Bayern Munich,Bundesliga,2018-2019
17,Serge Gnabry,"€ 86,250","€ 4,485,000","€ 4,507,725",F,22,Germany,Bayern Munich,Bundesliga,2018-2019
18,Niklas Süle,"€ 57,692","€ 3,000,000","€ 3,015,201",D,22,Germany,Bayern Munich,Bundesliga,2018-2019
19,Sandro Wagner,"€ 57,692","€ 3,000,000","€ 3,015,201",F,30,Germany,Bayern Munich,Bundesliga,2018-2019
20,Sven Ulreich,"€ 48,077","€ 2,500,000","€ 2,512,667",K,29,Germany,Bayern Munich,Bundesliga,2018-2019
21,Renato Sanches,"€ 28,846","€ 1,500,000","€ 1,507,600",M,20,Portugal,Bayern Munich,Bundesliga,2018-2019
22,Alphonso Davies,"€ 10,000","€ 520,000","€ 522,635",F,17,Canada,Bayern Munich,Bundesliga,2018-2019
23,Marco Friedl,"€ 5,769","€ 300,000","€ 301,520",D,20,Austria,Bayern Munich,Bundesliga,2018-2019
24,Christian Früchtl,"€ 4,788","€ 249,000","€ 250,262",K,18,Germany,Bayern Munich,Bundesliga,2018-2019
25,Woo-yeong Jeong,"€ 2,865","€ 149,000","€ 149,755",F,18,South Korea,Bayern Munich,Bundesliga,2018-2019
26,Ron-Thorben Hoffmann,"€ 2,000","€ 104,000","€ 104,527",K,19,Germany,Bayern Munich,Bundesliga,2018-2019
27,Meritan Shabani,"€ 2,000","€ 104,000","€ 104,527",M,19,Germany,Bayern Munich,Bundesliga,2018-2019
28,Juan Bernat,€ 0,€ 0,€ 0,D,25,Spain,Bayern Munich,Bundesliga,2018-2019
29,Jonathan Meier,€ 0,€ 0,€ 0,D,18,Germany,Bayern Munich,Bundesliga,2018-2019
30,Lars Lukas Mai,€ 0,€ 0,€ 0,D,18,Germany,Bayern Munich,Bundesliga,2018-2019
31,Paul Will,€ 0,€ 0,€ 0,M,19,Germany,Bayern Munich,Bundesliga,2018-2019
