,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Ignacio Camacho,"€ 96,154","€ 5,000,000","€ 5,025,334",M,28,Spain,Wolfsburg,Bundesliga,2018-2019
1,Yunus Malli,"€ 86,250","€ 4,485,000","€ 4,507,725",M,26,Turkey,Wolfsburg,Bundesliga,2018-2019
2,Paul-Georges Ntep,"€ 76,923","€ 4,000,000","€ 4,020,268",F,25,Cameroon,Wolfsburg,Bundesliga,2018-2019
3,Maximilian Arnold,"€ 76,923","€ 4,000,000","€ 4,020,268",M,24,Germany,Wolfsburg,Bundesliga,2018-2019
4,Sebastian Jung,"€ 76,923","€ 4,000,000","€ 4,020,268",D,28,Germany,Wolfsburg,Bundesliga,2018-2019
5,Daniel Ginczek,"€ 76,923","€ 4,000,000","€ 4,020,268",F,27,Germany,Wolfsburg,Bundesliga,2018-2019
6,John Anthony Brooks,"€ 76,654","€ 3,986,000","€ 4,006,197",D,25,United States,Wolfsburg,Bundesliga,2018-2019
7,Admir Mehmedi,"€ 67,308","€ 3,500,000","€ 3,517,734",F,27,Switzerland,Wolfsburg,Bundesliga,2018-2019
8,Jeffrey Bruma,"€ 57,692","€ 3,000,000","€ 3,015,201",D,26,Netherlands,Wolfsburg,Bundesliga,2018-2019
9,Yannick Gerhardt,"€ 57,500","€ 2,990,000","€ 3,005,150",M,24,Germany,Wolfsburg,Bundesliga,2018-2019
10,Wout Weghorst,"€ 57,500","€ 2,990,000","€ 3,005,150",F,25,Netherlands,Wolfsburg,Bundesliga,2018-2019
11,Jakub Blaszczykowski,"€ 48,077","€ 2,500,000","€ 2,512,667",F,32,Poland,Wolfsburg,Bundesliga,2018-2019
12,Josuha Guilavogui,"€ 47,904","€ 2,491,000","€ 2,503,622",M,27,France,Wolfsburg,Bundesliga,2018-2019
13,Felix Klaus,"€ 38,462","€ 2,000,000","€ 2,010,134",F,25,Germany,Wolfsburg,Bundesliga,2018-2019
14,Robin Knoche,"€ 38,327","€ 1,993,000","€ 2,003,098",D,26,Germany,Wolfsburg,Bundesliga,2018-2019
15,William,"€ 38,000","€ 1,976,000","€ 1,986,012",D,23,Brazil,Wolfsburg,Bundesliga,2018-2019
16,Josip Brekalo,"€ 34,615","€ 1,800,000","€ 1,809,120",F,20,Croatia,Wolfsburg,Bundesliga,2018-2019
17,Renato Steffen,"€ 28,846","€ 1,500,000","€ 1,507,600",F,26,Switzerland,Wolfsburg,Bundesliga,2018-2019
18,Jérôme Roussillon,"€ 28,846","€ 1,500,000","€ 1,507,600",D,25,France,Wolfsburg,Bundesliga,2018-2019
19,Koen Casteels,"€ 28,846","€ 1,500,000","€ 1,507,600",K,26,Belgium,Wolfsburg,Bundesliga,2018-2019
20,Marcel Tisserand,"€ 28,846","€ 1,500,000","€ 1,507,600",D,25,Democratic Republic of Congo,Wolfsburg,Bundesliga,2018-2019
21,Paul Verhaegh,"€ 28,846","€ 1,500,000","€ 1,507,600",D,34,Netherlands,Wolfsburg,Bundesliga,2018-2019
22,Marvin Stefaniak,"€ 15,327","€ 797,000","€ 801,038",F,23,Germany,Wolfsburg,Bundesliga,2018-2019
23,Pavao Pervan,"€ 15,000","€ 780,000","€ 783,952",K,30,Austria,Wolfsburg,Bundesliga,2018-2019
24,Felix Uduokhai,"€ 12,000","€ 624,000","€ 627,162",D,20,Germany,Wolfsburg,Bundesliga,2018-2019
25,Paul Seguin,"€ 9,577","€ 498,000","€ 500,523",M,23,Germany,Wolfsburg,Bundesliga,2018-2019
26,Ismail Azzaoui,"€ 8,500","€ 442,000","€ 444,240",F,20,Belgium,Wolfsburg,Bundesliga,2018-2019
27,Elvis Rexhbecaj,"€ 2,865","€ 149,000","€ 149,755",M,20,Germany,Wolfsburg,Bundesliga,2018-2019
28,Phillip Menzel,"€ 1,798","€ 93,500","€ 93,974",K,19,Germany,Wolfsburg,Bundesliga,2018-2019
29,John Yeboah,€ 62,"€ 3,200","€ 3,216",F,18,Germany,Wolfsburg,Bundesliga,2018-2019
30,Victor Osimhen,€ 0,€ 0,€ 0,F,19,Nigeria,Wolfsburg,Bundesliga,2018-2019
31,Landry Dimata,€ 0,€ 0,€ 0,F,20,Belgium,Wolfsburg,Bundesliga,2018-2019
32,Dominik Franke,€ 0,€ 0,€ 0,D,19,Germany,Wolfsburg,Bundesliga,2018-2019
33,Riechedly Bazoer,€ 0,€ 0,€ 0,M,21,Netherlands,Wolfsburg,Bundesliga,2018-2019
34,Luca Itter,€ 0,€ 0,€ 0,D,19,Germany,Wolfsburg,Bundesliga,2018-2019
35,Robin Ziegele,€ 0,€ 0,€ 0,D,21,Germany,Wolfsburg,Bundesliga,2018-2019
