,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Alfred Finnbogason,"€ 38,269","€ 1,990,000","€ 1,990,000",F,30,Iceland,Augsburg,Bundesliga,2019-2020
1,1,André Hahn,"€ 34,615","€ 1,800,000","€ 1,800,000",F,29,Germany,Augsburg,Bundesliga,2019-2020
2,2,Stephan Lichtsteiner,"€ 28,846","€ 1,500,000","€ 1,500,000",D,35,Switzerland,Augsburg,Bundesliga,2019-2020
3,3,Carlos Gruezo,"€ 28,846","€ 1,500,000","€ 1,500,000",M,24,Ecuador,Augsburg,Bundesliga,2019-2020
4,4,Daniel Baier,"€ 28,846","€ 1,500,000","€ 1,500,000",M,35,Germany,Augsburg,Bundesliga,2019-2020
5,5,Eduard Löwen,"€ 28,846","€ 1,500,000","€ 1,500,000",M,23,Germany,Augsburg,Bundesliga,2019-2020
6,6,Florian Niederlechner,"€ 28,846","€ 1,500,000","€ 1,500,000",F,28,Germany,Augsburg,Bundesliga,2019-2020
7,7,Tin Jedvaj,"€ 28,846","€ 1,500,000","€ 1,500,000",D,23,Croatia,Augsburg,Bundesliga,2019-2020
8,8,Philipp Max,"€ 23,077","€ 1,200,000","€ 1,200,000",D,25,Germany,Augsburg,Bundesliga,2019-2020
9,9,Jeffrey Gouweleeuw,"€ 23,077","€ 1,200,000","€ 1,200,000",D,28,Netherlands,Augsburg,Bundesliga,2019-2020
10,10,Tomas Koubek,"€ 21,154","€ 1,100,000","€ 1,100,000",K,27,Czech Republic,Augsburg,Bundesliga,2019-2020
11,11,Iago,"€ 19,231","€ 1,000,000","€ 1,000,000",D,22,Brazil,Augsburg,Bundesliga,2019-2020
12,12,Michael Gregoritsch,"€ 19,231","€ 1,000,000","€ 1,000,000",F,25,Austria,Augsburg,Bundesliga,2019-2020
13,13,Reece Oxford,"€ 15,385","€ 800,000","€ 800,000",D,20,England,Augsburg,Bundesliga,2019-2020
14,14,Marek Suchy,"€ 15,385","€ 800,000","€ 800,000",D,31,Czech Republic,Augsburg,Bundesliga,2019-2020
15,15,Fabian Giefer,"€ 15,000","€ 780,000","€ 780,000",K,29,Germany,Augsburg,Bundesliga,2019-2020
16,16,Julian Schieber,"€ 13,462","€ 700,000","€ 700,000",F,30,Germany,Augsburg,Bundesliga,2019-2020
17,17,Felix Uduokhai,"€ 11,923","€ 620,000","€ 620,000",D,22,Germany,Augsburg,Bundesliga,2019-2020
18,18,Noah Sarenren Bazee,"€ 11,538","€ 600,000","€ 600,000",F,23,Nigeria,Augsburg,Bundesliga,2019-2020
19,19,Ruben Vargas,"€ 11,538","€ 600,000","€ 600,000",F,21,Switzerland,Augsburg,Bundesliga,2019-2020
20,20,Rani Khedira,"€ 10,000","€ 520,000","€ 520,000",M,25,Germany,Augsburg,Bundesliga,2019-2020
21,21,Jan Morávek,"€ 10,000","€ 520,000","€ 520,000",M,29,Czech Republic,Augsburg,Bundesliga,2019-2020
22,22,Fredrik Jensen,"€ 9,615","€ 500,000","€ 500,000",F,22,Finland,Augsburg,Bundesliga,2019-2020
23,23,Marco Richter,"€ 9,615","€ 500,000","€ 500,000",F,21,Germany,Augsburg,Bundesliga,2019-2020
24,24,Raphael Framberger,"€ 9,615","€ 500,000","€ 500,000",D,24,Germany,Augsburg,Bundesliga,2019-2020
25,25,Georg Teigl,"€ 9,615","€ 500,000","€ 500,000",M,28,Austria,Augsburg,Bundesliga,2019-2020
26,26,Mads Pedersen,"€ 8,462","€ 440,000","€ 440,000",D,23,Denmark,Augsburg,Bundesliga,2019-2020
27,27,Andreas Luthe,"€ 6,923","€ 360,000","€ 360,000",K,32,Germany,Augsburg,Bundesliga,2019-2020
28,28,Felix Götze,"€ 4,423","€ 230,000","€ 230,000",M,21,Germany,Augsburg,Bundesliga,2019-2020
29,29,Sergio Córdova,"€ 4,423","€ 230,000","€ 230,000",F,22,Venezuela,Augsburg,Bundesliga,2019-2020
30,30,Simon Asta,"€ 3,846","€ 200,000","€ 200,000",D,18,Germany,Augsburg,Bundesliga,2019-2020
31,31,Benjamin Leneis,"€ 1,538","€ 80,000","€ 80,000",K,20,Germany,Augsburg,Bundesliga,2019-2020
32,32,Jozo Stanic,€ 962,"€ 50,000","€ 50,000",D,20,Croatia,Augsburg,Bundesliga,2019-2020
33,33,Seong-hoon Cheon,€ 577,"€ 30,000","€ 30,000",F,18,South Korea,Augsburg,Bundesliga,2019-2020
34,34,Maurice Malone,€ 577,"€ 30,000","€ 30,000",F,19,Germany,Augsburg,Bundesliga,2019-2020
35,35,Caiuby,€ 0,€ 0,€ 0,F,31,Brazil,Augsburg,Bundesliga,2019-2020
0,0,Kerem Demirbay,"€ 61,538","€ 3,200,000","€ 3,200,000",M,26,Germany,Bayer Leverkusen,Bundesliga,2019-2020
1,1,Aleksandar Dragovic,"€ 57,692","€ 3,000,000","€ 3,000,000",D,28,Austria,Bayer Leverkusen,Bundesliga,2019-2020
2,2,Nadiem Amiri,"€ 57,692","€ 3,000,000","€ 3,000,000",F,22,Germany,Bayer Leverkusen,Bundesliga,2019-2020
3,3,Lucas Alario,"€ 56,923","€ 2,960,000","€ 2,960,000",F,26,Argentina,Bayer Leverkusen,Bundesliga,2019-2020
4,4,Sven Bender,"€ 50,000","€ 2,600,000","€ 2,600,000",D,30,Germany,Bayer Leverkusen,Bundesliga,2019-2020
5,5,Karim Bellarabi,"€ 50,000","€ 2,600,000","€ 2,600,000",F,29,Germany,Bayer Leverkusen,Bundesliga,2019-2020
6,6,Kevin Volland,"€ 50,000","€ 2,600,000","€ 2,600,000",F,27,Germany,Bayer Leverkusen,Bundesliga,2019-2020
7,7,Lukas Hradecky,"€ 46,154","€ 2,400,000","€ 2,400,000",K,29,Finland,Bayer Leverkusen,Bundesliga,2019-2020
8,8,Lars Bender,"€ 40,385","€ 2,100,000","€ 2,100,000",M,30,Germany,Bayer Leverkusen,Bundesliga,2019-2020
9,9,Leon Bailey,"€ 40,385","€ 2,100,000","€ 2,100,000",F,22,Jamaica,Bayer Leverkusen,Bundesliga,2019-2020
10,10,Kai Havertz,"€ 38,462","€ 2,000,000","€ 2,000,000",F,20,Germany,Bayer Leverkusen,Bundesliga,2019-2020
11,11,Moussa Diaby,"€ 38,462","€ 2,000,000","€ 2,000,000",F,20,France,Bayer Leverkusen,Bundesliga,2019-2020
12,12,Panagiotis Retsos,"€ 38,462","€ 2,000,000","€ 2,000,000",D,21,Greece,Bayer Leverkusen,Bundesliga,2019-2020
13,13,Julian Baumgartlinger,"€ 38,269","€ 1,990,000","€ 1,990,000",M,31,Austria,Bayer Leverkusen,Bundesliga,2019-2020
14,14,Exequiel Palacios,"€ 32,692","€ 1,700,000","€ 1,700,000",M,21,Argentina,Bayer Leverkusen,Bundesliga,2019-2020
15,15,Jonathan Tah,"€ 28,846","€ 1,500,000","€ 1,500,000",D,23,Germany,Bayer Leverkusen,Bundesliga,2019-2020
16,16,Paulinho,"€ 28,846","€ 1,500,000","€ 1,500,000",F,19,Brazil,Bayer Leverkusen,Bundesliga,2019-2020
17,17,Daley Sinkgraven,"€ 28,846","€ 1,500,000","€ 1,500,000",D,24,Netherlands,Bayer Leverkusen,Bundesliga,2019-2020
18,18,Charles Aránguiz,"€ 28,846","€ 1,500,000","€ 1,500,000",M,30,Chile,Bayer Leverkusen,Bundesliga,2019-2020
19,19,Mitchell Weiser,"€ 28,846","€ 1,500,000","€ 1,500,000",D,25,Germany,Bayer Leverkusen,Bundesliga,2019-2020
20,20,Edmond Tapsoba,"€ 21,154","€ 1,100,000","€ 1,100,000",D,21,Burkina Faso,Bayer Leverkusen,Bundesliga,2019-2020
21,21,Wendell,"€ 19,231","€ 1,000,000","€ 1,000,000",D,26,Brazil,Bayer Leverkusen,Bundesliga,2019-2020
