,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Munas Dabbur,"€ 67,308","€ 3,500,000","€ 3,500,000",F,27,Israel,Hoffenheim,Bundesliga,2019-2020
1,Sebastian Rudy,"€ 67,308","€ 3,500,000","€ 3,500,000",M,29,Germany,Hoffenheim,Bundesliga,2019-2020
2,Diadie Samassékou,"€ 57,692","€ 3,000,000","€ 3,000,000",M,23,Mali,Hoffenheim,Bundesliga,2019-2020
3,Oliver Baumann,"€ 57,692","€ 3,000,000","€ 3,000,000",K,29,Germany,Hoffenheim,Bundesliga,2019-2020
4,Andrej Kramaric,"€ 57,692","€ 3,000,000","€ 3,000,000",F,28,Croatia,Hoffenheim,Bundesliga,2019-2020
5,Jürgen Locadia,"€ 55,769","€ 2,900,000","€ 2,900,000",F,25,Netherlands,Hoffenheim,Bundesliga,2019-2020
6,Kevin Vogt,"€ 38,462","€ 2,000,000","€ 2,000,000",D,27,Germany,Hoffenheim,Bundesliga,2019-2020
7,Robert Skov,"€ 38,462","€ 2,000,000","€ 2,000,000",F,23,Denmark,Hoffenheim,Bundesliga,2019-2020
8,Florian Grillitsch,"€ 38,462","€ 2,000,000","€ 2,000,000",M,24,Austria,Hoffenheim,Bundesliga,2019-2020
9,Lukas Rupp,"€ 38,462","€ 2,000,000","€ 2,000,000",M,28,Germany,Hoffenheim,Bundesliga,2019-2020
10,Ihlas Bebou,"€ 38,462","€ 2,000,000","€ 2,000,000",F,25,Togo,Hoffenheim,Bundesliga,2019-2020
11,Pavel Kaderabek,"€ 38,462","€ 2,000,000","€ 2,000,000",D,27,Czech Republic,Hoffenheim,Bundesliga,2019-2020
12,Havard Nordtveit,"€ 38,077","€ 1,980,000","€ 1,980,000",M,29,Norway,Hoffenheim,Bundesliga,2019-2020
13,Ishak Belfodil,"€ 28,846","€ 1,500,000","€ 1,500,000",F,27,Algeria,Hoffenheim,Bundesliga,2019-2020
14,Ermin Bicakcic,"€ 28,846","€ 1,500,000","€ 1,500,000",D,29,Bosnia-Herzegovina,Hoffenheim,Bundesliga,2019-2020
15,Joshua Brenet,"€ 23,077","€ 1,200,000","€ 1,200,000",D,25,Netherlands,Hoffenheim,Bundesliga,2019-2020
16,Stefan Posch,"€ 23,077","€ 1,200,000","€ 1,200,000",D,22,Austria,Hoffenheim,Bundesliga,2019-2020
17,Benjamin Hübner,"€ 20,000","€ 1,040,000","€ 1,040,000",D,30,Germany,Hoffenheim,Bundesliga,2019-2020
18,Konstantinos Stafylidis,"€ 20,000","€ 1,040,000","€ 1,040,000",D,25,Greece,Hoffenheim,Bundesliga,2019-2020
19,Steven Zuber,"€ 19,231","€ 1,000,000","€ 1,000,000",M,28,Switzerland,Hoffenheim,Bundesliga,2019-2020
20,Kevin Akpoguma,"€ 19,231","€ 1,000,000","€ 1,000,000",D,24,Germany,Hoffenheim,Bundesliga,2019-2020
21,Dennis Geiger,"€ 15,385","€ 800,000","€ 800,000",M,21,Germany,Hoffenheim,Bundesliga,2019-2020
22,Sargis Adamyan,"€ 15,000","€ 780,000","€ 780,000",F,26,Armenia,Hoffenheim,Bundesliga,2019-2020
23,Robert Zulj,"€ 13,077","€ 680,000","€ 680,000",F,27,Austria,Hoffenheim,Bundesliga,2019-2020
24,Michael Esser,"€ 11,538","€ 600,000","€ 600,000",K,32,Germany,Hoffenheim,Bundesliga,2019-2020
25,Lucas Ribeiro,"€ 10,000","€ 520,000","€ 520,000",D,20,Brazil,Hoffenheim,Bundesliga,2019-2020
26,Felipe Pires,"€ 9,615","€ 500,000","€ 500,000",F,24,Brazil,Hoffenheim,Bundesliga,2019-2020
27,Jacob Bruun Larsen,"€ 8,654","€ 450,000","€ 450,000",F,21,Denmark,Hoffenheim,Bundesliga,2019-2020
28,Christoph Baumgartner,"€ 8,462","€ 440,000","€ 440,000",F,20,Austria,Hoffenheim,Bundesliga,2019-2020
29,Philipp Ochs,"€ 5,000","€ 260,000","€ 260,000",F,22,Germany,Hoffenheim,Bundesliga,2019-2020
30,Philipp Pentke,"€ 3,269","€ 170,000","€ 170,000",K,34,Germany,Hoffenheim,Bundesliga,2019-2020
31,Alexander Stolz,€ 962,"€ 50,000","€ 50,000",K,35,Germany,Hoffenheim,Bundesliga,2019-2020
32,Ilay Elmkies,€ 769,"€ 40,000","€ 40,000",M,19,Israel,Hoffenheim,Bundesliga,2019-2020
