,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Marcel Sabitzer,,"€ 86,538","€ 4,500,000",CM,26,Starter,"Jun 30, 2022",2-yrs,"€ 9,000,000",Leipzig,Bundesliga,2020-2021
1,Emil Forsberg,,"€ 76,923","€ 4,000,000",LW,29,Reserve,"Jun 30, 2025",5-yrs,"€ 20,000,000",Leipzig,Bundesliga,2020-2021
2,Yussuf Poulsen,,"€ 76,923","€ 4,000,000",CF,26,Starter,"Jun 30, 2024",4-yrs,"€ 16,000,000",Leipzig,Bundesliga,2020-2021
3,Kevin Kampl,,"€ 67,308","€ 3,500,000",CM,30,Starter,"Jun 30, 2023",3-yrs,"€ 10,500,000",Leipzig,Bundesliga,2020-2021
4,Angeliño,,"€ 66,538","€ 3,460,000",LB,24,Starter,"Jun 30, 2021",1-yr,"€ 3,460,000",Leipzig,Bundesliga,2020-2021
5,Justin Kluivert,,"€ 57,692","€ 3,000,000",LW,21,Reserve,"Jun 30, 2021",1-yr,"€ 3,000,000",Leipzig,Bundesliga,2020-2021
6,Dominik Szoboszlai,,"€ 57,692","€ 3,000,000",LM,20,Reserve,"Jun 30, 2026",6-yrs,"€ 18,000,000",Leipzig,Bundesliga,2020-2021
7,Marcel Halstenberg,,"€ 57,692","€ 3,000,000",LB,29,Reserve,"Jun 30, 2022",2-yrs,"€ 6,000,000",Leipzig,Bundesliga,2020-2021
8,Péter Gulácsi,,"€ 50,000","€ 2,600,000",GK,30,Starter,"Jun 30, 2025",5-yrs,"€ 13,000,000",Leipzig,Bundesliga,2020-2021
9,Nordi Mukiele,,"€ 50,000","€ 2,600,000",RB,23,Reserve,"Jun 30, 2023",3-yrs,"€ 7,800,000",Leipzig,Bundesliga,2020-2021
10,Dayot Upamecano,,"€ 48,077","€ 2,500,000",CB,22,Starter,"Jun 30, 2023",3-yrs,"€ 7,500,000",Leipzig,Bundesliga,2020-2021
11,Konrad Laimer,,"€ 48,077","€ 2,500,000",CM,23,Reserve,"Jun 30, 2023",3-yrs,"€ 7,500,000",Leipzig,Bundesliga,2020-2021
12,Willi Orban,,"€ 48,077","€ 2,500,000",CB,28,Starter,"Jun 30, 2025",5-yrs,"€ 12,500,000",Leipzig,Bundesliga,2020-2021
13,Alexander Sörloth,,"€ 34,615","€ 1,800,000",CF,25,Starter,"Jun 30, 2025",5-yrs,"€ 9,000,000",Leipzig,Bundesliga,2020-2021
14,Benjamin Henrichs,,"€ 32,692","€ 1,700,000",RB,23,Starter,"Jun 30, 2021",1-yr,"€ 1,700,000",Leipzig,Bundesliga,2020-2021
15,Lukas Klostermann,,"€ 28,846","€ 1,500,000",CB,24,Reserve,"Jun 30, 2024",4-yrs,"€ 6,000,000",Leipzig,Bundesliga,2020-2021
16,Dani Olmo,,"€ 23,077","€ 1,200,000",AM,22,Starter,"Jun 30, 2024",4-yrs,"€ 4,800,000",Leipzig,Bundesliga,2020-2021
17,Amadou Haidara,,"€ 19,231","€ 1,000,000",CM,23,Reserve,"Jun 30, 2025",5-yrs,"€ 5,000,000",Leipzig,Bundesliga,2020-2021
18,Christopher Nkunku,,"€ 19,231","€ 1,000,000",AM,23,Starter,"Jun 30, 2024",4-yrs,"€ 4,000,000",Leipzig,Bundesliga,2020-2021
19,Ibrahima Konaté,,"€ 19,231","€ 1,000,000",CB,21,Reserve,"Jun 30, 2023",3-yrs,"€ 3,000,000",Leipzig,Bundesliga,2020-2021
20,Tyler Adams,,"€ 19,231","€ 1,000,000",DM,21,Reserve,"Jun 30, 2025",5-yrs,"€ 5,000,000",Leipzig,Bundesliga,2020-2021
21,Philipp Tschauner,,"€ 10,192","€ 530,000",GK,35,Reserve,"Jun 30, 2022",2-yrs,"€ 1,060,000",Leipzig,Bundesliga,2020-2021
22,Josep Martínez,,"€ 5,962","€ 310,000",GK,22,Reserve,"Jun 30, 2024",4-yrs,"€ 1,240,000",Leipzig,Bundesliga,2020-2021
23,Lazar Samardzic,,"€ 4,038","€ 210,000",AM,18,Reserve,"Jun 30, 2025",5-yrs,"€ 1,050,000",Leipzig,Bundesliga,2020-2021
24,Fabrice Hartmann,,"€ 3,077","€ 160,000",RW,19,Reserve,"Jun 30, 2023",3-yrs,"€ 480,000",Leipzig,Bundesliga,2020-2021
25,Joscha Wosz,,"€ 2,692","€ 140,000",AM,18,Reserve,"Jun 30, 2024",4-yrs,"€ 560,000",Leipzig,Bundesliga,2020-2021
