,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Leroy Sané,,"€ 384,615","€ 20,000,000",RW,25,,"Jun 30, 2025",4-yrs,"€ 80,000,000",Bayern Munich,Bundesliga,2021-2022
1,Thomas Müller,,"€ 288,462","€ 15,000,000",SS,31,,"Jun 30, 2023",2-yrs,"€ 30,000,000",Bayern Munich,Bundesliga,2021-2022
2,Manuel Neuer,,"€ 288,462","€ 15,000,000",GK,35,,"Jun 30, 2023",2-yrs,"€ 30,000,000",Bayern Munich,Bundesliga,2021-2022
3,Robert Lewandowski,,"€ 288,462","€ 15,000,000",CF,33,,"Jun 30, 2023",2-yrs,"€ 30,000,000",Bayern Munich,Bundesliga,2021-2022
4,Lucas Hernández,,"€ 250,000","€ 13,000,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 39,000,000",Bayern Munich,Bundesliga,2021-2022
5,Dayot Upamecano,,"€ 192,308","€ 10,000,000",CB,22,,"Jun 30, 2026",5-yrs,"€ 50,000,000",Bayern Munich,Bundesliga,2021-2022
6,Kingsley Coman,,"€ 153,846","€ 8,000,000",LW,25,,"Jun 30, 2023",2-yrs,"€ 16,000,000",Bayern Munich,Bundesliga,2021-2022
7,Leon Goretzka,,"€ 153,846","€ 8,000,000",CM,26,,"Jun 30, 2022",1-yr,"€ 8,000,000",Bayern Munich,Bundesliga,2021-2022
8,Joshua Kimmich,,"€ 151,923","€ 7,900,000",DM,26,,"Jun 30, 2025",4-yrs,"€ 31,600,000",Bayern Munich,Bundesliga,2021-2022
9,Corentin Tolisso,,"€ 134,615","€ 7,000,000",CM,27,,"Jun 30, 2022",1-yr,"€ 7,000,000",Bayern Munich,Bundesliga,2021-2022
10,Alphonso Davies,,"€ 96,154","€ 5,000,000",LB,20,,"Jun 30, 2025",4-yrs,"€ 20,000,000",Bayern Munich,Bundesliga,2021-2022
11,Jamal Musiala,,"€ 96,154","€ 5,000,000",AM,18,,"Jun 30, 2026",5-yrs,"€ 25,000,000",Bayern Munich,Bundesliga,2021-2022
12,Serge Gnabry,,"€ 86,538","€ 4,500,000",RW,26,,"Jun 30, 2023",2-yrs,"€ 9,000,000",Bayern Munich,Bundesliga,2021-2022
13,Niklas Süle,,"€ 57,692","€ 3,000,000",CB,25,,"Jun 30, 2022",1-yr,"€ 3,000,000",Bayern Munich,Bundesliga,2021-2022
14,Marc Roca,,"€ 50,000","€ 2,600,000",DM,24,,"Jun 30, 2025",4-yrs,"€ 10,400,000",Bayern Munich,Bundesliga,2021-2022
15,Eric Maxim Choupo-Moting,,"€ 28,846","€ 1,500,000",CF,32,,"Jun 30, 2023",2-yrs,"€ 3,000,000",Bayern Munich,Bundesliga,2021-2022
16,Benjamin Pavard,,"€ 23,077","€ 1,200,000",RB,25,,"Jun 30, 2024",3-yrs,"€ 3,600,000",Bayern Munich,Bundesliga,2021-2022
17,Bouna Sarr,,"€ 22,885","€ 1,190,000",RB,29,,"Jun 30, 2024",3-yrs,"€ 3,570,000",Bayern Munich,Bundesliga,2021-2022
18,Michaël Cuisance,,"€ 21,731","€ 1,130,000",CM,22,,"Jun 30, 2024",3-yrs,"€ 3,390,000",Bayern Munich,Bundesliga,2021-2022
19,Christian Früchtl,,"€ 19,231","€ 1,000,000",GK,21,,"Jun 30, 2022",1-yr,"€ 1,000,000",Bayern Munich,Bundesliga,2021-2022
20,Tanguy Nianzou,,"€ 11,538","€ 600,000",CB,19,,"Jun 30, 2024",3-yrs,"€ 1,800,000",Bayern Munich,Bundesliga,2021-2022
21,Omar Richards,,€ 0,€ 0,LB,23,,"Jun 30, 2025",4-yrs,€ 0,Bayern Munich,Bundesliga,2021-2022
22,Marcel Sabitzer,,€ 0,€ 0,CM,27,,"Jun 30, 2025",4-yrs,€ 0,Bayern Munich,Bundesliga,2021-2022
23,Sven Ulreich,,€ 0,€ 0,GK,33,,"Jun 30, 2022",1-yr,€ 0,Bayern Munich,Bundesliga,2021-2022
24,Josip Stanisic,,€ 0,€ 0,RB,21,,"Jun 30, 2023",2-yrs,€ 0,Bayern Munich,Bundesliga,2021-2022
