,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Eduard Löwen,,"€ 25,000","€ 1,300,000",CM,24,,"Jun 30, 2022",1-yr,"€ 1,300,000",Bochum,Bundesliga,2021-2022
1,Manuel Riemann,,"€ 23,654","€ 1,230,000",GK,32,,"Jun 30, 2023",2-yrs,"€ 2,460,000",Bochum,Bundesliga,2021-2022
2,Anthony Losilla,,"€ 17,692","€ 920,000",DM,35,,"Jun 30, 2022",1-yr,"€ 920,000",Bochum,Bundesliga,2021-2022
3,Robert Tesche,,"€ 17,500","€ 910,000",CM,34,,"Jun 30, 2022",1-yr,"€ 910,000",Bochum,Bundesliga,2021-2022
4,Raman Chibsah,,"€ 16,538","€ 860,000",CM,28,,"Jun 30, 2022",1-yr,"€ 860,000",Bochum,Bundesliga,2021-2022
5,Saulo Decarli,,"€ 14,808","€ 770,000",CB,29,,"Jun 30, 2022",1-yr,"€ 770,000",Bochum,Bundesliga,2021-2022
6,Erhan Masovic,,"€ 12,308","€ 640,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 1,280,000",Bochum,Bundesliga,2021-2022
7,Cristian Gamboa,,"€ 9,038","€ 470,000",RB,31,,"Jun 30, 2023",2-yrs,"€ 940,000",Bochum,Bundesliga,2021-2022
8,Herbert Bockhorn,,"€ 9,038","€ 470,000",RB,26,,"Jun 30, 2022",1-yr,"€ 470,000",Bochum,Bundesliga,2021-2022
9,Gerrit Holtmann,,"€ 8,654","€ 450,000",LW,26,,"Jun 30, 2023",2-yrs,"€ 900,000",Bochum,Bundesliga,2021-2022
10,Simon Zoller,,"€ 8,462","€ 440,000",CF,30,,"Jun 30, 2024",3-yrs,"€ 1,320,000",Bochum,Bundesliga,2021-2022
11,Danilo Soares,,"€ 8,269","€ 430,000",LB,29,,"Jun 30, 2024",3-yrs,"€ 1,290,000",Bochum,Bundesliga,2021-2022
12,Vasilios Lampropoulos,,"€ 7,692","€ 400,000",CB,31,,"Jun 30, 2022",1-yr,"€ 400,000",Bochum,Bundesliga,2021-2022
13,Danny Blum,,"€ 6,731","€ 350,000",LW,30,,"Jun 30, 2022",1-yr,"€ 350,000",Bochum,Bundesliga,2021-2022
14,Maxim Leitsch,,"€ 5,769","€ 300,000",CB,23,,"Jun 30, 2023",2-yrs,"€ 600,000",Bochum,Bundesliga,2021-2022
15,Armel Bella Kotchap,,"€ 5,577","€ 290,000",CB,19,,"Jun 30, 2024",3-yrs,"€ 870,000",Bochum,Bundesliga,2021-2022
16,Silvère Ganvoula,,"€ 4,423","€ 230,000",CF,25,,"Jun 30, 2023",2-yrs,"€ 460,000",Bochum,Bundesliga,2021-2022
17,Tarsis Bonga,,"€ 3,846","€ 200,000",RW,24,,"Jun 30, 2023",2-yrs,"€ 400,000",Bochum,Bundesliga,2021-2022
18,Tom Weilandt,,"€ 3,654","€ 190,000",RW,29,,"Jun 30, 2022",1-yr,"€ 190,000",Bochum,Bundesliga,2021-2022
19,Paul Grave,,"€ 3,269","€ 170,000",GK,20,,"Jun 30, 2022",1-yr,"€ 170,000",Bochum,Bundesliga,2021-2022
20,Soma Novothny,,"€ 3,077","€ 160,000",CF,27,,"Jun 30, 2022",1-yr,"€ 160,000",Bochum,Bundesliga,2021-2022
21,Milos Pantovic,,"€ 2,885","€ 150,000",AM,25,,"Jun 30, 2022",1-yr,"€ 150,000",Bochum,Bundesliga,2021-2022
22,Sebastian Polter,,€ 0,€ 0,CF,30,,"Jun 30, 2023",2-yrs,€ 0,Bochum,Bundesliga,2021-2022
23,Michael Esser,,€ 0,€ 0,GK,33,,"Jun 30, 2023",2-yrs,€ 0,Bochum,Bundesliga,2021-2022
24,Christopher Antwi-Adjei,,€ 0,€ 0,LW,27,,"Jun 30, 2024",3-yrs,€ 0,Bochum,Bundesliga,2021-2022
25,Elvis Rexhbecaj,,€ 0,€ 0,CM,23,,"Jun 30, 2022",1-yr,€ 0,Bochum,Bundesliga,2021-2022
26,Takuma Asano,,€ 0,€ 0,RW,26,,"Jun 30, 2024",3-yrs,€ 0,Bochum,Bundesliga,2021-2022
27,Konstantinos Stafylidis,,€ 0,€ 0,LB,27,,"Jun 30, 2022",1-yr,€ 0,Bochum,Bundesliga,2021-2022
28,Patrick Osterhage,,€ 0,€ 0,CM,21,,"Jun 30, 2024",3-yrs,€ 0,Bochum,Bundesliga,2021-2022
29,Luis Hartwig,,€ 0,€ 0,CF,18,,"Jun 30, 2024",3-yrs,€ 0,Bochum,Bundesliga,2021-2022
