,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Daniel Torres,"€ 28,750","€ 1,495,000","€ 1,525,736",M,26,Colombia,Alaves,La Liga,2016-2017
1,1,Rodrigo Ely,"€ 25,750","€ 1,339,000","€ 1,366,529",D,22,Brazil,Alaves,La Liga,2016-2017
2,2,Rubén Sobrino,"€ 16,673","€ 867,000","€ 884,825",F,24,Spain,Alaves,La Liga,2016-2017
3,3,Nenad Krsticic,"€ 16,154","€ 840,000","€ 857,270",M,25,Serbia,Alaves,La Liga,2016-2017
4,4,Alexis,"€ 15,712","€ 817,000","€ 833,797",D,30,Spain,Alaves,La Liga,2016-2017
5,5,Ibai Gómez,"€ 15,558","€ 809,000","€ 825,633",F,26,Spain,Alaves,La Liga,2016-2017
6,6,Óscar Romero,"€ 14,308","€ 744,000","€ 759,296",M,23,Paraguay,Alaves,La Liga,2016-2017
7,7,Deyverson,"€ 13,750","€ 715,000","€ 729,700",F,25,Brazil,Alaves,La Liga,2016-2017
8,8,Zouhair Feddal,"€ 13,115","€ 682,000","€ 696,022",D,26,Morocco,Alaves,La Liga,2016-2017
9,9,Kiko Femenía,"€ 12,538","€ 652,000","€ 665,405",D,25,Spain,Alaves,La Liga,2016-2017
10,10,Fernando Pacheco,"€ 9,885","€ 514,000","€ 524,568",K,24,Spain,Alaves,La Liga,2016-2017
11,11,Víctor Laguardia,"€ 9,865","€ 513,000","€ 523,547",D,26,Spain,Alaves,La Liga,2016-2017
12,12,Christian Santos,"€ 9,788","€ 509,000","€ 519,465",F,28,Venezuela,Alaves,La Liga,2016-2017
13,13,Gaizka Toquero,"€ 9,250","€ 481,000","€ 490,889",F,31,Spain,Alaves,La Liga,2016-2017
14,14,Carlos Vigaray,"€ 8,000","€ 416,000","€ 424,553",D,21,Spain,Alaves,La Liga,2016-2017
15,15,Theo Hernández,"€ 7,731","€ 402,000","€ 410,265",D,18,France,Alaves,La Liga,2016-2017
16,16,Marcos Llorente,"€ 6,442","€ 335,000","€ 341,887",M,21,Spain,Alaves,La Liga,2016-2017
17,17,Manu García,"€ 3,596","€ 187,000","€ 190,845",M,30,Spain,Alaves,La Liga,2016-2017
18,18,Manu García,"€ 3,596","€ 187,000","€ 190,845",M,18,Spain,Alaves,La Liga,2016-2017
19,19,Aleksandar Katai,"€ 2,865","€ 149,000","€ 152,063",F,25,Serbia,Alaves,La Liga,2016-2017
20,20,Einar Galilea,"€ 2,519","€ 131,000","€ 133,693",M,22,Spain,Alaves,La Liga,2016-2017
21,21,Sergio Llamas,"€ 1,577","€ 82,000","€ 83,686",M,23,Spain,Alaves,La Liga,2016-2017
22,22,Víctor Camarasa,"€ 1,288","€ 67,000","€ 68,377",M,22,Spain,Alaves,La Liga,2016-2017
23,23,Manu Barreiro,€ 0,€ 0,€ 0,F,29,Spain,Alaves,La Liga,2016-2017
24,24,Aleksandar Pantic,€ 0,€ 0,€ 0,D,24,Serbia,Alaves,La Liga,2016-2017
25,25,Cristian Espinoza,€ 0,€ 0,€ 0,F,21,Argentina,Alaves,La Liga,2016-2017
26,26,Edgar Méndez,€ 0,€ 0,€ 0,F,26,Spain,Alaves,La Liga,2016-2017
27,27,Adrián Ortolá,€ 0,€ 0,€ 0,K,22,Spain,Alaves,La Liga,2016-2017
28,28,Martin Aguirregabiria,€ 0,€ 0,€ 0,D,20,Spain,Alaves,La Liga,2016-2017
29,29,Raúl Garcia,€ 0,€ 0,€ 0,D,27,Spain,Alaves,La Liga,2016-2017
0,0,Aymeric Laporte,"€ 156,269","€ 8,126,000","€ 8,293,067",D,22,France,Athletic Club,La Liga,2016-2017
1,1,Raúl García,"€ 106,231","€ 5,524,000","€ 5,637,571",M,29,Spain,Athletic Club,La Liga,2016-2017
2,2,Iñaki Williams,"€ 67,904","€ 3,531,000","€ 3,603,596",F,22,Spain,Athletic Club,La Liga,2016-2017
3,3,Óscar de Marcos,"€ 47,346","€ 2,462,000","€ 2,512,618",D,27,Spain,Athletic Club,La Liga,2016-2017
