,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Lionel Messi,"€ 736,231","€ 38,284,000","€ 39,071,100",F,29,Argentina,Barcelona,La Liga,2016-2017
1,Neymar,"€ 550,288","€ 28,615,000","€ 29,203,310",F,24,Brazil,Barcelona,La Liga,2016-2017
2,Luis Suárez,"€ 430,692","€ 22,396,000","€ 22,856,451",F,29,Uruguay,Barcelona,La Liga,2016-2017
3,Andrés Iniesta,"€ 296,692","€ 15,428,000","€ 15,745,192",M,32,Spain,Barcelona,La Liga,2016-2017
4,Sergio Busquets,"€ 275,154","€ 14,308,000","€ 14,602,165",M,27,Spain,Barcelona,La Liga,2016-2017
5,Ivan Rakitic,"€ 245,788","€ 12,781,000","€ 13,043,771",M,28,Croatia,Barcelona,La Liga,2016-2017
6,Gerard Piqué,"€ 234,481","€ 12,193,000","€ 12,443,682",D,29,Spain,Barcelona,La Liga,2016-2017
7,Javier Mascherano,"€ 194,442","€ 10,111,000","€ 10,318,877",M,32,Argentina,Barcelona,La Liga,2016-2017
8,Jordi Alba,"€ 157,923","€ 8,212,000","€ 8,380,835",D,27,Spain,Barcelona,La Liga,2016-2017
9,Arda Turan,"€ 157,923","€ 8,212,000","€ 8,380,835",F,29,Turkey,Barcelona,La Liga,2016-2017
10,Marc-André ter Stegen,"€ 119,635","€ 6,221,000","€ 6,348,901",K,24,Germany,Barcelona,La Liga,2016-2017
11,André Gomes,"€ 119,635","€ 6,221,000","€ 6,348,901",M,22,Portugal,Barcelona,La Liga,2016-2017
12,Jérémy Mathieu,"€ 119,635","€ 6,221,000","€ 6,348,901",D,32,France,Barcelona,La Liga,2016-2017
13,Lucas Digne,"€ 92,019","€ 4,785,000","€ 4,883,377",D,22,France,Barcelona,La Liga,2016-2017
14,Denis Suárez,"€ 92,019","€ 4,785,000","€ 4,883,377",M,22,Spain,Barcelona,La Liga,2016-2017
15,Samuel Umtiti,"€ 92,019","€ 4,785,000","€ 4,883,377",D,22,France,Barcelona,La Liga,2016-2017
16,Aleix Vidal,"€ 85,212","€ 4,431,000","€ 4,522,099",M,26,Spain,Barcelona,La Liga,2016-2017
17,Jasper Cillessen,"€ 82,308","€ 4,280,000","€ 4,367,995",K,27,Netherlands,Barcelona,La Liga,2016-2017
18,Rafinha,"€ 82,308","€ 4,280,000","€ 4,367,995",M,23,Brazil,Barcelona,La Liga,2016-2017
19,Paco Alcácer,"€ 73,365","€ 3,815,000","€ 3,893,435",F,22,Spain,Barcelona,La Liga,2016-2017
20,Sergi Roberto,"€ 57,423","€ 2,986,000","€ 3,047,391",D,24,Spain,Barcelona,La Liga,2016-2017
21,Douglas,"€ 51,346","€ 2,670,000","€ 2,724,894",D,25,Brazil,Barcelona,La Liga,2016-2017
22,Jordi Masip,"€ 34,077","€ 1,772,000","€ 1,808,431",K,27,Spain,Barcelona,La Liga,2016-2017
23,Sergi Samper,"€ 28,731","€ 1,494,000","€ 1,524,716",M,21,Spain,Barcelona,La Liga,2016-2017
24,Marlon,"€ 6,596","€ 343,000","€ 350,052",D,20,Brazil,Barcelona,La Liga,2016-2017
25,Marc Cardona,"€ 2,673","€ 139,000","€ 141,858",F,20,Spain,Barcelona,La Liga,2016-2017
26,Wilfrid Kaptoum,"€ 1,750","€ 91,000","€ 92,871",M,19,Cameroon,Barcelona,La Liga,2016-2017
27,Àlex Carbonell,"€ 1,019","€ 53,000","€ 54,090",M,18,Spain,Barcelona,La Liga,2016-2017
28,Juan Cámara,€ 0,€ 0,€ 0,F,22,Spain,Barcelona,La Liga,2016-2017
29,Francisco Nili,€ 0,€ 0,€ 0,M,22,Spain,Barcelona,La Liga,2016-2017
30,Cristian Tello,€ 0,€ 0,€ 0,F,24,Spain,Barcelona,La Liga,2016-2017
31,Claudio Bravo,€ 0,€ 0,€ 0,K,33,Chile,Barcelona,La Liga,2016-2017
32,Carles Aleñà,€ 0,€ 0,€ 0,M,18,Spain,Barcelona,La Liga,2016-2017
33,Borja López,€ 0,€ 0,€ 0,D,22,Spain,Barcelona,La Liga,2016-2017
34,Thomas Vermaelen,€ 0,€ 0,€ 0,D,30,Belgium,Barcelona,La Liga,2016-2017
35,Munir El Haddadi,€ 0,€ 0,€ 0,F,20,Spain,Barcelona,La Liga,2016-2017
36,Adrián Ortolá,€ 0,€ 0,€ 0,K,22,Spain,Barcelona,La Liga,2016-2017
