,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Asier Illarramendi,"€ 52,654","€ 2,738,000","€ 2,794,292",M,26,Spain,Real Sociedad,La Liga,2016-2017
1,Iñigo Martínez,"€ 45,846","€ 2,384,000","€ 2,433,014",D,25,Spain,Real Sociedad,La Liga,2016-2017
2,Gerónimo Rulli,"€ 44,019","€ 2,289,000","€ 2,336,061",K,24,Argentina,Real Sociedad,La Liga,2016-2017
3,Carlos Vela,"€ 40,346","€ 2,098,000","€ 2,141,134",F,27,Mexico,Real Sociedad,La Liga,2016-2017
4,Xabi Prieto,"€ 34,058","€ 1,771,000","€ 1,807,411",M,32,Spain,Real Sociedad,La Liga,2016-2017
5,Sergio Canales,"€ 29,904","€ 1,555,000","€ 1,586,970",M,25,Spain,Real Sociedad,La Liga,2016-2017
6,Esteban Granero,"€ 29,346","€ 1,526,000","€ 1,557,374",M,28,Spain,Real Sociedad,La Liga,2016-2017
7,Juanmi,"€ 28,731","€ 1,494,000","€ 1,524,716",F,23,Spain,Real Sociedad,La Liga,2016-2017
8,Willian José,"€ 25,885","€ 1,346,000","€ 1,373,673",F,24,Brazil,Real Sociedad,La Liga,2016-2017
9,Imanol Agirretxe,"€ 18,346","€ 954,000","€ 973,614",F,29,Spain,Real Sociedad,La Liga,2016-2017
10,David Zurutuza,"€ 14,673","€ 763,000","€ 778,687",M,29,Spain,Real Sociedad,La Liga,2016-2017
11,Joseba Zaldua,"€ 14,615","€ 760,000","€ 775,625",D,24,Spain,Real Sociedad,La Liga,2016-2017
12,Aritz Elustondo,"€ 12,654","€ 658,000","€ 671,528",D,22,Spain,Real Sociedad,La Liga,2016-2017
13,Raúl Navas,"€ 12,365","€ 643,000","€ 656,220",D,28,Spain,Real Sociedad,La Liga,2016-2017
14,David Concha,"€ 11,712","€ 609,000","€ 621,521",F,19,Spain,Real Sociedad,La Liga,2016-2017
15,Jon Gaztañaga,"€ 11,596","€ 603,000","€ 615,397",M,25,Spain,Real Sociedad,La Liga,2016-2017
16,Mikel González,"€ 9,192","€ 478,000","€ 487,827",D,30,Spain,Real Sociedad,La Liga,2016-2017
17,Rubén Pardo,"€ 7,327","€ 381,000","€ 388,833",M,23,Spain,Real Sociedad,La Liga,2016-2017
18,Carlos Martínez,"€ 6,423","€ 334,000","€ 340,867",D,30,Spain,Real Sociedad,La Liga,2016-2017
19,Toño,"€ 6,192","€ 322,000","€ 328,620",K,29,Spain,Real Sociedad,La Liga,2016-2017
20,Jon Bautista,"€ 3,519","€ 183,000","€ 186,762",F,20,Spain,Real Sociedad,La Liga,2016-2017
21,Ander Bardají,"€ 2,885","€ 150,000","€ 153,084",K,21,Spain,Real Sociedad,La Liga,2016-2017
22,Jon Guridi,"€ 1,808","€ 94,000","€ 95,933",M,21,Spain,Real Sociedad,La Liga,2016-2017
23,Kévin Rodrigues,"€ 1,558","€ 81,000","€ 82,665",D,22,Portugal,Real Sociedad,La Liga,2016-2017
24,Álvaro Odriozola,"€ 1,308","€ 68,000","€ 69,398",D,20,Spain,Real Sociedad,La Liga,2016-2017
25,Igor Zubeldia,€ 58,"€ 3,000","€ 3,062",M,19,Spain,Real Sociedad,La Liga,2016-2017
26,Yuri Berchiche,€ 0,€ 0,€ 0,D,26,Spain,Real Sociedad,La Liga,2016-2017
27,Eneko Capilla,€ 0,€ 0,€ 0,M,21,Spain,Real Sociedad,La Liga,2016-2017
28,Héctor Hernández,€ 0,€ 0,€ 0,D,25,Spain,Real Sociedad,La Liga,2016-2017
29,Markel Bergara,€ 0,€ 0,€ 0,M,30,Spain,Real Sociedad,La Liga,2016-2017
30,Mikel Oyarzabal,€ 0,€ 0,€ 0,F,19,Spain,Real Sociedad,La Liga,2016-2017
31,Pablo Hervías,€ 0,€ 0,€ 0,F,23,Spain,Real Sociedad,La Liga,2016-2017
32,Srdjan Babic,€ 0,€ 0,€ 0,D,20,Serbia,Real Sociedad,La Liga,2016-2017
33,Alain Oyarzun,€ 0,€ 0,€ 0,F,22,Spain,Real Sociedad,La Liga,2016-2017
