,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Samir Nasri,"€ 166,673","€ 8,667,000","€ 8,845,189",M,29,France,Sevilla,La Liga,2016-2017
1,Stevan Jovetic,"€ 119,288","€ 6,203,000","€ 6,330,531",F,26,Montenegro,Sevilla,La Liga,2016-2017
2,Salvatore Sirigu,"€ 90,558","€ 4,709,000","€ 4,805,815",K,29,Italy,Sevilla,La Liga,2016-2017
3,Vitolo,"€ 89,192","€ 4,638,000","€ 4,733,355",F,26,Spain,Sevilla,La Liga,2016-2017
4,Franco Vázquez,"€ 69,462","€ 3,612,000","€ 3,686,261",M,27,Argentina,Sevilla,La Liga,2016-2017
5,Adil Rami,"€ 64,577","€ 3,358,000","€ 3,427,039",D,30,France,Sevilla,La Liga,2016-2017
6,Sergio Rico,"€ 60,038","€ 3,122,000","€ 3,186,187",K,22,Spain,Sevilla,La Liga,2016-2017
7,Luciano Vietto,"€ 59,038","€ 3,070,000","€ 3,133,118",F,22,Argentina,Sevilla,La Liga,2016-2017
8,Pablo Sarabia,"€ 55,500","€ 2,886,000","€ 2,945,335",M,24,Spain,Sevilla,La Liga,2016-2017
9,Nicolás Pareja,"€ 50,346","€ 2,618,000","€ 2,671,825",D,32,Argentina,Sevilla,La Liga,2016-2017
10,Vicente Iborra,"€ 49,481","€ 2,573,000","€ 2,625,900",M,28,Spain,Sevilla,La Liga,2016-2017
11,Wissam Ben Yedder,"€ 47,846","€ 2,488,000","€ 2,539,152",F,25,France,Sevilla,La Liga,2016-2017
12,Matías Kranevitter,"€ 45,346","€ 2,358,000","€ 2,406,479",M,23,Argentina,Sevilla,La Liga,2016-2017
13,Ganso,"€ 42,904","€ 2,231,000","€ 2,276,868",M,26,Brazil,Sevilla,La Liga,2016-2017
14,Michael Krohn-Dehli,"€ 41,673","€ 2,167,000","€ 2,211,552",M,33,Denmark,Sevilla,La Liga,2016-2017
15,Sergio Escudero,"€ 41,385","€ 2,152,000","€ 2,196,244",D,26,Spain,Sevilla,La Liga,2016-2017
16,Gabriel Mercado,"€ 37,923","€ 1,972,000","€ 2,012,543",D,29,Argentina,Sevilla,La Liga,2016-2017
17,Hiroshi Kiyotake,"€ 32,731","€ 1,702,000","€ 1,736,992",M,26,Japan,Sevilla,La Liga,2016-2017
18,Benoît Trémoulinas,"€ 32,346","€ 1,682,000","€ 1,716,581",D,30,France,Sevilla,La Liga,2016-2017
19,Mariano,"€ 29,115","€ 1,514,000","€ 1,545,127",D,30,Brazil,Sevilla,La Liga,2016-2017
20,Joaquín Correa,"€ 27,000","€ 1,404,000","€ 1,432,866",F,21,Argentina,Sevilla,La Liga,2016-2017
21,Daniel Carriço,"€ 23,923","€ 1,244,000","€ 1,269,576",D,27,Portugal,Sevilla,La Liga,2016-2017
22,David Soria,"€ 21,038","€ 1,094,000","€ 1,116,492",K,23,Spain,Sevilla,La Liga,2016-2017
23,Walter Montoya,"€ 13,481","€ 701,000","€ 715,412",M,22,Argentina,Sevilla,La Liga,2016-2017
24,Clément Lenglet,"€ 11,692","€ 608,000","€ 620,500",D,21,France,Sevilla,La Liga,2016-2017
25,Borja Lasso,"€ 7,385","€ 384,000","€ 391,895",M,22,Spain,Sevilla,La Liga,2016-2017
26,Diego González,"€ 6,019","€ 313,000","€ 319,435",D,21,Spain,Sevilla,La Liga,2016-2017
27,Carlos Fernández,"€ 3,942","€ 205,000","€ 209,215",F,20,Spain,Sevilla,La Liga,2016-2017
28,Álex Muñoz,"€ 3,750","€ 195,000","€ 199,009",D,21,Spain,Sevilla,La Liga,2016-2017
29,David Carmona,"€ 2,923","€ 152,000","€ 155,125",D,19,Spain,Sevilla,La Liga,2016-2017
30,Cristian González,"€ 2,269","€ 118,000","€ 120,426",D,19,Uruguay,Sevilla,La Liga,2016-2017
31,José Mena,€ 38,"€ 2,000","€ 2,041",M,18,Spain,Sevilla,La Liga,2016-2017
32,Alejandro Pozo,€ 38,"€ 2,000","€ 2,041",M,17,Spain,Sevilla,La Liga,2016-2017
33,Matos,€ 0,€ 0,€ 0,D,21,Spain,Sevilla,La Liga,2016-2017
34,Yevhen Konoplyanka,€ 0,€ 0,€ 0,F,26,Ukraine,Sevilla,La Liga,2016-2017
35,José Antonio Caro,€ 0,€ 0,€ 0,K,22,Spain,Sevilla,La Liga,2016-2017
36,Sebastián Cristóforo,€ 0,€ 0,€ 0,M,22,Uruguay,Sevilla,La Liga,2016-2017
37,Steven Nzonzi,€ 0,€ 0,€ 0,M,27,France,Sevilla,La Liga,2016-2017
38,Timothée Kolodziejczak,€ 0,€ 0,€ 0,D,24,France,Sevilla,La Liga,2016-2017
39,Juan Muñoz,€ 0,€ 0,€ 0,F,20,Spain,Sevilla,La Liga,2016-2017
