,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Sergi Enrich,"€ 26,923","€ 1,400,000","€ 1,395,483",F,28,Spain,Eibar,La Liga,2018-2019
1,Pedro León,"€ 23,558","€ 1,225,000","€ 1,221,047",F,31,Spain,Eibar,La Liga,2018-2019
2,Fabián Orellana,"€ 23,519","€ 1,223,000","€ 1,219,054",F,32,Chile,Eibar,La Liga,2018-2019
3,Paulo Oliveira,"€ 22,827","€ 1,187,000","€ 1,183,170",D,26,Portugal,Eibar,La Liga,2018-2019
4,Gonzalo Escalante,"€ 22,558","€ 1,173,000","€ 1,169,215",M,25,Argentina,Eibar,La Liga,2018-2019
5,Sergio Álvarez,"€ 20,788","€ 1,081,000","€ 1,077,512",M,26,Spain,Eibar,La Liga,2018-2019
6,Kike,"€ 19,154","€ 996,000","€ 992,786",F,28,Spain,Eibar,La Liga,2018-2019
7,Pape Diop,"€ 18,692","€ 972,000","€ 968,864",M,32,Senegal,Eibar,La Liga,2018-2019
8,Iván Ramis,"€ 18,500","€ 962,000","€ 958,896",D,33,Spain,Eibar,La Liga,2018-2019
9,Yoel Rodríguez,"€ 17,250","€ 897,000","€ 894,106",K,29,Spain,Eibar,La Liga,2018-2019
10,José Ángel,"€ 16,635","€ 865,000","€ 862,209",D,28,Spain,Eibar,La Liga,2018-2019
11,Bebé,"€ 16,481","€ 857,000","€ 854,235",F,27,Portugal,Eibar,La Liga,2018-2019
12,Rubén Peña,"€ 15,692","€ 816,000","€ 813,367",D,26,Spain,Eibar,La Liga,2018-2019
13,Joan Jordán,"€ 15,519","€ 807,000","€ 804,396",M,23,Spain,Eibar,La Liga,2018-2019
14,Charles,"€ 15,019","€ 781,000","€ 778,480",F,34,Brazil,Eibar,La Liga,2018-2019
15,Pablo Hervías,"€ 14,981","€ 779,000","€ 776,486",F,25,Spain,Eibar,La Liga,2018-2019
16,Pablo de Blasis,"€ 14,115","€ 734,000","€ 731,632",F,30,Argentina,Eibar,La Liga,2018-2019
17,Marko Dmitrovic,"€ 13,846","€ 720,000","€ 717,677",K,26,Serbia,Eibar,La Liga,2018-2019
18,Jordi Calavera,"€ 12,673","€ 659,000","€ 656,874",D,22,Spain,Eibar,La Liga,2018-2019
19,Pere Milla,"€ 12,231","€ 636,000","€ 633,948",F,25,Spain,Eibar,La Liga,2018-2019
20,Asier Riesgo,"€ 8,846","€ 460,000","€ 458,516",K,34,Spain,Eibar,La Liga,2018-2019
21,Pedro Bigas,"€ 6,250","€ 325,000","€ 323,951",D,28,Spain,Eibar,La Liga,2018-2019
22,Marc Cucurella,"€ 3,981","€ 207,000","€ 206,332",D,19,Spain,Eibar,La Liga,2018-2019
23,Marc Cardona,"€ 3,308","€ 172,000","€ 171,445",F,22,Spain,Eibar,La Liga,2018-2019
24,Anaitz Arbilla,"€ 2,865","€ 149,000","€ 148,519",D,31,Spain,Eibar,La Liga,2018-2019
25,Markel Areitio,€ 0,€ 0,€ 0,K,21,Spain,Eibar,La Liga,2018-2019
26,José Antonio Martínez,€ 0,€ 0,€ 0,D,25,Spain,Eibar,La Liga,2018-2019
27,Kaiser,€ 0,€ 0,€ 0,D,22,Spain,Eibar,La Liga,2018-2019
28,Alberto Mari,€ 0,€ 0,€ 0,M,16,Spain,Eibar,La Liga,2018-2019
29,Miguel Marí,€ 0,€ 0,€ 0,M,21,Spain,Eibar,La Liga,2018-2019
30,Nano,€ 0,€ 0,€ 0,F,23,Spain,Eibar,La Liga,2018-2019
31,Unai Elgezabal,€ 0,€ 0,€ 0,D,25,Spain,Eibar,La Liga,2018-2019
