,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Diego López,"€ 84,058","€ 4,371,000","€ 4,356,896",K,36,Spain,Espanyol,La Liga,2018-2019
1,David López,"€ 67,077","€ 3,488,000","€ 3,476,745",D,28,Spain,Espanyol,La Liga,2018-2019
2,Pablo Piatti,"€ 63,250","€ 3,289,000","€ 3,278,387",F,29,Argentina,Espanyol,La Liga,2018-2019
3,Borja Iglesias,"€ 41,000","€ 2,132,000","€ 2,125,121",F,25,Spain,Espanyol,La Liga,2018-2019
4,Leo Baptistão,"€ 40,135","€ 2,087,000","€ 2,080,266",F,25,Brazil,Espanyol,La Liga,2018-2019
5,Sergi Darder,"€ 36,423","€ 1,894,000","€ 1,887,889",M,24,Spain,Espanyol,La Liga,2018-2019
6,Roberto Rosales,"€ 26,000","€ 1,352,000","€ 1,347,637",D,29,Venezuela,Espanyol,La Liga,2018-2019
7,Víctor Sánchez,"€ 25,904","€ 1,347,000","€ 1,342,654",M,30,Spain,Espanyol,La Liga,2018-2019
8,Hernán Pérez,"€ 23,750","€ 1,235,000","€ 1,231,015",F,29,Paraguay,Espanyol,La Liga,2018-2019
9,Roberto,"€ 23,000","€ 1,196,000","€ 1,192,141",K,32,Spain,Espanyol,La Liga,2018-2019
10,Mario Hermoso,"€ 21,500","€ 1,118,000","€ 1,114,393",D,23,Spain,Espanyol,La Liga,2018-2019
11,Facundo Ferreyra,"€ 19,019","€ 989,000","€ 985,809",F,27,Argentina,Espanyol,La Liga,2018-2019
12,Naldo,"€ 15,962","€ 830,000","€ 827,322",D,29,Brazil,Espanyol,La Liga,2018-2019
13,Dídac Vilà,"€ 15,885","€ 826,000","€ 823,335",D,29,Spain,Espanyol,La Liga,2018-2019
14,Lei Wu,"€ 15,846","€ 824,000","€ 821,341",F,26,China,Espanyol,La Liga,2018-2019
15,Esteban Granero,"€ 14,115","€ 734,000","€ 731,632",M,30,Spain,Espanyol,La Liga,2018-2019
16,Marc Roca,"€ 14,096","€ 733,000","€ 730,635",M,21,Spain,Espanyol,La Liga,2018-2019
17,Óscar Duarte,"€ 12,500","€ 650,000","€ 647,903",D,29,Costa Rica,Espanyol,La Liga,2018-2019
18,Sergio García,"€ 12,115","€ 630,000","€ 627,967",F,35,Spain,Espanyol,La Liga,2018-2019
19,Oscar Melendo,"€ 11,019","€ 573,000","€ 571,151",M,20,Spain,Espanyol,La Liga,2018-2019
20,Javi López,"€ 10,962","€ 570,000","€ 568,161",D,32,Spain,Espanyol,La Liga,2018-2019
21,Álex López,"€ 5,885","€ 306,000","€ 305,013",M,21,Spain,Espanyol,La Liga,2018-2019
22,Javi Puado,"€ 4,923","€ 256,000","€ 255,174",F,20,Spain,Espanyol,La Liga,2018-2019
23,Alfa Semedo,"€ 4,519","€ 235,000","€ 234,242",M,20,Guinea-Bissau,Espanyol,La Liga,2018-2019
24,Lluis López,"€ 2,231","€ 116,000","€ 115,626",D,21,Spain,Espanyol,La Liga,2018-2019
25,Pipa,"€ 1,269","€ 66,000","€ 65,787",D,20,Spain,Espanyol,La Liga,2018-2019
26,Aarón Martín,€ 0,€ 0,€ 0,D,21,Spain,Espanyol,La Liga,2018-2019
27,Víctor Campuzano,€ 0,€ 0,€ 0,F,21,Spain,Espanyol,La Liga,2018-2019
28,Iago Indias,€ 0,€ 0,€ 0,D,22,Spain,Espanyol,La Liga,2018-2019
29,Adrià Pedrosa,€ 0,€ 0,€ 0,D,20,Spain,Espanyol,La Liga,2018-2019
30,Carlos Doncel,€ 0,€ 0,€ 0,F,21,Spain,Espanyol,La Liga,2018-2019
31,Álvaro Vázquez,€ 0,€ 0,€ 0,F,27,Spain,Espanyol,La Liga,2018-2019
