,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Douglas Luiz,"€ 44,558","€ 2,317,000","€ 2,309,524",M,20,Brazil,Girona,La Liga,2018-2019
1,Cristhian Stuani,"€ 35,654","€ 1,854,000","€ 1,848,018",F,31,Uruguay,Girona,La Liga,2018-2019
2,Portu,"€ 27,846","€ 1,448,000","€ 1,443,328",M,26,Spain,Girona,La Liga,2018-2019
3,Marc Muniesa,"€ 21,250","€ 1,105,000","€ 1,101,434",D,26,Spain,Girona,La Liga,2018-2019
4,Carles Planas,"€ 20,192","€ 1,050,000","€ 1,046,612",D,27,Spain,Girona,La Liga,2018-2019
5,Borja García,"€ 19,981","€ 1,039,000","€ 1,035,647",M,27,Spain,Girona,La Liga,2018-2019
6,Pere Pons,"€ 18,346","€ 954,000","€ 950,922",M,25,Spain,Girona,La Liga,2018-2019
7,Juanpe,"€ 17,000","€ 884,000","€ 881,148",D,27,Spain,Girona,La Liga,2018-2019
8,Álex Granell,"€ 16,481","€ 857,000","€ 854,235",M,29,Spain,Girona,La Liga,2018-2019
9,Bernardo Espinosa,"€ 15,769","€ 820,000","€ 817,354",D,28,Colombia,Girona,La Liga,2018-2019
10,Johan Mojica,"€ 15,288","€ 795,000","€ 792,435",D,25,Colombia,Girona,La Liga,2018-2019
11,Patrick Roberts,"€ 13,923","€ 724,000","€ 721,664",F,21,England,Girona,La Liga,2018-2019
12,Pedro Alcalá,"€ 13,904","€ 723,000","€ 720,667",D,29,Spain,Girona,La Liga,2018-2019
13,Seydou Doumbia,"€ 13,750","€ 715,000","€ 712,693",F,30,Cote d'Ivoire,Girona,La Liga,2018-2019
14,Gorka Iraizoz,"€ 13,615","€ 708,000","€ 705,715",K,37,Spain,Girona,La Liga,2018-2019
15,Aday,"€ 13,385","€ 696,000","€ 693,754",D,30,Spain,Girona,La Liga,2018-2019
16,Jonás Ramalho,"€ 12,365","€ 643,000","€ 640,925",D,25,Angola,Girona,La Liga,2018-2019
17,Bono,"€ 10,808","€ 562,000","€ 560,187",K,27,Morocco,Girona,La Liga,2018-2019
18,Aleix García,"€ 5,577","€ 290,000","€ 289,064",M,21,Spain,Girona,La Liga,2018-2019
19,José Aurelio Suárez,"€ 4,269","€ 222,000","€ 221,284",K,22,Spain,Girona,La Liga,2018-2019
20,Pedro Porro,"€ 2,115","€ 110,000","€ 109,645",D,18,Spain,Girona,La Liga,2018-2019
21,Valery Fernández,"€ 1,308","€ 68,000","€ 67,781",F,18,Spain,Girona,La Liga,2018-2019
22,David Timor,€ 0,€ 0,€ 0,M,28,Spain,Girona,La Liga,2018-2019
23,Antony Lozano,€ 0,€ 0,€ 0,F,25,Honduras,Girona,La Liga,2018-2019
24,Álex Pachón,€ 0,€ 0,€ 0,F,17,Spain,Girona,La Liga,2018-2019
25,Raúl Garcia,€ 0,€ 0,€ 0,D,29,Spain,Girona,La Liga,2018-2019
26,Sebas Coris,€ 0,€ 0,€ 0,F,25,Spain,Girona,La Liga,2018-2019
27,Seung-ho Paik,€ 0,€ 0,€ 0,M,21,South Korea,Girona,La Liga,2018-2019
28,Yhoan Andzouana,€ 0,€ 0,€ 0,F,21,Congo,Girona,La Liga,2018-2019
29,Jairo Izquierdo,€ 0,€ 0,€ 0,F,24,Spain,Girona,La Liga,2018-2019
30,Kévin Soni,€ 0,€ 0,€ 0,F,20,Cameroon,Girona,La Liga,2018-2019
31,Èric Montes,€ 0,€ 0,€ 0,D,20,Spain,Girona,La Liga,2018-2019
32,Marc Vito,€ 0,€ 0,€ 0,K,22,Spain,Girona,La Liga,2018-2019
