,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Kévin Gameiro,"€ 144,500","€ 7,514,000","€ 7,489,754",F,31,France,Valencia,La Liga,2018-2019
1,Rodrigo,"€ 131,096","€ 6,817,000","€ 6,795,004",F,27,Spain,Valencia,La Liga,2018-2019
2,Geoffrey Kondogbia,"€ 124,635","€ 6,481,000","€ 6,460,088",M,25,Central African Republic,Valencia,La Liga,2018-2019
3,Gonçalo Guedes,"€ 110,192","€ 5,730,000","€ 5,711,511",F,21,Portugal,Valencia,La Liga,2018-2019
4,Dani Parejo,"€ 101,577","€ 5,282,000","€ 5,264,957",M,29,Spain,Valencia,La Liga,2018-2019
5,Ezequiel Garay,"€ 96,154","€ 5,000,000","€ 4,983,866",D,31,Argentina,Valencia,La Liga,2018-2019
6,Michy Batshuayi,"€ 77,981","€ 4,055,000","€ 4,041,916",F,24,Belgium,Valencia,La Liga,2018-2019
7,Neto,"€ 71,231","€ 3,704,000","€ 3,692,048",K,28,Brazil,Valencia,La Liga,2018-2019
8,Francis Coquelin,"€ 70,000","€ 3,640,000","€ 3,628,255",M,27,France,Valencia,La Liga,2018-2019
9,Gabriel Paulista,"€ 70,000","€ 3,640,000","€ 3,628,255",D,27,Brazil,Valencia,La Liga,2018-2019
10,Daniel Wass,"€ 66,731","€ 3,470,000","€ 3,458,803",D,29,Denmark,Valencia,La Liga,2018-2019
11,José Gayà,"€ 63,250","€ 3,289,000","€ 3,278,387",D,23,Spain,Valencia,La Liga,2018-2019
12,Jeison Murillo,"€ 47,346","€ 2,462,000","€ 2,454,056",D,26,Colombia,Valencia,La Liga,2018-2019
13,Denis Cheryshev,"€ 40,404","€ 2,101,000","€ 2,094,221",F,27,Russia,Valencia,La Liga,2018-2019
14,Carlos Soler,"€ 39,635","€ 2,061,000","€ 2,054,350",M,21,Spain,Valencia,La Liga,2018-2019
15,Santi Mina,"€ 38,327","€ 1,993,000","€ 1,986,569",F,22,Spain,Valencia,La Liga,2018-2019
16,Rúben Vezo,"€ 24,904","€ 1,295,000","€ 1,290,821",D,24,Portugal,Valencia,La Liga,2018-2019
17,Cristiano Piccini,"€ 23,577","€ 1,226,000","€ 1,222,044",D,25,Italy,Valencia,La Liga,2018-2019
18,Facundo Roncaglia,"€ 22,577","€ 1,174,000","€ 1,170,212",D,31,Argentina,Valencia,La Liga,2018-2019
19,Rubén Sobrino,"€ 19,731","€ 1,026,000","€ 1,022,689",F,26,Spain,Valencia,La Liga,2018-2019
20,Jaume Doménech,"€ 18,654","€ 970,000","€ 966,870",K,27,Spain,Valencia,La Liga,2018-2019
21,Mouctar Diakhaby,"€ 15,327","€ 797,000","€ 794,428",D,21,France,Valencia,La Liga,2018-2019
22,Toni Lato,"€ 12,558","€ 653,000","€ 650,893",D,20,Spain,Valencia,La Liga,2018-2019
23,Ferran Torres,"€ 10,904","€ 567,000","€ 565,170",F,18,Spain,Valencia,La Liga,2018-2019
24,Álvaro Medrán,"€ 9,481","€ 493,000","€ 491,409",M,24,Spain,Valencia,La Liga,2018-2019
25,Álex Blanco,"€ 2,635","€ 137,000","€ 136,558",F,19,Spain,Valencia,La Liga,2018-2019
26,Kang-in Lee,€ 827,"€ 43,000","€ 42,861",M,17,South Korea,Valencia,La Liga,2018-2019
27,Uros Racic,€ 0,€ 0,€ 0,M,20,Serbia,Valencia,La Liga,2018-2019
28,Álex Centelles,€ 0,€ 0,€ 0,D,18,Spain,Valencia,La Liga,2018-2019
29,Aymen Abdennour,€ 0,€ 0,€ 0,D,28,Tunisia,Valencia,La Liga,2018-2019
30,Cristian Rivero,€ 0,€ 0,€ 0,K,20,Spain,Valencia,La Liga,2018-2019
31,Fran Navarro,€ 0,€ 0,€ 0,F,20,Spain,Valencia,La Liga,2018-2019
32,Hugo Guillamón,€ 0,€ 0,€ 0,D,18,Spain,Valencia,La Liga,2018-2019
33,Nacho Gil,€ 0,€ 0,€ 0,F,22,Spain,Valencia,La Liga,2018-2019
34,Simone Zaza,€ 0,€ 0,€ 0,F,27,Italy,Valencia,La Liga,2018-2019
35,Sito,€ 0,€ 0,€ 0,F,21,Spain,Valencia,La Liga,2018-2019
