,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Jan Oblak,"€ 400,000","€ 20,800,000","€ 20,800,000",K,26,Slovenia,Atletico Madrid,La Liga,2019-2020
1,Diego Costa,"€ 340,385","€ 17,700,000","€ 17,700,000",F,30,Spain,Atletico Madrid,La Liga,2019-2020
2,Koke,"€ 307,692","€ 16,000,000","€ 16,000,000",M,27,Spain,Atletico Madrid,La Liga,2019-2020
3,João Félix,"€ 278,846","€ 14,500,000","€ 14,500,000",F,19,Portugal,Atletico Madrid,La Liga,2019-2020
4,Saúl Ñíguez,"€ 230,769","€ 12,000,000","€ 12,000,000",M,24,Spain,Atletico Madrid,La Liga,2019-2020
5,Yannick Carrasco,"€ 200,385","€ 10,420,000","€ 10,420,000",F,26,Belgium,Atletico Madrid,La Liga,2019-2020
6,Vitolo,"€ 200,385","€ 10,420,000","€ 10,420,000",F,29,Spain,Atletico Madrid,La Liga,2019-2020
7,Álvaro Morata,"€ 188,462","€ 9,800,000","€ 9,800,000",F,26,Spain,Atletico Madrid,La Liga,2019-2020
8,Thomas Lemar,"€ 125,000","€ 6,500,000","€ 6,500,000",F,23,France,Atletico Madrid,La Liga,2019-2020
9,Héctor Herrera,"€ 115,385","€ 6,000,000","€ 6,000,000",M,29,Mexico,Atletico Madrid,La Liga,2019-2020
10,Thomas,"€ 96,154","€ 5,000,000","€ 5,000,000",M,26,Ghana,Atletico Madrid,La Liga,2019-2020
11,Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,500,000",D,28,Montenegro,Atletico Madrid,La Liga,2019-2020
12,Santiago Arias,"€ 80,000","€ 4,160,000","€ 4,160,000",D,27,Colombia,Atletico Madrid,La Liga,2019-2020
13,Sime Vrsaljko,"€ 80,000","€ 4,160,000","€ 4,160,000",D,27,Croatia,Atletico Madrid,La Liga,2019-2020
14,José Giménez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,24,Uruguay,Atletico Madrid,La Liga,2019-2020
15,Renan Lodi,"€ 73,077","€ 3,800,000","€ 3,800,000",D,21,Brazil,Atletico Madrid,La Liga,2019-2020
16,Ángel Correa,"€ 67,308","€ 3,500,000","€ 3,500,000",F,24,Argentina,Atletico Madrid,La Liga,2019-2020
17,Felipe,"€ 60,000","€ 3,120,000","€ 3,120,000",D,30,Brazil,Atletico Madrid,La Liga,2019-2020
18,Mario Hermoso,"€ 40,385","€ 2,100,000","€ 2,100,000",D,24,Spain,Atletico Madrid,La Liga,2019-2020
19,Marcos Llorente,"€ 40,385","€ 2,100,000","€ 2,100,000",M,24,Spain,Atletico Madrid,La Liga,2019-2020
20,Antonio Adán,"€ 40,000","€ 2,080,000","€ 2,080,000",K,32,Spain,Atletico Madrid,La Liga,2019-2020
21,Kieran Trippier,"€ 38,462","€ 2,000,000","€ 2,000,000",D,28,England,Atletico Madrid,La Liga,2019-2020
22,Ivan Saponjic,"€ 16,154","€ 840,000","€ 840,000",F,22,Serbia,Atletico Madrid,La Liga,2019-2020
