,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Raúl García,"€ 160,000","€ 8,320,000","€ 8,320,000",F,34,Spain,Athletic Club,La Liga,2020-2021
1,Iñaki Williams,"€ 114,808","€ 5,970,000","€ 5,970,000",F,26,Spain,Athletic Club,La Liga,2020-2021
2,Iñigo Martínez,"€ 96,154","€ 5,000,000","€ 5,000,000",D,29,Spain,Athletic Club,La Liga,2020-2021
3,Iker Muniain,"€ 84,615","€ 4,400,000","€ 4,400,000",F,27,Spain,Athletic Club,La Liga,2020-2021
4,Unai Simón,"€ 83,654","€ 4,350,000","€ 4,350,000",K,23,Spain,Athletic Club,La Liga,2020-2021
5,Yuri Berchiche,"€ 80,769","€ 4,200,000","€ 4,200,000",D,30,Spain,Athletic Club,La Liga,2020-2021
6,Iago Herrerín,"€ 61,154","€ 3,180,000","€ 3,180,000",K,32,Spain,Athletic Club,La Liga,2020-2021
7,Álex Berenguer,"€ 54,808","€ 2,850,000","€ 2,850,000",F,25,Spain,Athletic Club,La Liga,2020-2021
8,Dani García,"€ 53,269","€ 2,770,000","€ 2,770,000",M,30,Spain,Athletic Club,La Liga,2020-2021
9,Iñigo Córdoba,"€ 51,154","€ 2,660,000","€ 2,660,000",F,23,Spain,Athletic Club,La Liga,2020-2021
10,Yeray Álvarez,"€ 49,231","€ 2,560,000","€ 2,560,000",D,25,Spain,Athletic Club,La Liga,2020-2021
11,Ibai Gómez,"€ 48,846","€ 2,540,000","€ 2,540,000",F,30,Spain,Athletic Club,La Liga,2020-2021
12,Unai Núñez,"€ 43,077","€ 2,240,000","€ 2,240,000",D,23,Spain,Athletic Club,La Liga,2020-2021
13,Jon Morcillo,"€ 41,154","€ 2,140,000","€ 2,140,000",F,22,Spain,Athletic Club,La Liga,2020-2021
14,Kenan Kodro,"€ 41,154","€ 2,140,000","€ 2,140,000",F,27,Bosnia-Herzegovina,Athletic Club,La Liga,2020-2021
15,Ander Capa,"€ 38,462","€ 2,000,000","€ 2,000,000",D,28,Spain,Athletic Club,La Liga,2020-2021
16,Óscar de Marcos,"€ 35,577","€ 1,850,000","€ 1,850,000",D,31,Spain,Athletic Club,La Liga,2020-2021
17,Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,770,000",F,23,Spain,Athletic Club,La Liga,2020-2021
18,Mikel Balenziaga,"€ 31,731","€ 1,650,000","€ 1,650,000",D,32,Spain,Athletic Club,La Liga,2020-2021
19,Jokin Ezkieta,"€ 30,000","€ 1,560,000","€ 1,560,000",K,24,Spain,Athletic Club,La Liga,2020-2021
20,Iñigo Lekue,"€ 29,808","€ 1,550,000","€ 1,550,000",D,27,Spain,Athletic Club,La Liga,2020-2021
21,Oier Zarraga,"€ 28,846","€ 1,500,000","€ 1,500,000",M,22,Spain,Athletic Club,La Liga,2020-2021
22,Iñigo Vicente,"€ 27,500","€ 1,430,000","€ 1,430,000",F,22,Spain,Athletic Club,La Liga,2020-2021
23,Oihan Sancet,"€ 26,923","€ 1,400,000","€ 1,400,000",F,20,Spain,Athletic Club,La Liga,2020-2021
24,Unai López,"€ 23,269","€ 1,210,000","€ 1,210,000",M,24,Spain,Athletic Club,La Liga,2020-2021
25,Mikel Vesga,"€ 11,538","€ 600,000","€ 600,000",M,27,Spain,Athletic Club,La Liga,2020-2021
26,Peru Nolaskoain,"€ 8,462","€ 440,000","€ 440,000",M,21,Spain,Athletic Club,La Liga,2020-2021
27,Unai Vencedor,"€ 4,615","€ 240,000","€ 240,000",M,19,Spain,Athletic Club,La Liga,2020-2021
