,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Maxime Gonalons,,"€ 71,154","€ 3,700,000",DM,32,,"Jun 30, 2023",2-yrs,"€ 7,400,000",Granada,La Liga,2021-2022
1,Jorge Molina,,"€ 29,615","€ 1,540,000",CF,39,,"Jun 30, 2022",1-yr,"€ 1,540,000",Granada,La Liga,2021-2022
2,Luis Suárez,,"€ 29,615","€ 1,540,000",CF,23,,"Jun 30, 2025",4-yrs,"€ 6,160,000",Granada,La Liga,2021-2022
3,Darwin Machís,,"€ 26,154","€ 1,360,000",LW,28,,"Jun 30, 2023",2-yrs,"€ 2,720,000",Granada,La Liga,2021-2022
4,Domingos Duarte,,"€ 24,231","€ 1,260,000",CB,26,,"Jun 30, 2023",2-yrs,"€ 2,520,000",Granada,La Liga,2021-2022
5,Dimitri Foulquier,,"€ 23,077","€ 1,200,000",RB,28,,"Jun 30, 2023",2-yrs,"€ 2,400,000",Granada,La Liga,2021-2022
6,Luis Milla,,"€ 20,577","€ 1,070,000",CM,26,,"Jun 30, 2024",3-yrs,"€ 3,210,000",Granada,La Liga,2021-2022
7,Ángel Montoro,,"€ 13,462","€ 700,000",CM,33,,"Jun 30, 2022",1-yr,"€ 700,000",Granada,La Liga,2021-2022
8,Antonio Puertas,,"€ 12,308","€ 640,000",RW,29,,"Jun 30, 2024",3-yrs,"€ 1,920,000",Granada,La Liga,2021-2022
9,Germán Sánchez,,"€ 12,308","€ 640,000",CB,34,,"Jun 30, 2022",1-yr,"€ 640,000",Granada,La Liga,2021-2022
10,Alberto Soro,,"€ 11,154","€ 580,000",RW,22,,"Jun 30, 2025",4-yrs,"€ 2,320,000",Granada,La Liga,2021-2022
11,Yan Eteki,,"€ 9,615","€ 500,000",CM,23,,"Jun 30, 2022",1-yr,"€ 500,000",Granada,La Liga,2021-2022
12,Neyder Lozano,,"€ 9,038","€ 470,000",CB,27,,"Jun 30, 2022",1-yr,"€ 470,000",Granada,La Liga,2021-2022
13,Víctor Díaz,,"€ 8,462","€ 440,000",RB,33,,"Jun 30, 2022",1-yr,"€ 440,000",Granada,La Liga,2021-2022
14,Carlos Neva,,"€ 7,308","€ 380,000",LB,25,,"Jun 30, 2025",4-yrs,"€ 1,520,000",Granada,La Liga,2021-2022
15,Quini,,"€ 7,115","€ 370,000",RB,31,,"Jun 30, 2023",2-yrs,"€ 740,000",Granada,La Liga,2021-2022
16,Pepe Sánchez,,"€ 4,808","€ 250,000",RB,21,,"Jun 30, 2022",1-yr,"€ 250,000",Granada,La Liga,2021-2022
17,Adrián Marín,,"€ 3,654","€ 190,000",LB,24,,"Jun 30, 2023",2-yrs,"€ 380,000",Granada,La Liga,2021-2022
18,Aarón Escandell,,"€ 3,077","€ 160,000",GK,25,,"Jun 30, 2023",2-yrs,"€ 320,000",Granada,La Liga,2021-2022
19,Antoñín,,€ 0,€ 0,CF,21,,"Jun 30, 2024",3-yrs,€ 0,Granada,La Liga,2021-2022
20,Monchu,,€ 0,€ 0,CM,21,,"Jun 30, 2025",4-yrs,€ 0,Granada,La Liga,2021-2022
21,Ramon Azeez,,€ 0,€ 0,CM,28,,"Jun 30, 2022",1-yr,€ 0,Granada,La Liga,2021-2022
22,Carlos Bacca,,€ 0,€ 0,CF,34,,"Jun 30, 2022",1-yr,€ 0,Granada,La Liga,2021-2022
