,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Sylvain Armand,"€ 22,481","€ 1,169,000","€ 1,209,568",D,35,France,Rennes,Ligue 1,2016-2017
1,Benoît Costil,"€ 20,269","€ 1,054,000","€ 1,090,577",K,28,France,Rennes,Ligue 1,2016-2017
2,Yoann Gourcuff,"€ 16,885","€ 878,000","€ 908,469",M,29,France,Rennes,Ligue 1,2016-2017
3,Benjamin André,"€ 16,269","€ 846,000","€ 875,359",M,25,France,Rennes,Ligue 1,2016-2017
4,Gelson Fernandes,"€ 15,231","€ 792,000","€ 819,485",M,29,Switzerland,Rennes,Ligue 1,2016-2017
5,Morgan Amalfitano,"€ 15,231","€ 792,000","€ 819,485",F,31,France,Rennes,Ligue 1,2016-2017
6,Clément Chantôme,"€ 15,231","€ 792,000","€ 819,485",M,28,France,Rennes,Ligue 1,2016-2017
7,Ludovic Baal,"€ 14,135","€ 735,000","€ 760,507",D,30,French Guiana,Rennes,Ligue 1,2016-2017
8,Romain Danzé,"€ 13,038","€ 678,000","€ 701,528",D,29,France,Rennes,Ligue 1,2016-2017
9,Pedro Mendes,"€ 13,038","€ 678,000","€ 701,528",D,25,Portugal,Rennes,Ligue 1,2016-2017
10,Giovanni Sio,"€ 12,000","€ 624,000","€ 645,655",F,27,Cote d'Ivoire,Rennes,Ligue 1,2016-2017
11,Afonso Figueiredo,"€ 9,558","€ 497,000","€ 514,247",D,23,Portugal,Rennes,Ligue 1,2016-2017
12,Adama Diakhaby,"€ 9,308","€ 484,000","€ 500,796",F,19,France,Rennes,Ligue 1,2016-2017
13,Yacouba Sylla,"€ 8,231","€ 428,000","€ 442,853",M,25,Mali,Rennes,Ligue 1,2016-2017
14,Adrien Hunou,"€ 8,115","€ 422,000","€ 436,645",M,22,France,Rennes,Ligue 1,2016-2017
15,Wesley Saïd,"€ 8,058","€ 419,000","€ 433,540",F,21,France,Rennes,Ligue 1,2016-2017
16,Joris Gnagnon,"€ 8,058","€ 419,000","€ 433,540",D,19,France,Rennes,Ligue 1,2016-2017
17,Sanjin Prcic,"€ 8,058","€ 419,000","€ 433,540",M,22,Bosnia-Herzegovina,Rennes,Ligue 1,2016-2017
18,Steven Moreira,"€ 7,981","€ 415,000","€ 429,402",D,21,France,Rennes,Ligue 1,2016-2017
19,Aldo Kalulu,"€ 7,558","€ 393,000","€ 406,638",F,20,France,Rennes,Ligue 1,2016-2017
20,Ermir Lenjani,"€ 7,423","€ 386,000","€ 399,395",M,26,Albania,Rennes,Ligue 1,2016-2017
21,Raïs M'Bolhi,"€ 7,115","€ 370,000","€ 382,840",K,30,Algeria,Rennes,Ligue 1,2016-2017
22,Mehdi Zeffane,"€ 6,769","€ 352,000","€ 364,215",D,24,Algeria,Rennes,Ligue 1,2016-2017
23,Nicolas Janvier,"€ 3,385","€ 176,000","€ 182,108",M,17,France,Rennes,Ligue 1,2016-2017
24,Namakoro Diallo,"€ 2,519","€ 131,000","€ 135,546",D,20,France,Rennes,Ligue 1,2016-2017
25,James Léa Siliki,"€ 2,173","€ 113,000","€ 116,921",M,20,France,Rennes,Ligue 1,2016-2017
26,Romain Cagnon,€ 769,"€ 40,000","€ 41,388",K,19,France,Rennes,Ligue 1,2016-2017
27,Edvinas Gertmonas,€ 692,"€ 36,000","€ 37,249",K,20,Lithuania,Rennes,Ligue 1,2016-2017
28,Séga Coulibaly,€ 0,€ 0,€ 0,D,20,France,Rennes,Ligue 1,2016-2017
29,Anthony Ribelin,€ 0,€ 0,€ 0,M,20,France,Rennes,Ligue 1,2016-2017
30,Denis Will Poha,€ 0,€ 0,€ 0,M,19,France,Rennes,Ligue 1,2016-2017
31,Dimitri Kevin Cavaré,€ 0,€ 0,€ 0,D,21,Guadeloupe,Rennes,Ligue 1,2016-2017
32,Firmin Mubele,€ 0,€ 0,€ 0,F,22,Democratic Republic of Congo,Rennes,Ligue 1,2016-2017
33,Habib Habibou,€ 0,€ 0,€ 0,F,29,Central African Republic,Rennes,Ligue 1,2016-2017
34,Kamil Grosicki,€ 0,€ 0,€ 0,F,28,Poland,Rennes,Ligue 1,2016-2017
35,Kermit Erasmus,€ 0,€ 0,€ 0,F,25,South Africa,Rennes,Ligue 1,2016-2017
36,Mexer,€ 0,€ 0,€ 0,D,27,Mozambique,Rennes,Ligue 1,2016-2017
37,Paul-Georges Ntep,€ 0,€ 0,€ 0,F,23,Cameroon,Rennes,Ligue 1,2016-2017
38,Paul Nardi,€ 0,€ 0,€ 0,K,22,France,Rennes,Ligue 1,2016-2017
39,Pedro Henrique,€ 0,€ 0,€ 0,F,26,Brazil,Rennes,Ligue 1,2016-2017
40,Ramy Bensebaini,€ 0,€ 0,€ 0,D,21,Algeria,Rennes,Ligue 1,2016-2017
41,Sébastien Salles-Lamonge,€ 0,€ 0,€ 0,M,20,France,Rennes,Ligue 1,2016-2017
42,Abdoulaye Diallo,€ 0,€ 0,€ 0,K,24,Senegal,Rennes,Ligue 1,2016-2017
