,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Gaël Kakuta,"€ 75,942","€ 3,949,000","€ 4,011,790",F,26,Democratic Republic of Congo,Amiens,Ligue 1,2017-2018
1,1,Lacina Traoré,"€ 35,173","€ 1,829,000","€ 1,858,082",F,27,Cote d'Ivoire,Amiens,Ligue 1,2017-2018
2,2,Serge Gakpé,"€ 17,635","€ 917,000","€ 931,581",F,30,Togo,Amiens,Ligue 1,2017-2018
3,3,Danilo Avelar,"€ 14,115","€ 734,000","€ 745,671",D,28,Brazil,Amiens,Ligue 1,2017-2018
4,4,Moussa Konaté,"€ 9,115","€ 474,000","€ 481,537",F,24,Senegal,Amiens,Ligue 1,2017-2018
5,5,Jean-Luc Dompé,"€ 8,904","€ 463,000","€ 470,362",F,21,France,Amiens,Ligue 1,2017-2018
6,6,Guessouma Fofana,"€ 8,885","€ 462,000","€ 469,346",M,24,France,Amiens,Ligue 1,2017-2018
7,7,Bakaye Dibassy,"€ 7,962","€ 414,000","€ 420,583",D,27,Mali,Amiens,Ligue 1,2017-2018
8,8,Stiven Mendoza,"€ 6,904","€ 359,000","€ 364,708",F,25,Colombia,Amiens,Ligue 1,2017-2018
9,9,Issa Cissokho,"€ 6,404","€ 333,000","€ 338,295",D,32,Senegal,Amiens,Ligue 1,2017-2018
10,10,Bongani Zungu,"€ 5,692","€ 296,000","€ 300,707",M,24,South Africa,Amiens,Ligue 1,2017-2018
11,11,Mathieu Bodmer,"€ 4,558","€ 237,000","€ 240,768",M,34,France,Amiens,Ligue 1,2017-2018
12,12,Thomas Monconduit,"€ 4,558","€ 237,000","€ 240,768",M,26,France,Amiens,Ligue 1,2017-2018
13,13,Guy N'Gosso,"€ 4,385","€ 228,000","€ 231,625",M,32,Cameroon,Amiens,Ligue 1,2017-2018
14,14,Quentin Cornette,"€ 4,250","€ 221,000","€ 224,514",F,23,France,Amiens,Ligue 1,2017-2018
15,15,Oualid El Hajjam,"€ 4,096","€ 213,000","€ 216,387",D,26,Morocco,Amiens,Ligue 1,2017-2018
16,16,Régis Gurtner,"€ 4,096","€ 213,000","€ 216,387",K,30,France,Amiens,Ligue 1,2017-2018
17,17,Jean-Christophe Bouet,"€ 2,731","€ 142,000","€ 144,258",K,33,France,Amiens,Ligue 1,2017-2018
18,18,Khaled Adénon,"€ 2,731","€ 142,000","€ 144,258",D,31,Benin,Amiens,Ligue 1,2017-2018
19,19,Charly Charrier,"€ 2,731","€ 142,000","€ 144,258",M,31,France,Amiens,Ligue 1,2017-2018
20,20,Georges Gope-Fenepej,"€ 2,481","€ 129,000","€ 131,051",M,28,Neukaledonien,Amiens,Ligue 1,2017-2018
21,21,Julien Ielsch,"€ 1,596","€ 83,000","€ 84,320",D,34,France,Amiens,Ligue 1,2017-2018
22,22,Emmanuel Bourgaud,"€ 1,596","€ 83,000","€ 84,320",M,29,France,Amiens,Ligue 1,2017-2018
23,23,Gauthier Banaziak,€ 577,"€ 30,000","€ 30,477",K,20,France,Amiens,Ligue 1,2017-2018
24,24,Mahdi Talal,€ 0,€ 0,€ 0,M,19,France,Amiens,Ligue 1,2017-2018
25,25,Prince Gouano,€ 0,€ 0,€ 0,D,23,France,Amiens,Ligue 1,2017-2018
26,26,Bachibou Koita,€ 0,€ 0,€ 0,F,23,Niger,Amiens,Ligue 1,2017-2018
27,27,Raphaël Adiceam,€ 0,€ 0,€ 0,K,26,France,Amiens,Ligue 1,2017-2018
28,28,Harisson Manzala,€ 0,€ 0,€ 0,M,23,Democratic Republic of Congo,Amiens,Ligue 1,2017-2018
29,29,Sekou Baradji,€ 0,€ 0,€ 0,M,33,France,Amiens,Ligue 1,2017-2018
30,30,Cassini,€ 0,€ 0,€ 0,M,21,Brazil,Amiens,Ligue 1,2017-2018
31,31,Tanguy Ndombélé,€ 0,€ 0,€ 0,M,20,France,Amiens,Ligue 1,2017-2018
32,32,Nathan,€ 0,€ 0,€ 0,F,21,Brazil,Amiens,Ligue 1,2017-2018
33,33,Brighton Labeau,€ 0,€ 0,€ 0,F,21,France,Amiens,Ligue 1,2017-2018
0,0,Karl Toko Ekambi,"€ 12,538","€ 652,000","€ 662,367",F,24,Cameroon,Angers,Ligue 1,2017-2018
1,1,Ludovic Butelle,"€ 12,538","€ 652,000","€ 662,367",K,34,France,Angers,Ligue 1,2017-2018
2,2,Thomas Mangani,"€ 12,538","€ 652,000","€ 662,367",M,30,France,Angers,Ligue 1,2017-2018
3,3,Enzo Crivelli,"€ 12,538","€ 652,000","€ 662,367",F,22,France,Angers,Ligue 1,2017-2018
4,4,Romain Thomas,"€ 12,538","€ 652,000","€ 662,367",D,29,France,Angers,Ligue 1,2017-2018
5,5,Prince Oniangué,"€ 11,115","€ 578,000","€ 587,190",M,28,Congo,Angers,Ligue 1,2017-2018
6,6,Pierrick Capelle,"€ 10,231","€ 532,000","€ 540,459",M,30,France,Angers,Ligue 1,2017-2018
7,7,Baptiste Guillaume,"€ 9,500","€ 494,000","€ 501,855",F,22,Belgium,Angers,Ligue 1,2017-2018
8,8,Angelo Fulgini,"€ 9,115","€ 474,000","€ 481,537",M,20,France,Angers,Ligue 1,2017-2018
9,9,Ismaël Traoré,"€ 9,115","€ 474,000","€ 481,537",D,30,Cote d'Ivoire,Angers,Ligue 1,2017-2018
10,10,Vincent Manceau,"€ 9,115","€ 474,000","€ 481,537",D,27,France,Angers,Ligue 1,2017-2018
11,11,Thomas Touré,"€ 8,865","€ 461,000","€ 468,330",F,23,Cote d'Ivoire,Angers,Ligue 1,2017-2018
12,12,Loïc Puyo,"€ 8,788","€ 457,000","€ 464,266",M,28,France,Angers,Ligue 1,2017-2018
13,13,Mathieu Michel,"€ 8,712","€ 453,000","€ 460,203",K,25,France,Angers,Ligue 1,2017-2018
14,14,Flavien Tait,"€ 7,981","€ 415,000","€ 421,599",F,24,France,Angers,Ligue 1,2017-2018
15,15,Mateo Pavlovic,"€ 7,635","€ 397,000","€ 403,312",D,27,Croatia,Angers,Ligue 1,2017-2018
16,16,Gilles Sunu,"€ 7,577","€ 394,000","€ 400,265",F,26,Togo,Angers,Ligue 1,2017-2018
17,17,Yoann Andreu,"€ 7,577","€ 394,000","€ 400,265",D,28,France,Angers,Ligue 1,2017-2018
18,18,Abdoulaye Bamba,"€ 7,404","€ 385,000","€ 391,122",D,27,Cote d'Ivoire,Angers,Ligue 1,2017-2018
19,19,Lassana Coulibaly,"€ 5,596","€ 291,000","€ 295,627",M,21,Mali,Angers,Ligue 1,2017-2018
20,20,Wilfried Kanga,"€ 3,077","€ 160,000","€ 162,544",F,19,France,Angers,Ligue 1,2017-2018
21,21,Maxime Sivis,€ 712,"€ 37,000","€ 37,588",D,19,France,Angers,Ligue 1,2017-2018
22,22,Goran Karanovic,€ 0,€ 0,€ 0,F,29,Switzerland,Angers,Ligue 1,2017-2018
23,23,Rayan Aït Nouri,€ 0,€ 0,€ 0,D,16,France,Angers,Ligue 1,2017-2018
24,24,Férébory Doré,€ 0,€ 0,€ 0,F,28,Congo,Angers,Ligue 1,2017-2018
25,25,Saliou Ciss,€ 0,€ 0,€ 0,D,27,Senegal,Angers,Ligue 1,2017-2018
26,26,Billy Ketkeophomphone,€ 0,€ 0,€ 0,M,27,France,Angers,Ligue 1,2017-2018
27,27,Baptiste Santamaría,€ 0,€ 0,€ 0,M,22,France,Angers,Ligue 1,2017-2018
28,28,Anthony Mandrea,€ 0,€ 0,€ 0,K,20,France,Angers,Ligue 1,2017-2018
29,29,Alexandre Letellier,€ 0,€ 0,€ 0,K,26,France,Angers,Ligue 1,2017-2018
30,30,Youcef Belaïli,€ 0,€ 0,€ 0,F,25,Algeria,Angers,Ligue 1,2017-2018
31,31,Mehdi Tahrat,€ 0,€ 0,€ 0,D,27,Algeria,Angers,Ligue 1,2017-2018
32,32,Jeff Reine-Adélaïde,€ 0,€ 0,€ 0,M,19,France,Angers,Ligue 1,2017-2018
0,0,Malcom,"€ 34,173","€ 1,777,000","€ 1,805,255",F,20,Brazil,Bordeaux,Ligue 1,2017-2018
1,1,Martin Braithwaite,"€ 33,327","€ 1,733,000","€ 1,760,555",F,26,Denmark,Bordeaux,Ligue 1,2017-2018
2,2,Benoît Costil,"€ 27,327","€ 1,421,000","€ 1,443,594",K,29,France,Bordeaux,Ligue 1,2017-2018
3,3,Nicolas de Préville,"€ 27,327","€ 1,421,000","€ 1,443,594",F,26,France,Bordeaux,Ligue 1,2017-2018
4,4,Diego Contento,"€ 25,058","€ 1,303,000","€ 1,323,718",D,27,Germany,Bordeaux,Ligue 1,2017-2018
5,5,François Kamano,"€ 23,000","€ 1,196,000","€ 1,215,017",F,21,Guinea,Bordeaux,Ligue 1,2017-2018
6,6,Paul Baysse,"€ 22,769","€ 1,184,000","€ 1,202,826",D,29,France,Bordeaux,Ligue 1,2017-2018
