,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Malcom,"€ 34,173","€ 1,777,000","€ 1,805,255",F,20,Brazil,Bordeaux,Ligue 1,2017-2018
1,Martin Braithwaite,"€ 33,327","€ 1,733,000","€ 1,760,555",F,26,Denmark,Bordeaux,Ligue 1,2017-2018
2,Benoît Costil,"€ 27,327","€ 1,421,000","€ 1,443,594",K,29,France,Bordeaux,Ligue 1,2017-2018
3,Nicolas de Préville,"€ 27,327","€ 1,421,000","€ 1,443,594",F,26,France,Bordeaux,Ligue 1,2017-2018
4,Diego Contento,"€ 25,058","€ 1,303,000","€ 1,323,718",D,27,Germany,Bordeaux,Ligue 1,2017-2018
5,François Kamano,"€ 23,000","€ 1,196,000","€ 1,215,017",F,21,Guinea,Bordeaux,Ligue 1,2017-2018
6,Paul Baysse,"€ 22,769","€ 1,184,000","€ 1,202,826",D,29,France,Bordeaux,Ligue 1,2017-2018
7,Gaëtan Laborde,"€ 20,500","€ 1,066,000","€ 1,082,950",F,23,France,Bordeaux,Ligue 1,2017-2018
8,Otávio,"€ 18,423","€ 958,000","€ 973,233",M,23,Brazil,Bordeaux,Ligue 1,2017-2018
9,Younousse Sankharé,"€ 18,231","€ 948,000","€ 963,074",M,27,Senegal,Bordeaux,Ligue 1,2017-2018
10,Jaroslav Plasil,"€ 17,096","€ 889,000","€ 903,135",M,35,Czech Republic,Bordeaux,Ligue 1,2017-2018
11,Pablo,"€ 13,673","€ 711,000","€ 722,305",D,26,Brazil,Bordeaux,Ligue 1,2017-2018
12,Youssouf Sabaly,"€ 12,519","€ 651,000","€ 661,351",D,24,Senegal,Bordeaux,Ligue 1,2017-2018
13,Lukas Lerager,"€ 12,385","€ 644,000","€ 654,240",M,23,Denmark,Bordeaux,Ligue 1,2017-2018
14,Alexandre Mendy,"€ 10,442","€ 543,000","€ 551,634",F,23,France,Bordeaux,Ligue 1,2017-2018
15,Igor Lewczuk,"€ 9,038","€ 470,000","€ 477,473",D,32,Poland,Bordeaux,Ligue 1,2017-2018
16,Thomas Touré,"€ 8,865","€ 461,000","€ 468,330",F,23,Cote d'Ivoire,Bordeaux,Ligue 1,2017-2018
17,Maxime Poundjé,"€ 7,981","€ 415,000","€ 421,599",D,24,France,Bordeaux,Ligue 1,2017-2018
18,Milan Gajic,"€ 7,981","€ 415,000","€ 421,599",D,21,Serbia,Bordeaux,Ligue 1,2017-2018
19,Théo Pellenard,"€ 7,615","€ 396,000","€ 402,297",D,23,France,Bordeaux,Ligue 1,2017-2018
20,Jérôme Prior,"€ 6,442","€ 335,000","€ 340,327",K,21,France,Bordeaux,Ligue 1,2017-2018
21,Olivier Verdon,"€ 4,481","€ 233,000","€ 236,705",D,21,Benin,Bordeaux,Ligue 1,2017-2018
22,Zaydou Youssouf,"€ 2,288","€ 119,000","€ 120,892",F,17,France,Bordeaux,Ligue 1,2017-2018
23,Gaëtan Poussin,"€ 1,942","€ 101,000","€ 102,606",K,18,France,Bordeaux,Ligue 1,2017-2018
24,Jules Koundé,"€ 1,904","€ 99,000","€ 100,574",D,18,France,Bordeaux,Ligue 1,2017-2018
25,Over Mandanda,€ 808,"€ 42,000","€ 42,668",K,18,France,Bordeaux,Ligue 1,2017-2018
26,Ervin Taha,€ 692,"€ 36,000","€ 36,572",F,18,France,Bordeaux,Ligue 1,2017-2018
27,Thomas Carrique,€ 692,"€ 36,000","€ 36,572",D,18,France,Bordeaux,Ligue 1,2017-2018
28,Matheus Pereira,€ 0,€ 0,€ 0,F,19,Brazil,Bordeaux,Ligue 1,2017-2018
29,Aurélien Tchouaméni,€ 0,€ 0,€ 0,M,17,France,Bordeaux,Ligue 1,2017-2018
30,Jérémy Toulalan,€ 0,€ 0,€ 0,M,33,France,Bordeaux,Ligue 1,2017-2018
31,Jonathan Cafú,€ 0,€ 0,€ 0,F,25,Brazil,Bordeaux,Ligue 1,2017-2018
32,Aaron Boupendza,€ 0,€ 0,€ 0,F,20,Gabon,Bordeaux,Ligue 1,2017-2018
33,Mauro Arambarri,€ 0,€ 0,€ 0,M,21,Uruguay,Bordeaux,Ligue 1,2017-2018
34,Soualiho Meïté,€ 0,€ 0,€ 0,M,23,France,Bordeaux,Ligue 1,2017-2018
35,Valentín Vada,€ 0,€ 0,€ 0,M,21,Argentina,Bordeaux,Ligue 1,2017-2018
36,Vukasin Jovanovic,€ 0,€ 0,€ 0,D,21,Serbia,Bordeaux,Ligue 1,2017-2018
