,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Thiago Maia,"€ 56,962","€ 2,962,000","€ 3,009,097",M,20,Brazil,Lille,Ligue 1,2017-2018
1,Ibrahim Amadou,"€ 41,000","€ 2,132,000","€ 2,165,900",M,24,France,Lille,Ligue 1,2017-2018
2,Thiago Mendes,"€ 41,000","€ 2,132,000","€ 2,165,900",M,25,Brazil,Lille,Ligue 1,2017-2018
3,Ezequiel Ponce,"€ 37,962","€ 1,974,000","€ 2,005,387",F,20,Argentina,Lille,Ligue 1,2017-2018
4,Adama Soumaoro,"€ 34,173","€ 1,777,000","€ 1,805,255",D,25,France,Lille,Ligue 1,2017-2018
5,Anwar El Ghazi,"€ 34,173","€ 1,777,000","€ 1,805,255",F,22,Netherlands,Lille,Ligue 1,2017-2018
6,Kévin Malcuit,"€ 34,173","€ 1,777,000","€ 1,805,255",D,25,France,Lille,Ligue 1,2017-2018
7,Mike Maignan,"€ 34,173","€ 1,777,000","€ 1,805,255",K,21,France,Lille,Ligue 1,2017-2018
8,Yassine Benzia,"€ 34,173","€ 1,777,000","€ 1,805,255",M,22,Algeria,Lille,Ligue 1,2017-2018
9,Nicolas de Préville,"€ 27,327","€ 1,421,000","€ 1,443,594",F,26,France,Lille,Ligue 1,2017-2018
10,Luiz Araújo,"€ 18,423","€ 958,000","€ 973,233",F,21,Brazil,Lille,Ligue 1,2017-2018
11,Edgar Ié,"€ 18,423","€ 958,000","€ 973,233",D,23,Portugal,Lille,Ligue 1,2017-2018
12,Fodé Ballo-Touré,"€ 17,885","€ 930,000","€ 944,787",D,20,France,Lille,Ligue 1,2017-2018
13,Xeka,"€ 13,481","€ 701,000","€ 712,146",M,22,Portugal,Lille,Ligue 1,2017-2018
14,Nicolas Pépé,"€ 13,327","€ 693,000","€ 704,019",F,22,Cote d'Ivoire,Lille,Ligue 1,2017-2018
15,Yves Bissouma,"€ 13,058","€ 679,000","€ 689,796",M,20,Mali,Lille,Ligue 1,2017-2018
16,Farès Bahlouli,"€ 9,442","€ 491,000","€ 498,807",M,22,France,Lille,Ligue 1,2017-2018
17,Lebo Mothiba,"€ 7,558","€ 393,000","€ 399,249",F,21,South Africa,Lille,Ligue 1,2017-2018
18,Hervé Koffi,"€ 5,750","€ 299,000","€ 303,754",K,20,Burkina Faso,Lille,Ligue 1,2017-2018
19,Adam Jakubech,"€ 5,750","€ 299,000","€ 303,754",K,20,Slovakia,Lille,Ligue 1,2017-2018
20,Hamza Mendyl,"€ 5,231","€ 272,000","€ 276,325",D,19,Morocco,Lille,Ligue 1,2017-2018
21,Imad Faraj,"€ 4,019","€ 209,000","€ 212,323",F,18,France,Lille,Ligue 1,2017-2018
22,Rominigue Kouamé,"€ 3,481","€ 181,000","€ 183,878",M,20,Mali,Lille,Ligue 1,2017-2018
23,Chahreddine Boukholda,"€ 2,692","€ 140,000","€ 142,226",M,21,France,Lille,Ligue 1,2017-2018
24,Boubakary Soumaré,"€ 2,154","€ 112,000","€ 113,781",M,18,France,Lille,Ligue 1,2017-2018
25,Alexis Flips,"€ 2,038","€ 106,000","€ 107,685",F,17,France,Lille,Ligue 1,2017-2018
26,Ruben Droehnle,"€ 1,596","€ 83,000","€ 84,320",D,18,France,Lille,Ligue 1,2017-2018
27,Benjamin Vérité,€ 769,"€ 40,000","€ 40,636",D,18,France,Lille,Ligue 1,2017-2018
28,Scotty Sadzoute,€ 654,"€ 34,000","€ 34,541",D,19,France,Lille,Ligue 1,2017-2018
29,Valère Pollet,€ 0,€ 0,€ 0,M,20,France,Lille,Ligue 1,2017-2018
30,Kouadio-Yves Dabila,€ 0,€ 0,€ 0,D,20,Cote d'Ivoire,Lille,Ligue 1,2017-2018
31,Júnior Alonso,€ 0,€ 0,€ 0,D,24,Paraguay,Lille,Ligue 1,2017-2018
