,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Paul Baysse,"€ 17,250","€ 897,000","€ 901,274",D,30,France,Caen,Ligue 1,2018-2019
1,Claudio Beauvue,"€ 16,962","€ 882,000","€ 886,203",F,30,Guadeloupe,Caen,Ligue 1,2018-2019
2,Ronny Rodelin,"€ 16,096","€ 837,000","€ 840,988",F,28,France,Caen,Ligue 1,2018-2019
3,Fayçal Fajr,"€ 11,500","€ 598,000","€ 600,849",M,29,Morocco,Caen,Ligue 1,2018-2019
4,Enzo Crivelli,"€ 11,500","€ 598,000","€ 600,849",F,23,France,Caen,Ligue 1,2018-2019
5,Prince Oniangué,"€ 11,135","€ 579,000","€ 581,759",M,29,Congo,Caen,Ligue 1,2018-2019
6,Romain Genevois,"€ 10,346","€ 538,000","€ 540,564",D,30,Haiti,Caen,Ligue 1,2018-2019
7,Malik Tchokounté,"€ 9,365","€ 487,000","€ 489,321",F,29,France,Caen,Ligue 1,2018-2019
8,Ismaël Diomandé,"€ 9,192","€ 478,000","€ 480,278",M,25,Cote d'Ivoire,Caen,Ligue 1,2018-2019
9,Emmanuel Imorou,"€ 9,096","€ 473,000","€ 475,254",D,29,Benin,Caen,Ligue 1,2018-2019
10,Mouhamadou Dabo,"€ 9,096","€ 473,000","€ 475,254",D,31,France,Caen,Ligue 1,2018-2019
11,Jonathan Gradit,"€ 8,596","€ 447,000","€ 449,130",D,25,France,Caen,Ligue 1,2018-2019
12,Casimir Ninga,"€ 8,058","€ 419,000","€ 420,997",F,25,Chad,Caen,Ligue 1,2018-2019
13,Yacine Bammou,"€ 6,904","€ 359,000","€ 360,711",F,26,Morocco,Caen,Ligue 1,2018-2019
14,Baissama Sankoh,"€ 6,904","€ 359,000","€ 360,711",M,26,Guinea,Caen,Ligue 1,2018-2019
15,Brice Samba,"€ 6,904","€ 359,000","€ 360,711",K,24,France,Caen,Ligue 1,2018-2019
16,Alexander Djiku,"€ 6,904","€ 359,000","€ 360,711",D,23,France,Caen,Ligue 1,2018-2019
17,Jan Repas,"€ 6,904","€ 359,000","€ 360,711",F,21,Slovenia,Caen,Ligue 1,2018-2019
18,Frédéric Guilbert,"€ 6,904","€ 359,000","€ 360,711",D,23,France,Caen,Ligue 1,2018-2019
19,Stef Peeters,"€ 6,904","€ 359,000","€ 360,711",M,26,Belgium,Caen,Ligue 1,2018-2019
20,Aly Ndom,"€ 6,346","€ 330,000","€ 331,572",M,22,France,Caen,Ligue 1,2018-2019
21,Jessy Deminguet,"€ 6,135","€ 319,000","€ 320,520",M,20,France,Caen,Ligue 1,2018-2019
22,Adama Mbengue,"€ 5,808","€ 302,000","€ 303,439",D,24,Senegal,Caen,Ligue 1,2018-2019
23,Paul Reulet,"€ 4,596","€ 239,000","€ 240,139",K,24,France,Caen,Ligue 1,2018-2019
24,Erwin Zelazny,"€ 4,135","€ 215,000","€ 216,024",K,26,France,Caen,Ligue 1,2018-2019
25,Yoël Armougom,"€ 3,135","€ 163,000","€ 163,777",D,20,France,Caen,Ligue 1,2018-2019
26,Issa Marega,"€ 2,231","€ 116,000","€ 116,553",D,20,France,Caen,Ligue 1,2018-2019
27,Younn Zahary,"€ 1,827","€ 95,000","€ 95,453",D,19,France,Caen,Ligue 1,2018-2019
28,Herman Moussaki,"€ 1,808","€ 94,000","€ 94,448",F,19,Congo,Caen,Ligue 1,2018-2019
29,Jad Mouaddib,"€ 1,788","€ 93,000","€ 93,443",M,19,France,Caen,Ligue 1,2018-2019
30,Godson Kyeremeh,"€ 1,750","€ 91,000","€ 91,434",M,18,France,Caen,Ligue 1,2018-2019
31,Evens Joseph,"€ 1,135","€ 59,000","€ 59,281",F,18,France,Caen,Ligue 1,2018-2019
32,Thomas Callens,"€ 1,058","€ 55,000","€ 55,262",K,19,France,Caen,Ligue 1,2018-2019
33,Brice Tutu,€ 654,"€ 34,000","€ 34,162",F,20,France,Caen,Ligue 1,2018-2019
34,Timo Stavitski,€ 0,€ 0,€ 0,F,18,Finland,Caen,Ligue 1,2018-2019
35,Valentin Voisin,€ 0,€ 0,€ 0,M,22,France,Caen,Ligue 1,2018-2019
36,Saîf-Eddine Khaoui,€ 0,€ 0,€ 0,M,23,Tunisia,Caen,Ligue 1,2018-2019
37,Durel Avounou,€ 0,€ 0,€ 0,M,20,Congo,Caen,Ligue 1,2018-2019
38,Pape Sané,€ 0,€ 0,€ 0,F,26,Senegal,Caen,Ligue 1,2018-2019
