,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Johan Larsson,"€ 24,423","€ 1,270,000","€ 1,276,052",D,28,Sweden,Guingamp,Ligue 1,2018-2019
1,Nolan Roux,"€ 19,327","€ 1,005,000","€ 1,009,789",F,30,France,Guingamp,Ligue 1,2018-2019
2,Alexandre Mendy,"€ 16,827","€ 875,000","€ 879,169",F,24,France,Guingamp,Ligue 1,2018-2019
3,Nicolas Benezet,"€ 16,692","€ 868,000","€ 872,136",F,27,France,Guingamp,Ligue 1,2018-2019
4,Didier Ndong,"€ 16,154","€ 840,000","€ 844,003",M,24,Gabon,Guingamp,Ligue 1,2018-2019
5,Ronny Rodelin,"€ 16,096","€ 837,000","€ 840,988",F,28,France,Guingamp,Ligue 1,2018-2019
6,Papy Djilobodji,"€ 15,442","€ 803,000","€ 806,826",D,29,Senegal,Guingamp,Ligue 1,2018-2019
7,Guessouma Fofana,"€ 12,385","€ 644,000","€ 647,069",M,25,France,Guingamp,Ligue 1,2018-2019
8,Jérémy Sorbon,"€ 11,500","€ 598,000","€ 600,849",D,34,France,Guingamp,Ligue 1,2018-2019
9,Félix Eboa Eboa,"€ 11,346","€ 590,000","€ 592,811",D,21,Cameroon,Guingamp,Ligue 1,2018-2019
10,Marcus Thuram,"€ 10,673","€ 555,000","€ 557,645",F,20,France,Guingamp,Ligue 1,2018-2019
11,Cheik Traoré,"€ 10,462","€ 544,000","€ 546,592",D,23,France,Guingamp,Ligue 1,2018-2019
12,Étienne Didot,"€ 10,346","€ 538,000","€ 540,564",M,34,France,Guingamp,Ligue 1,2018-2019
13,Lucas Deaux,"€ 10,346","€ 538,000","€ 540,564",M,29,France,Guingamp,Ligue 1,2018-2019
14,Ludovic Blas,"€ 9,192","€ 478,000","€ 480,278",M,20,France,Guingamp,Ligue 1,2018-2019
15,Christophe Kerbrat,"€ 9,192","€ 478,000","€ 480,278",D,31,France,Guingamp,Ligue 1,2018-2019
16,Franck Tabanou,"€ 9,192","€ 478,000","€ 480,278",D,29,France,Guingamp,Ligue 1,2018-2019
17,Yannis Salibur,"€ 9,192","€ 478,000","€ 480,278",F,27,France,Guingamp,Ligue 1,2018-2019
18,Nathaël Julan,"€ 7,750","€ 403,000","€ 404,920",F,21,France,Guingamp,Ligue 1,2018-2019
19,Denis Petric,"€ 7,442","€ 387,000","€ 388,844",K,30,Serbia,Guingamp,Ligue 1,2018-2019
20,Yeni N'Gbakoto,"€ 6,981","€ 363,000","€ 364,730",F,26,Democratic Republic of Congo,Guingamp,Ligue 1,2018-2019
21,Lebogang Phiri,"€ 6,981","€ 363,000","€ 364,730",M,23,South Africa,Guingamp,Ligue 1,2018-2019
22,Pedro Rebocho,"€ 6,981","€ 363,000","€ 364,730",D,23,Portugal,Guingamp,Ligue 1,2018-2019
23,Karl-Johan Johnsson,"€ 6,827","€ 355,000","€ 356,692",K,28,Sweden,Guingamp,Ligue 1,2018-2019
24,Marc-Aurèle Caillard,"€ 6,692","€ 348,000","€ 349,658",K,24,France,Guingamp,Ligue 1,2018-2019
25,Marcus Coco,"€ 5,673","€ 295,000","€ 296,406",F,22,France,Guingamp,Ligue 1,2018-2019
26,Jordan Ikoko,"€ 5,673","€ 295,000","€ 296,406",D,24,Democratic Republic of Congo,Guingamp,Ligue 1,2018-2019
27,Mehdi Merghem,"€ 5,462","€ 284,000","€ 285,353",M,20,France,Guingamp,Ligue 1,2018-2019
28,Mehdi Boudjemaa,"€ 2,596","€ 135,000","€ 135,643",M,20,France,Guingamp,Ligue 1,2018-2019
29,Matthias Phaeton,"€ 1,981","€ 103,000","€ 103,491",F,18,France,Guingamp,Ligue 1,2018-2019
30,Djegui Koita,"€ 1,923","€ 100,000","€ 100,476",D,18,France,Guingamp,Ligue 1,2018-2019
31,Steven Ako,"€ 1,750","€ 91,000","€ 91,434",D,19,France,Guingamp,Ligue 1,2018-2019
32,Yohan Bilingi,"€ 1,577","€ 82,000","€ 82,391",D,19,France,Guingamp,Ligue 1,2018-2019
33,Louis Carnot,"€ 1,019","€ 53,000","€ 53,253",M,17,France,Guingamp,Ligue 1,2018-2019
34,Théo Guivarch,€ 0,€ 0,€ 0,K,22,France,Guingamp,Ligue 1,2018-2019
35,Sikou Niakaté,€ 0,€ 0,€ 0,D,18,France,Guingamp,Ligue 1,2018-2019
36,Jérémy Livolant,€ 0,€ 0,€ 0,M,20,France,Guingamp,Ligue 1,2018-2019
