,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Mario Balotelli,"€ 250,000","€ 13,000,000","€ 13,061,945",F,27,Italy,Nice,Ligue 1,2018-2019
1,Dante,"€ 57,500","€ 2,990,000","€ 3,004,247",D,34,Brazil,Nice,Ligue 1,2018-2019
2,Danilo,"€ 25,269","€ 1,314,000","€ 1,320,261",M,22,Brazil,Nice,Ligue 1,2018-2019
3,Allan Saint-Maximin,"€ 23,000","€ 1,196,000","€ 1,201,699",F,21,France,Nice,Ligue 1,2018-2019
4,Wylan Cyprien,"€ 23,000","€ 1,196,000","€ 1,201,699",M,23,France,Nice,Ligue 1,2018-2019
5,Christophe Jallet,"€ 17,250","€ 897,000","€ 901,274",D,34,France,Nice,Ligue 1,2018-2019
6,Myziane Maolida,"€ 14,846","€ 772,000","€ 775,679",F,19,France,Nice,Ligue 1,2018-2019
7,Adrien Tamèze,"€ 13,404","€ 697,000","€ 700,321",M,24,France,Nice,Ligue 1,2018-2019
8,Yoan Cardinale,"€ 12,154","€ 632,000","€ 635,011",K,24,France,Nice,Ligue 1,2018-2019
9,Racine Coly,"€ 11,635","€ 605,000","€ 607,883",D,22,Senegal,Nice,Ligue 1,2018-2019
10,Walter Benítez,"€ 11,077","€ 576,000","€ 578,745",K,25,Argentina,Nice,Ligue 1,2018-2019
11,Bassem Srarfi,"€ 10,346","€ 538,000","€ 540,564",F,21,Tunisia,Nice,Ligue 1,2018-2019
12,Ihsan Sacko,"€ 10,250","€ 533,000","€ 535,540",M,20,France,Nice,Ligue 1,2018-2019
13,Olivier Boscagli,"€ 10,019","€ 521,000","€ 523,483",D,20,France,Nice,Ligue 1,2018-2019
14,Youcef Atal,"€ 10,000","€ 520,000","€ 522,478",D,22,Algeria,Nice,Ligue 1,2018-2019
15,Pierre Lees Melou,"€ 9,192","€ 478,000","€ 480,278",M,25,France,Nice,Ligue 1,2018-2019
16,Malang Sarr,"€ 9,096","€ 473,000","€ 475,254",D,19,France,Nice,Ligue 1,2018-2019
17,Mickaël Le Bihan,"€ 7,500","€ 390,000","€ 391,858",F,28,France,Nice,Ligue 1,2018-2019
18,Jean-Victor Makengo,"€ 7,288","€ 379,000","€ 380,806",M,20,France,Nice,Ligue 1,2018-2019
19,Rémi Walter,"€ 6,904","€ 359,000","€ 360,711",M,23,France,Nice,Ligue 1,2018-2019
20,Patrick Burner,"€ 6,096","€ 317,000","€ 318,511",D,22,France,Nice,Ligue 1,2018-2019
21,Mouez Hassen,"€ 5,827","€ 303,000","€ 304,444",K,23,Tunisia,Nice,Ligue 1,2018-2019
22,Christophe Hérelle,"€ 5,750","€ 299,000","€ 300,425",D,25,France,Nice,Ligue 1,2018-2019
23,Gautier Lloris,"€ 4,231","€ 220,000","€ 221,048",D,22,France,Nice,Ligue 1,2018-2019
24,Ignatius Ganago,"€ 3,346","€ 174,000","€ 174,829",F,19,Cameroon,Nice,Ligue 1,2018-2019
25,Maxime Pélican,"€ 2,154","€ 112,000","€ 112,534",F,20,France,Nice,Ligue 1,2018-2019
26,Assil Jaziri,"€ 1,981","€ 103,000","€ 103,491",M,18,Tunisia,Nice,Ligue 1,2018-2019
27,Yanis Hamache,"€ 1,712","€ 89,000","€ 89,424",D,18,France,Nice,Ligue 1,2018-2019
28,Eddy Sylvestre,"€ 1,635","€ 85,000","€ 85,405",M,18,France,Nice,Ligue 1,2018-2019
29,Jawad Dramé,"€ 1,596","€ 83,000","€ 83,395",M,18,France,Nice,Ligue 1,2018-2019
30,Hicham Mahou,"€ 1,577","€ 82,000","€ 82,391",F,18,France,Nice,Ligue 1,2018-2019
31,Yannis Clementia,"€ 1,481","€ 77,000","€ 77,367",K,20,France,Nice,Ligue 1,2018-2019
32,Andy Pelmard,"€ 1,442","€ 75,000","€ 75,357",D,18,France,Nice,Ligue 1,2018-2019
33,Vincent Marcel,€ 0,€ 0,€ 0,M,21,France,Nice,Ligue 1,2018-2019
34,Romain Perraud,€ 0,€ 0,€ 0,D,20,France,Nice,Ligue 1,2018-2019
35,Pedro Brazão,€ 0,€ 0,€ 0,F,15,Portugal,Nice,Ligue 1,2018-2019
36,Arnaud Lusamba,€ 0,€ 0,€ 0,M,21,France,Nice,Ligue 1,2018-2019
37,Mohamed Lamine Diaby,€ 0,€ 0,€ 0,F,17,France,Nice,Ligue 1,2018-2019
