,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Yann M'Vila,"€ 69,769","€ 3,628,000","€ 3,645,287",M,28,France,St Etienne,Ligue 1,2018-2019
1,Rémy Cabella,"€ 43,692","€ 2,272,000","€ 2,282,826",M,28,France,St Etienne,Ligue 1,2018-2019
2,Neven Subotic,"€ 34,500","€ 1,794,000","€ 1,802,548",D,29,Germany,St Etienne,Ligue 1,2018-2019
3,Loïs Diony,"€ 28,712","€ 1,493,000","€ 1,500,114",F,25,France,St Etienne,Ligue 1,2018-2019
4,Wahbi Khazri,"€ 26,750","€ 1,391,000","€ 1,397,628",M,27,Tunisia,St Etienne,Ligue 1,2018-2019
5,Mathieu Debuchy,"€ 20,692","€ 1,076,000","€ 1,081,127",D,32,France,St Etienne,Ligue 1,2018-2019
6,Stéphane Ruffier,"€ 20,692","€ 1,076,000","€ 1,081,127",K,31,France,St Etienne,Ligue 1,2018-2019
7,Loïc Perrin,"€ 20,692","€ 1,076,000","€ 1,081,127",D,32,France,St Etienne,Ligue 1,2018-2019
8,Robert Beric,"€ 20,462","€ 1,064,000","€ 1,069,070",F,27,Slovenia,St Etienne,Ligue 1,2018-2019
9,Romain Hamouma,"€ 19,538","€ 1,016,000","€ 1,020,841",F,31,France,St Etienne,Ligue 1,2018-2019
10,Kévin Monnet-Paquet,"€ 18,500","€ 962,000","€ 966,584",F,29,France,St Etienne,Ligue 1,2018-2019
11,Ole Selnaes,"€ 15,904","€ 827,000","€ 830,941",M,23,Norway,St Etienne,Ligue 1,2018-2019
12,Timothée Kolodziejczak,"€ 15,596","€ 811,000","€ 814,864",D,26,France,St Etienne,Ligue 1,2018-2019
13,Gabriel Silva,"€ 13,500","€ 702,000","€ 705,345",D,27,Brazil,St Etienne,Ligue 1,2018-2019
14,Assane Dioussé,"€ 10,462","€ 544,000","€ 546,592",M,20,Senegal,St Etienne,Ligue 1,2018-2019
15,Yannis Salibur,"€ 9,192","€ 478,000","€ 480,278",F,27,France,St Etienne,Ligue 1,2018-2019
16,Jessy Moulin,"€ 8,596","€ 447,000","€ 449,130",K,32,France,St Etienne,Ligue 1,2018-2019
17,Pierre-Yves Polomat,"€ 8,115","€ 422,000","€ 424,011",D,24,France,St Etienne,Ligue 1,2018-2019
18,Youssef Aït Bennasser,"€ 6,904","€ 359,000","€ 360,711",M,21,Morocco,St Etienne,Ligue 1,2018-2019
19,Arnaud Nordin,"€ 6,558","€ 341,000","€ 342,625",F,20,France,St Etienne,Ligue 1,2018-2019
20,Kenny Rocha Santos,"€ 3,827","€ 199,000","€ 199,948",M,18,Cape Verde,St Etienne,Ligue 1,2018-2019
21,Dylan Chambost,"€ 3,058","€ 159,000","€ 159,758",M,20,France,St Etienne,Ligue 1,2018-2019
22,Makhtar Gueye,"€ 2,346","€ 122,000","€ 122,581",F,20,Senegal,St Etienne,Ligue 1,2018-2019
23,Mickaël Panos,"€ 2,250","€ 117,000","€ 117,558",D,21,France,St Etienne,Ligue 1,2018-2019
24,Mahdi Camara,"€ 2,231","€ 116,000","€ 116,553",M,20,France,St Etienne,Ligue 1,2018-2019
25,Charles Abi,"€ 2,173","€ 113,000","€ 113,538",F,18,France,St Etienne,Ligue 1,2018-2019
26,Lamine Ghezali,"€ 1,904","€ 99,000","€ 99,472",F,18,France,St Etienne,Ligue 1,2018-2019
27,William Saliba,"€ 1,846","€ 96,000","€ 96,457",D,17,France,St Etienne,Ligue 1,2018-2019
28,Wesley Fofana,"€ 1,538","€ 80,000","€ 80,381",D,17,France,St Etienne,Ligue 1,2018-2019
29,Valentín Vada,"€ 1,135","€ 59,000","€ 59,281",M,22,Argentina,St Etienne,Ligue 1,2018-2019
30,Marvin Tshibuabua,"€ 1,058","€ 55,000","€ 55,262",D,16,France,St Etienne,Ligue 1,2018-2019
31,Stefan Bajic,"€ 1,038","€ 54,000","€ 54,257",K,16,France,St Etienne,Ligue 1,2018-2019
32,Théo Vermot,€ 865,"€ 45,000","€ 45,214",K,21,France,St Etienne,Ligue 1,2018-2019
33,Alexis Guendouz,€ 0,€ 0,€ 0,K,22,France,St Etienne,Ligue 1,2018-2019
34,Mickael Nade,€ 0,€ 0,€ 0,D,19,France,St Etienne,Ligue 1,2018-2019
35,Léo Petrot,€ 0,€ 0,€ 0,D,21,France,St Etienne,Ligue 1,2018-2019
36,Léo Lacroix,€ 0,€ 0,€ 0,D,26,Switzerland,St Etienne,Ligue 1,2018-2019
37,Oussama Tannane,€ 0,€ 0,€ 0,F,24,Morocco,St Etienne,Ligue 1,2018-2019
38,Jorginho,€ 0,€ 0,€ 0,F,22,Guinea-Bissau,St Etienne,Ligue 1,2018-2019
39,Habib Maïga,€ 0,€ 0,€ 0,M,22,Cote d'Ivoire,St Etienne,Ligue 1,2018-2019
40,Franck Honorat,€ 0,€ 0,€ 0,F,21,France,St Etienne,Ligue 1,2018-2019
41,Billal Benkhedim,€ 0,€ 0,€ 0,M,17,France,St Etienne,Ligue 1,2018-2019
