,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Neymar,"€ 706,154","€ 36,720,000","€ 36,720,000",F,27,Brazil,Psg,Ligue 1,2019-2020
1,Kylian Mbappé,"€ 484,231","€ 25,180,000","€ 25,180,000",F,20,France,Psg,Ligue 1,2019-2020
2,Thiago Silva,"€ 346,154","€ 18,000,000","€ 18,000,000",D,34,Brazil,Psg,Ligue 1,2019-2020
3,Edinson Cavani,"€ 310,385","€ 16,140,000","€ 16,140,000",F,32,Uruguay,Psg,Ligue 1,2019-2020
4,Marquinhos,"€ 276,923","€ 14,400,000","€ 14,400,000",D,25,Brazil,Psg,Ligue 1,2019-2020
5,Marco Verratti,"€ 276,923","€ 14,400,000","€ 14,400,000",M,26,Italy,Psg,Ligue 1,2019-2020
6,Ángel Di María,"€ 253,846","€ 13,200,000","€ 13,200,000",F,31,Argentina,Psg,Ligue 1,2019-2020
7,Keylor Navas,"€ 184,615","€ 9,600,000","€ 9,600,000",K,32,Costa Rica,Psg,Ligue 1,2019-2020
8,Leandro Paredes,"€ 173,077","€ 9,000,000","€ 9,000,000",M,25,Argentina,Psg,Ligue 1,2019-2020
9,Mauro Icardi,"€ 161,538","€ 8,400,000","€ 8,400,000",F,26,Argentina,Psg,Ligue 1,2019-2020
10,Presnel Kimpembe,"€ 154,615","€ 8,040,000","€ 8,040,000",D,24,France,Psg,Ligue 1,2019-2020
11,Ander Herrera,"€ 150,000","€ 7,800,000","€ 7,800,000",M,30,Spain,Psg,Ligue 1,2019-2020
12,Julian Draxler,"€ 138,462","€ 7,200,000","€ 7,200,000",M,25,Germany,Psg,Ligue 1,2019-2020
13,Idrissa Gueye,"€ 115,385","€ 6,000,000","€ 6,000,000",M,29,Senegal,Psg,Ligue 1,2019-2020
14,Abdou Diallo,"€ 103,846","€ 5,400,000","€ 5,400,000",D,23,France,Psg,Ligue 1,2019-2020
15,Pablo Sarabia,"€ 103,846","€ 5,400,000","€ 5,400,000",F,27,Spain,Psg,Ligue 1,2019-2020
16,Layvin Kurzawa,"€ 96,154","€ 5,000,000","€ 5,000,000",D,27,France,Psg,Ligue 1,2019-2020
17,Thilo Kehrer,"€ 94,615","€ 4,920,000","€ 4,920,000",D,22,Germany,Psg,Ligue 1,2019-2020
18,Juan Bernat,"€ 76,923","€ 4,000,000","€ 4,000,000",D,26,Spain,Psg,Ligue 1,2019-2020
19,Thomas Meunier,"€ 61,538","€ 3,200,000","€ 3,200,000",D,27,Belgium,Psg,Ligue 1,2019-2020
20,Eric Maxim Choupo-Moting,"€ 45,000","€ 2,340,000","€ 2,340,000",F,30,Cameroon,Psg,Ligue 1,2019-2020
21,Sergio Rico,"€ 38,462","€ 2,000,000","€ 2,000,000",K,26,Spain,Psg,Ligue 1,2019-2020
22,Marcin Bulka,"€ 9,615","€ 500,000","€ 500,000",K,19,Poland,Psg,Ligue 1,2019-2020
23,Colin Dagba,"€ 9,615","€ 500,000","€ 500,000",D,21,France,Psg,Ligue 1,2019-2020
24,Loïc Mbe Soh,"€ 2,885","€ 150,000","€ 150,000",D,18,France,Psg,Ligue 1,2019-2020
25,Tanguy Kouassi,"€ 1,923","€ 100,000","€ 100,000",D,17,France,Psg,Ligue 1,2019-2020
26,Adil Aouchiche,"€ 1,923","€ 100,000","€ 100,000",M,17,France,Psg,Ligue 1,2019-2020
27,Mitchel Bakker,"€ 1,346","€ 70,000","€ 70,000",D,19,Netherlands,Psg,Ligue 1,2019-2020
28,Garissone Innocent,€ 769,"€ 40,000","€ 40,000",K,19,France,Psg,Ligue 1,2019-2020
