,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Rémi Oudin,"€ 25,385","€ 1,320,000","€ 1,320,000",F,22,France,Reims,Ligue 1,2019-2020
1,Hyun-jun Suk,"€ 17,500","€ 910,000","€ 910,000",F,28,South Korea,Reims,Ligue 1,2019-2020
2,Alaixys Romao,"€ 13,846","€ 720,000","€ 720,000",M,35,Togo,Reims,Ligue 1,2019-2020
3,Thomas Foket,"€ 13,846","€ 720,000","€ 720,000",D,24,Belgium,Reims,Ligue 1,2019-2020
4,Predrag Rajkovic,"€ 13,846","€ 720,000","€ 720,000",K,23,Serbia,Reims,Ligue 1,2019-2020
5,Anastasios Donis,"€ 13,846","€ 720,000","€ 720,000",F,23,Greece,Reims,Ligue 1,2019-2020
6,Arbër Zeneli,"€ 13,462","€ 700,000","€ 700,000",F,24,Kosovo,Reims,Ligue 1,2019-2020
7,Xavier Chavalerin,"€ 11,538","€ 600,000","€ 600,000",M,28,France,Reims,Ligue 1,2019-2020
8,Yunis Abdelhamid,"€ 10,385","€ 540,000","€ 540,000",D,31,Morocco,Reims,Ligue 1,2019-2020
9,Tristan Dingomé,"€ 10,385","€ 540,000","€ 540,000",M,28,France,Reims,Ligue 1,2019-2020
10,Dario Maresic,"€ 9,808","€ 510,000","€ 510,000",D,19,Austria,Reims,Ligue 1,2019-2020
11,Kaj Sierhuis,"€ 8,654","€ 450,000","€ 450,000",F,21,Netherlands,Reims,Ligue 1,2019-2020
12,Moreto Cassamá,"€ 8,462","€ 440,000","€ 440,000",F,21,Guinea-Bissau,Reims,Ligue 1,2019-2020
13,Mathieu Cafaro,"€ 8,077","€ 420,000","€ 420,000",F,22,France,Reims,Ligue 1,2019-2020
14,Moussa Doumbia,"€ 8,077","€ 420,000","€ 420,000",F,25,Mali,Reims,Ligue 1,2019-2020
15,Axel Disasi,"€ 6,346","€ 330,000","€ 330,000",D,21,France,Reims,Ligue 1,2019-2020
16,Hassane Kamara,"€ 6,346","€ 330,000","€ 330,000",D,25,France,Reims,Ligue 1,2019-2020
17,Dereck Kutesa,"€ 6,346","€ 330,000","€ 330,000",M,21,Switzerland,Reims,Ligue 1,2019-2020
18,Ghislain Konan,"€ 5,769","€ 300,000","€ 300,000",D,23,Cote d'Ivoire,Reims,Ligue 1,2019-2020
19,Grégory Berthier,"€ 3,269","€ 170,000","€ 170,000",M,23,France,Reims,Ligue 1,2019-2020
20,Boulaye Dia,"€ 3,269","€ 170,000","€ 170,000",F,22,France,Reims,Ligue 1,2019-2020
21,Nolan Mbemba,"€ 1,923","€ 100,000","€ 100,000",M,24,France,Reims,Ligue 1,2019-2020
22,Nathanaël Mbuku,€ 769,"€ 40,000","€ 40,000",F,17,France,Reims,Ligue 1,2019-2020
23,Timothé Nkada,€ 769,"€ 40,000","€ 40,000",F,20,France,Reims,Ligue 1,2019-2020
24,Marshall Munetsi,€ 769,"€ 40,000","€ 40,000",D,23,Zimbabwe,Reims,Ligue 1,2019-2020
25,Virgile Pinson,€ 769,"€ 40,000","€ 40,000",F,23,France,Reims,Ligue 1,2019-2020
26,Yehvann Diouf,€ 769,"€ 40,000","€ 40,000",K,20,France,Reims,Ligue 1,2019-2020
27,Yehvann Diouf,€ 769,"€ 40,000","€ 40,000",K,20,France,Reims,Ligue 1,2019-2020
28,Lenny Vallier,€ 769,"€ 40,000","€ 40,000",D,20,France,Reims,Ligue 1,2019-2020
29,Nicolas Lemaître,€ 769,"€ 40,000","€ 40,000",K,22,France,Reims,Ligue 1,2019-2020
30,Sambou Sissoko,€ 769,"€ 40,000","€ 40,000",D,20,France,Reims,Ligue 1,2019-2020
