,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Maurice Edu,"$ 13,462","$ 700,000","$ 764,366",M,28,United States,Philadelphia Union,Mls,2015
1,Tranquillo Barnetta,"$ 12,000","$ 624,000","$ 681,378",M,29,Switzerland,Philadelphia Union,Mls,2015
2,Steven Vitoria,"$ 7,692","$ 400,000","$ 436,781",D,27,Canada,Philadelphia Union,Mls,2015
3,Fernando Aristeguieta,"$ 6,731","$ 350,004","$ 382,188",F,22,Venezuela,Philadelphia Union,Mls,2015
4,Vincent Nogueira,"$ 6,346","$ 330,000","$ 360,344",M,26,France,Philadelphia Union,Mls,2015
5,Sebastien Le Toux,"$ 5,288","$ 275,000","$ 300,287",M,30,France,Philadelphia Union,Mls,2015
6,Cristian Maidana,"$ 3,913","$ 203,500","$ 222,212",F,27,Argentina,Philadelphia Union,Mls,2015
7,Andrew Wenger,"$ 3,462","$ 180,000","$ 196,551",D,23,United States,Philadelphia Union,Mls,2015
8,Conor Casey,"$ 3,462","$ 180,000","$ 196,551",F,32,United States,Philadelphia Union,Mls,2015
9,Brian Carroll,"$ 2,885","$ 150,000","$ 163,793",M,32,United States,Philadelphia Union,Mls,2015
10,Raymon Gaddis,"$ 2,500","$ 130,000","$ 141,954",D,24,United States,Philadelphia Union,Mls,2015
11,Danny Cruz,"$ 2,404","$ 125,000","$ 136,494",M,19,United States,Philadelphia Union,Mls,2015
12,CJ Sapong,"$ 2,404","$ 125,000","$ 136,494",F,26,United States,Philadelphia Union,Mls,2015
13,Ethan White,"$ 2,404","$ 125,000","$ 136,494",D,23,United States,Philadelphia Union,Mls,2015
14,Fabinho,"$ 2,192","$ 114,000","$ 124,483",D,30,Brazil,Philadelphia Union,Mls,2015
15,Michael Lahoud,"$ 2,094","$ 108,900","$ 118,914",M,27,Sierra Leone,Philadelphia Union,Mls,2015
16,Warren Creavalle,"$ 2,087","$ 108,500","$ 118,477",D,23,Guyana,Philadelphia Union,Mls,2015
17,Austin Berry,"$ 1,798","$ 93,519","$ 102,118",D,23,United States,Philadelphia Union,Mls,2015
18,Andre Blake,"$ 1,635","$ 85,000","$ 92,816",K,23,Jamaica,Philadelphia Union,Mls,2015
19,Zach Pfeffer,"$ 1,154","$ 60,000","$ 65,517",M,19,United States,Philadelphia Union,Mls,2015
20,John McCarthy,"$ 1,154","$ 60,000","$ 65,517",K,21,United States,Philadelphia Union,Mls,2015
21,James McLaughlin,"$ 1,154","$ 60,000","$ 65,517",M,20,United States,Philadelphia Union,Mls,2015
22,Fred Carreiro,"$ 1,154","$ 60,000","$ 65,517",M,36,Brazil,Philadelphia Union,Mls,2015
23,Richard Marquez,"$ 1,154","$ 60,000","$ 65,517",D,23,United States,Philadelphia Union,Mls,2015
24,Eric Bird,"$ 1,154","$ 60,000","$ 65,517",M,22,United States,Philadelphia Union,Mls,2015
25,Leo Fernandes,"$ 1,154","$ 60,000","$ 65,517",M,21,Brazil,Philadelphia Union,Mls,2015
26,Dzenan Catic,"$ 1,154","$ 60,000","$ 65,517",F,23,Bosnia-Herzegovina,Philadelphia Union,Mls,2015
27,Brian Sylvestre,"$ 1,154","$ 60,000","$ 65,517",K,21,Haiti,Philadelphia Union,Mls,2015
28,Antoine Hoppenot,"$ 1,154","$ 60,000","$ 65,517",F,23,United States,Philadelphia Union,Mls,2015
29,Eric Ayuk,$ 962,"$ 50,000","$ 54,598",M,17,Cameroon,Philadelphia Union,Mls,2015
