,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Diego Valeri,"$ 42,837","$ 2,227,500","$ 2,351,921",M,30,Argentina,Portland Timbers,Mls,2017
1,Fanendo Adi,"$ 22,885","$ 1,190,004","$ 1,256,474",F,25,Nigeria,Portland Timbers,Mls,2017
2,Sebastian Blanco,"$ 19,231","$ 1,000,008","$ 1,055,865",M,28,Argentina,Portland Timbers,Mls,2017
3,Lucas Melano,"$ 15,192","$ 790,000","$ 834,127",F,23,Argentina,Portland Timbers,Mls,2017
4,Liam Ridgewell,"$ 11,827","$ 615,000","$ 649,352",D,31,England,Portland Timbers,Mls,2017
5,Darlington Nagbe,"$ 10,577","$ 550,000","$ 580,721",M,25,United States,Portland Timbers,Mls,2017
6,Diego Chara,"$ 9,615","$ 500,000","$ 527,928",M,30,Colombia,Portland Timbers,Mls,2017
7,Larrys Mabiala,"$ 8,301","$ 431,667","$ 455,779",D,28,Democratic Republic of Congo,Portland Timbers,Mls,2017
8,Darren Mattocks,"$ 5,769","$ 300,000","$ 316,757",F,25,Jamaica,Portland Timbers,Mls,2017
9,Vytautas Andriuskevicius,"$ 4,279","$ 222,500","$ 234,928",D,25,Lithuania,Portland Timbers,Mls,2017
10,David Guzman,"$ 3,558","$ 185,004","$ 195,338",M,26,Costa Rica,Portland Timbers,Mls,2017
11,Roy Miller,"$ 2,885","$ 150,000","$ 158,379",D,31,Costa Rica,Portland Timbers,Mls,2017
12,Lawrence Olum,"$ 2,740","$ 142,500","$ 150,460",M,31,Kenya,Portland Timbers,Mls,2017
13,Dairon Asprilla,"$ 2,654","$ 138,000","$ 145,708",M,24,Colombia,Portland Timbers,Mls,2017
14,Gbenga Arokoyo,"$ 2,596","$ 135,000","$ 142,541",D,23,Nigeria,Portland Timbers,Mls,2017
15,Jeremy Ebobisse,"$ 2,500","$ 130,000","$ 137,261",F,19,United States,Portland Timbers,Mls,2017
16,Chance Myers,"$ 2,404","$ 125,004","$ 131,986",D,28,United States,Portland Timbers,Mls,2017
17,Alvas Powell,"$ 2,212","$ 115,000","$ 121,424",D,21,Jamaica,Portland Timbers,Mls,2017
18,Zarek Valentin,"$ 2,115","$ 110,000","$ 116,144",D,24,Puerto Rico,Portland Timbers,Mls,2017
19,Jake Gleeson,"$ 2,115","$ 110,000","$ 116,144",K,26,New Zealand,Portland Timbers,Mls,2017
20,Ben Zemanski,"$ 2,019","$ 105,000","$ 110,865",M,28,United States,Portland Timbers,Mls,2017
21,Jeff Attinella,"$ 1,923","$ 100,000","$ 105,586",K,27,United States,Portland Timbers,Mls,2017
22,Jack Barmby,"$ 1,250","$ 65,004","$ 68,635",M,21,England,Portland Timbers,Mls,2017
23,Amobi Okugo,"$ 1,250","$ 65,004","$ 68,635",D,25,United States,Portland Timbers,Mls,2017
24,Victor Arboleda,"$ 1,250","$ 65,000","$ 68,631",M,19,Colombia,Portland Timbers,Mls,2017
25,Billy Heavner,"$ 1,019","$ 53,004","$ 55,965",K,22,United States,Portland Timbers,Mls,2017
26,Rennico Clarke,"$ 1,019","$ 53,004","$ 55,965",D,20,Jamaica,Portland Timbers,Mls,2017
27,Bill Tuiloma,"$ 1,019","$ 53,004","$ 55,965",D,21,New Zealand,Portland Timbers,Mls,2017
28,Kendall McIntosh,"$ 1,019","$ 53,000","$ 55,960",K,22,United States,Portland Timbers,Mls,2017
29,Marco Farfan,"$ 1,019","$ 53,000","$ 55,960",D,17,United States,Portland Timbers,Mls,2017
