,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,David Villa,"$ 107,885","$ 5,610,000","$ 5,782,123",F,35,Spain,Nyc FC,Mls,2018
1,Maxi Moralez,"$ 38,462","$ 2,000,000","$ 2,061,363",M,30,Argentina,Nyc FC,Mls,2018
2,Jesus Medina,"$ 12,500","$ 650,000","$ 669,943",M,20,Paraguay,Nyc FC,Mls,2018
3,Jo Inge Berget,"$ 11,538","$ 600,000","$ 618,409",F,26,Norway,Nyc FC,Mls,2018
4,Alexander Ring,"$ 10,577","$ 550,000","$ 566,875",M,26,Finland,Nyc FC,Mls,2018
5,Alexander Callens,"$ 9,615","$ 500,000","$ 515,341",D,25,Peru,Nyc FC,Mls,2018
6,Maxime Chanot,"$ 7,212","$ 375,000","$ 386,506",D,27,Luxembourg,Nyc FC,Mls,2018
7,Anton Tinnerholm,"$ 6,731","$ 350,000","$ 360,739",D,26,Sweden,Nyc FC,Mls,2018
8,Ebenezer Ofori,"$ 6,250","$ 325,000","$ 334,971",M,22,Ghana,Nyc FC,Mls,2018
9,Ismael Tajouri,"$ 6,154","$ 320,000","$ 329,818",F,24,Libya,Nyc FC,Mls,2018
10,Rodney Wallace,"$ 5,769","$ 300,000","$ 309,204",M,29,Costa Rica,Nyc FC,Mls,2018
11,Ronald Matarrita,"$ 5,288","$ 275,000","$ 283,437",D,22,Costa Rica,Nyc FC,Mls,2018
12,Sean Johnson,"$ 4,808","$ 250,008","$ 257,679",K,28,United States,Nyc FC,Mls,2018
13,Eloi Amagat,"$ 4,615","$ 240,000","$ 247,364",M,32,Spain,Nyc FC,Mls,2018
14,Cedric Hountondji,"$ 4,231","$ 220,000","$ 226,750",D,23,Benin,Nyc FC,Mls,2018
15,Yangel Herrera,"$ 3,846","$ 200,000","$ 206,136",M,19,Venezuela,Nyc FC,Mls,2018
16,Thomas McNamara,"$ 3,846","$ 200,000","$ 206,136",M,26,United States,Nyc FC,Mls,2018
17,Valentin Castellanos,"$ 2,885","$ 150,000","$ 154,602",M,18,Argentina,Nyc FC,Mls,2018
18,Saad Abdul Salaam,"$ 2,048","$ 106,480","$ 109,747",D,25,United States,Nyc FC,Mls,2018
19,Jonathan Lewis,"$ 1,731","$ 90,000","$ 92,761",F,20,United States,Nyc FC,Mls,2018
20,Brad Stuver,"$ 1,635","$ 85,000","$ 87,608",K,26,United States,Nyc FC,Mls,2018
21,Andre Rawls,"$ 1,325","$ 68,915","$ 71,029",K,25,United States,Nyc FC,Mls,2018
22,Sebastien Ibeagha,"$ 1,298","$ 67,500","$ 69,571",D,25,United States,Nyc FC,Mls,2018
23,Ben Sweat,"$ 1,298","$ 67,500","$ 69,571",D,25,United States,Nyc FC,Mls,2018
24,Kwame Awuah,"$ 1,070","$ 55,654","$ 57,362",D,21,Canada,Nyc FC,Mls,2018
25,Jeff Caldwell,"$ 1,048","$ 54,500","$ 56,172",K,21,United States,Nyc FC,Mls,2018
26,James Sands,"$ 1,048","$ 54,500","$ 56,172",D,16,United States,Nyc FC,Mls,2018
27,Daniel Bedoya,"$ 1,048","$ 54,500","$ 56,172",M,23,Colombia,Nyc FC,Mls,2018
28,Joe Scally,"$ 1,048","$ 54,500","$ 56,172",D,14,United States,Nyc FC,Mls,2018
