,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Michael Bradley,"$ 115,385","$ 6,000,000","$ 6,184,089",M,29,United States,Toronto FC,Mls,2018
1,Sebastian Giovinco,"$ 107,692","$ 5,600,000","$ 5,771,816",F,30,Italy,Toronto FC,Mls,2018
2,Jozy Altidore,"$ 96,154","$ 5,000,000","$ 5,153,407",F,27,United States,Toronto FC,Mls,2018
3,Victor Vazquez,"$ 26,250","$ 1,365,000","$ 1,406,880",M,30,Spain,Toronto FC,Mls,2018
4,Ager Aketxe,"$ 22,885","$ 1,190,000","$ 1,226,511",M,25,Spain,Toronto FC,Mls,2018
5,Gregory Van Der Wiel,"$ 15,385","$ 800,000","$ 824,545",D,29,Netherlands,Toronto FC,Mls,2018
6,Chris Mavinga,"$ 9,615","$ 500,000","$ 515,341",D,26,Democratic Republic of Congo,Toronto FC,Mls,2018
7,Lucas Janson,"$ 7,615","$ 396,000","$ 408,150",F,22,Argentina,Toronto FC,Mls,2018
8,Drew Moor,"$ 6,731","$ 350,004","$ 360,743",D,33,United States,Toronto FC,Mls,2018
9,Justin Morrow,"$ 5,769","$ 300,000","$ 309,204",D,29,United States,Toronto FC,Mls,2018
10,Marco Delgado,"$ 4,423","$ 230,000","$ 237,057",M,20,United States,Toronto FC,Mls,2018
11,Eriq Zavaleta,"$ 4,327","$ 225,000","$ 231,903",D,24,United States,Toronto FC,Mls,2018
12,Clint Irwin,"$ 4,038","$ 210,000","$ 216,443",K,28,United States,Toronto FC,Mls,2018
13,Jonathan Osorio,"$ 3,872","$ 201,351","$ 207,529",M,25,Canada,Toronto FC,Mls,2018
14,Auro,"$ 3,846","$ 200,004","$ 206,140",D,22,Brazil,Toronto FC,Mls,2018
15,Tosaint Ricketts,"$ 3,654","$ 190,008","$ 195,838",F,29,Canada,Toronto FC,Mls,2018
16,Alex Bono,"$ 2,538","$ 132,000","$ 136,050",K,23,United States,Toronto FC,Mls,2018
17,Nick Hagglund,"$ 2,404","$ 125,004","$ 128,839",D,24,United States,Toronto FC,Mls,2018
18,Ashtone Morgan,"$ 2,308","$ 120,000","$ 123,682",D,26,Canada,Toronto FC,Mls,2018
19,Jay Chapman,"$ 1,904","$ 99,000","$ 102,037",M,23,Canada,Toronto FC,Mls,2018
20,Jon Bakero,"$ 1,635","$ 85,000","$ 87,608",F,20,Spain,Toronto FC,Mls,2018
21,Jordan Hamilton,"$ 1,403","$ 72,930","$ 75,168",F,21,Canada,Toronto FC,Mls,2018
22,Liam Fraser,"$ 1,298","$ 67,500","$ 69,571",M,19,Canada,Toronto FC,Mls,2018
23,Jason Hernandez,"$ 1,298","$ 67,500","$ 69,571",D,33,Puerto Rico,Toronto FC,Mls,2018
24,Caleb Patterson Sewell,"$ 1,298","$ 67,500","$ 69,571",K,30,United States,Toronto FC,Mls,2018
25,Ayo Akinola,"$ 1,048","$ 54,504","$ 56,176",F,17,United States,Toronto FC,Mls,2018
26,Ryan Telfer,"$ 1,048","$ 54,500","$ 56,172",M,23,Canada,Toronto FC,Mls,2018
27,Julian Dunn,"$ 1,048","$ 54,500","$ 56,172",D,18,Canada,Toronto FC,Mls,2018
28,Aidan Daniels,"$ 1,048","$ 54,500","$ 56,172",M,18,Canada,Toronto FC,Mls,2018
