,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Josef Martinez,"$ 57,692","$ 3,000,000","$ 3,037,008",F,27,Venezuela,Atlanta United,Mls,2019
1,Ezequiel Barco,"$ 27,404","$ 1,425,000","$ 1,442,579",M,21,Argentina,Atlanta United,Mls,2019
2,Pity Martinez,"$ 17,308","$ 900,000","$ 911,102",M,27,Argentina,Atlanta United,Mls,2019
3,Leandro Gonzalez Pirez,"$ 14,904","$ 775,008","$ 784,568",D,28,Argentina,Atlanta United,Mls,2019
4,Hector Villalba,"$ 13,894","$ 722,500","$ 731,413",M,26,Paraguay,Atlanta United,Mls,2019
5,Brad Guzan,"$ 13,077","$ 680,004","$ 688,392",K,36,United States,Atlanta United,Mls,2019
6,Darlington Nagbe,"$ 12,798","$ 665,500","$ 673,710",M,30,United States,Atlanta United,Mls,2019
7,Justin Meram,"$ 12,500","$ 650,004","$ 658,022",M,32,Iraq,Atlanta United,Mls,2019
8,Emerson Hyndman,"$ 6,923","$ 360,000","$ 364,441",M,24,United States,Atlanta United,Mls,2019
9,Eric Remedi,"$ 5,769","$ 300,000","$ 303,701",D,25,Argentina,Atlanta United,Mls,2019
10,Franco Escobar,"$ 5,769","$ 300,000","$ 303,701",D,25,Argentina,Atlanta United,Mls,2019
11,Michael Parkhurst,"$ 5,769","$ 300,000","$ 303,701",D,37,United States,Atlanta United,Mls,2019
12,Florentin Pogba,"$ 5,769","$ 300,000","$ 303,701",D,30,Guinea,Atlanta United,Mls,2019
13,Brek Shea,"$ 4,327","$ 225,000","$ 227,776",D,30,United States,Atlanta United,Mls,2019
14,Jeff Larentowicz,"$ 4,038","$ 210,000","$ 212,591",D,37,United States,Atlanta United,Mls,2019
15,Kevin Kratz,"$ 4,038","$ 210,000","$ 212,591",M,34,Germany,Atlanta United,Mls,2019
16,Brandon Vazquez,"$ 2,885","$ 150,000","$ 151,850",F,22,United States,Atlanta United,Mls,2019
17,Miles Robinson,"$ 2,788","$ 145,000","$ 146,789",D,23,United States,Atlanta United,Mls,2019
18,Jose Rafael Hernandez,"$ 2,692","$ 140,004","$ 141,731",D,24,Venezuela,Atlanta United,Mls,2019
19,Julian Gressel,"$ 2,197","$ 114,250","$ 115,659",M,27,Germany,Atlanta United,Mls,2019
20,Alec Kann,"$ 1,923","$ 100,008","$ 101,242",K,30,United States,Atlanta United,Mls,2019
21,Mo Adams,"$ 1,923","$ 100,000","$ 101,234",M,24,England,Atlanta United,Mls,2019
22,Chris Goslin,"$ 1,731","$ 90,000","$ 91,110",M,20,United States,Atlanta United,Mls,2019
23,Andrew Carleton,"$ 1,635","$ 85,000","$ 86,049",M,20,United States,Atlanta United,Mls,2019
24,George Bello,"$ 1,442","$ 75,000","$ 75,925",D,19,United States,Atlanta United,Mls,2019
25,Mikey Ambrose,"$ 1,391","$ 72,352","$ 73,245",D,27,United States,Atlanta United,Mls,2019
26,Brendan Moore,"$ 1,351","$ 70,250","$ 71,117",K,28,United States,Atlanta United,Mls,2019
27,Lagos Kunga,"$ 1,351","$ 70,250","$ 71,117",M,22,United States,Atlanta United,Mls,2019
28,Jon Gallagher,"$ 1,351","$ 70,250","$ 71,117",M,24,Ireland,Atlanta United,Mls,2019
29,Patrick Okonkwo,"$ 1,082","$ 56,256","$ 56,950",F,22,Nigeria,Atlanta United,Mls,2019
30,Dion Pereira,"$ 1,082","$ 56,250","$ 56,944",M,21,England,Atlanta United,Mls,2019
31,Luiz Fernando Nascimento,"$ 1,082","$ 56,250","$ 56,944",F,23,Brazil,Atlanta United,Mls,2019
