,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Reto Ziegler,"$ 15,769","$ 820,000","$ 830,115",D,35,Switzerland,FC Dallas,Mls,2019
1,Bryan Acosta,"$ 11,538","$ 600,000","$ 607,402",M,27,Honduras,FC Dallas,Mls,2019
2,Edwin Anane-Gyasi,"$ 10,962","$ 570,000","$ 577,031",M,29,Ghana,FC Dallas,Mls,2019
3,Matt Hedges,"$ 10,577","$ 550,008","$ 556,793",D,30,United States,FC Dallas,Mls,2019
4,Michael Barrios,"$ 9,615","$ 500,000","$ 506,168",M,29,Colombia,FC Dallas,Mls,2019
5,Santiago Mosquera,"$ 9,615","$ 500,000","$ 506,168",M,26,Colombia,FC Dallas,Mls,2019
6,Cristian Colman,"$ 9,615","$ 500,000","$ 506,168",F,26,Paraguay,FC Dallas,Mls,2019
7,Bressan,"$ 9,333","$ 485,300","$ 491,287",D,28,Brazil,FC Dallas,Mls,2019
8,Pablo Aranguiz,"$ 7,821","$ 406,667","$ 411,684",M,23,Chile,FC Dallas,Mls,2019
9,Zdenek Ondrasek,"$ 7,692","$ 400,000","$ 404,934",F,32,Czech Republic,FC Dallas,Mls,2019
10,Eric Alexander,"$ 5,192","$ 270,000","$ 273,331",M,32,United States,FC Dallas,Mls,2019
11,Jesse Gonzalez,"$ 4,183","$ 217,500","$ 220,183",K,25,United States,FC Dallas,Mls,2019
12,Dominique Badji,"$ 3,846","$ 200,000","$ 202,467",F,28,Senegal,FC Dallas,Mls,2019
13,Ryan Hollingshead,"$ 3,365","$ 175,000","$ 177,159",D,29,United States,FC Dallas,Mls,2019
14,Brandon Servania,"$ 3,077","$ 160,000","$ 161,974",M,21,United States,FC Dallas,Mls,2019
15,Ema Twumasi,"$ 2,885","$ 150,000","$ 151,850",M,23,Ghana,FC Dallas,Mls,2019
16,Francis Atuahene,"$ 2,596","$ 135,000","$ 136,665",M,24,Ghana,FC Dallas,Mls,2019
17,Jimmy Maurer,"$ 2,404","$ 125,000","$ 126,542",K,32,United States,FC Dallas,Mls,2019
18,Thomas Roberts,"$ 2,115","$ 110,000","$ 111,357",M,19,United States,FC Dallas,Mls,2019
19,Paxton Pomykal,"$ 1,923","$ 100,000","$ 101,234",M,21,United States,FC Dallas,Mls,2019
20,Moises Hernandez,"$ 1,731","$ 90,000","$ 91,110",D,28,Guatemala,FC Dallas,Mls,2019
21,Reggie Cannon,"$ 1,543","$ 80,250","$ 81,240",D,22,United States,FC Dallas,Mls,2019
22,Ricardo Pepi,"$ 1,538","$ 80,000","$ 80,987",F,18,United States,FC Dallas,Mls,2019
23,John Nelson,"$ 1,538","$ 80,000","$ 80,987",D,22,United States,FC Dallas,Mls,2019
24,Dante Sealy,"$ 1,538","$ 80,000","$ 80,987",F,17,United States,FC Dallas,Mls,2019
25,Jacori Hayes,"$ 1,378","$ 71,663","$ 72,547",M,25,United States,FC Dallas,Mls,2019
26,Kyle Zobeck,"$ 1,363","$ 70,875","$ 71,749",K,31,United States,FC Dallas,Mls,2019
27,Bryan Reynolds,"$ 1,351","$ 70,250","$ 71,117",F,19,United States,FC Dallas,Mls,2019
28,Edwin Cerrillo,"$ 1,351","$ 70,250","$ 71,117",D,20,United States,FC Dallas,Mls,2019
29,Callum Montgomery,"$ 1,351","$ 70,250","$ 71,117",D,23,Canada,FC Dallas,Mls,2019
30,Jesus Ferreira,"$ 1,351","$ 70,250","$ 71,117",F,20,Colombia,FC Dallas,Mls,2019
