,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Kei Kamara,"$ 14,423","$ 750,000","$ 750,000",F,35,Sierra Leone,Colorado Rapids,Mls,2020
1,Nicolas Benezet,"$ 11,538","$ 600,000","$ 600,000",F,28,France,Colorado Rapids,Mls,2020
2,Kellyn Acosta,"$ 10,577","$ 550,000","$ 550,000",M,24,United States,Colorado Rapids,Mls,2020
3,Danny Wilson,"$ 9,615","$ 500,000","$ 500,000",D,28,Scotland,Colorado Rapids,Mls,2020
4,Jack Price,"$ 8,269","$ 430,000","$ 430,000",M,27,England,Colorado Rapids,Mls,2020
5,Drew Moor,"$ 7,212","$ 375,000","$ 375,000",D,36,United States,Colorado Rapids,Mls,2020
6,Diego Rubio,"$ 6,808","$ 354,000","$ 354,000",F,26,Chile,Colorado Rapids,Mls,2020
7,Sam Nicholson,"$ 5,769","$ 300,000","$ 300,000",F,25,Scotland,Colorado Rapids,Mls,2020
8,Keegan Rosenberry,"$ 2,908","$ 151,195","$ 151,195",D,26,United States,Colorado Rapids,Mls,2020
9,Lalas Abubakar,"$ 2,596","$ 135,000","$ 135,000",D,25,Ghana,Colorado Rapids,Mls,2020
10,Clint Irwin,"$ 2,423","$ 126,000","$ 126,000",K,30,United States,Colorado Rapids,Mls,2020
11,Jonathan Lewis,"$ 1,923","$ 100,000","$ 100,000",F,22,United States,Colorado Rapids,Mls,2020
12,Auston Trusty,"$ 1,827","$ 95,000","$ 95,000",D,21,United States,Colorado Rapids,Mls,2020
13,Kortne Ford,"$ 1,779","$ 92,496","$ 92,496",D,24,United States,Colorado Rapids,Mls,2020
14,Andre Shinyashiki,"$ 1,635","$ 85,000","$ 85,000",F,22,Brazil,Colorado Rapids,Mls,2020
15,Sam Vines,"$ 1,538","$ 80,000","$ 80,000",D,20,United States,Colorado Rapids,Mls,2020
16,Cole Bassett,"$ 1,442","$ 75,000","$ 75,000",M,18,United States,Colorado Rapids,Mls,2020
17,Deklan Wynne,"$ 1,428","$ 74,250","$ 74,250",D,24,New Zealand,Colorado Rapids,Mls,2020
18,Andre Rawls,"$ 1,392","$ 72,361","$ 72,361",K,28,United States,Colorado Rapids,Mls,2020
19,Younes Namli,"$ 1,346","$ 70,000","$ 70,000",F,25,Denmark,Colorado Rapids,Mls,2020
20,Matt Hundley,"$ 1,250","$ 65,000","$ 65,000",F,19,United States,Colorado Rapids,Mls,2020
21,Niki Jackson,"$ 1,100","$ 57,225","$ 57,225",F,24,United States,Colorado Rapids,Mls,2020
22,Sebastian Anderson,"$ 1,082","$ 56,250","$ 56,250",D,17,United States,Colorado Rapids,Mls,2020
23,Abdul Rwatubyaye,"$ 1,082","$ 56,250","$ 56,250",D,23,Rwanda,Colorado Rapids,Mls,2020
24,Jeremy Kelly,"$ 1,077","$ 56,000","$ 56,000",M,22,United States,Colorado Rapids,Mls,2020
25,Robin Afamefuna,$ 0,$ 0,$ 0,D,22,Germany,Colorado Rapids,Mls,2020
