,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Ali Adnan,"$ 23,077","$ 1,200,000","$ 1,200,000",D,26,Iraq,Vancouver Whitecaps,Mls,2020
1,Lucas Cavallini,"$ 20,000","$ 1,040,000","$ 1,040,000",F,27,Canada,Vancouver Whitecaps,Mls,2020
2,Fredy Montero,"$ 14,769","$ 768,000","$ 768,000",F,32,Colombia,Vancouver Whitecaps,Mls,2020
3,In-beom Hwang,"$ 12,596","$ 655,000","$ 655,000",M,23,South Korea,Vancouver Whitecaps,Mls,2020
4,Yordy Reyna,"$ 12,500","$ 650,000","$ 650,000",F,26,Peru,Vancouver Whitecaps,Mls,2020
5,Érik Godoy,"$ 8,635","$ 449,000","$ 449,000",D,26,Argentina,Vancouver Whitecaps,Mls,2020
6,Cristian Dájome,"$ 8,000","$ 416,000","$ 416,000",F,26,Colombia,Vancouver Whitecaps,Mls,2020
7,Leonard Owusu,"$ 6,154","$ 320,000","$ 320,000",M,22,Ghana,Vancouver Whitecaps,Mls,2020
8,David Milinkovic,"$ 5,962","$ 310,000","$ 310,000",F,25,France,Vancouver Whitecaps,Mls,2020
9,Andy Rose,"$ 3,702","$ 192,500","$ 192,500",M,29,Australia,Vancouver Whitecaps,Mls,2020
10,Jasser Khmiri,"$ 3,462","$ 180,000","$ 180,000",D,22,Tunisia,Vancouver Whitecaps,Mls,2020
11,Russell Teibert,"$ 3,269","$ 170,000","$ 170,000",M,27,Canada,Vancouver Whitecaps,Mls,2020
12,Ryan Raposo,"$ 3,000","$ 156,000","$ 156,000",M,20,Canada,Vancouver Whitecaps,Mls,2020
13,Jake Nerwinski,"$ 2,308","$ 120,000","$ 120,000",D,25,United States,Vancouver Whitecaps,Mls,2020
14,Derek Cornelius,"$ 1,923","$ 100,000","$ 100,000",D,22,Canada,Vancouver Whitecaps,Mls,2020
15,Maxime Crépeau,"$ 1,808","$ 94,000","$ 94,000",K,25,Canada,Vancouver Whitecaps,Mls,2020
16,Theo Bair,"$ 1,731","$ 90,000","$ 90,000",F,20,Canada,Vancouver Whitecaps,Mls,2020
17,Bryan Meredith,"$ 1,363","$ 70,875","$ 70,875",K,30,United States,Vancouver Whitecaps,Mls,2020
18,Tosaint Ricketts,"$ 1,351","$ 70,250","$ 70,250",F,32,Canada,Vancouver Whitecaps,Mls,2020
19,Patrick Metcalfe,"$ 1,346","$ 70,000","$ 70,000",M,21,Canada,Vancouver Whitecaps,Mls,2020
20,Cristián Gutiérrez,"$ 1,346","$ 70,000","$ 70,000",D,22,Chile,Vancouver Whitecaps,Mls,2020
21,Gianfranco Facchineri,"$ 1,346","$ 70,000","$ 70,000",D,17,Canada,Vancouver Whitecaps,Mls,2020
22,Simon Colyn,"$ 1,082","$ 56,250","$ 56,250",F,17,Canada,Vancouver Whitecaps,Mls,2020
23,Michael Baldisimo,"$ 1,082","$ 56,250","$ 56,250",M,19,Canada,Vancouver Whitecaps,Mls,2020
24,Georges Mukumbilwa,"$ 1,082","$ 56,250","$ 56,250",M,20,Canada,Vancouver Whitecaps,Mls,2020
25,Thomas Hasal,"$ 1,082","$ 56,250","$ 56,250",K,20,Canada,Vancouver Whitecaps,Mls,2020
26,Daniel Gagliardi,"$ 1,077","$ 56,000","$ 56,000",K,23,United States,Vancouver Whitecaps,Mls,2020
