,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Kellyn Acosta,,"$ 19,231","$ 1,000,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Colorado Rapids,Mls,2021
1,Younes Namli,,"$ 16,346","$ 850,000",AM,26,Reserve,"Dec 31, 2021",1-yr,"$ 850,000",Colorado Rapids,Mls,2021
2,Michael Barrios,,"$ 12,500","$ 650,000",RW,30,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Colorado Rapids,Mls,2021
3,Nicolas Benezet,,"$ 12,500","$ 650,000",LW,30,Reserve,"Dec 31, 2021",1-yr,"$ 650,000",Colorado Rapids,Mls,2021
4,Jack Price,,"$ 11,538","$ 600,000",CM,28,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Colorado Rapids,Mls,2021
5,Diego Rubio,,"$ 11,250","$ 585,000",CF,28,Starter,"Dec 31, 2022",2-yrs,"$ 1,170,000",Colorado Rapids,Mls,2021
6,Sam Vines,,"$ 8,173","$ 425,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 425,000",Colorado Rapids,Mls,2021
7,Jonathan Lewis,,"$ 7,885","$ 410,000",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 410,000",Colorado Rapids,Mls,2021
8,Auston Trusty,,"$ 7,212","$ 375,000",CB,22,Starter,"Dec 31, 2023",3-yrs,"$ 1,125,000",Colorado Rapids,Mls,2021
9,Nicolás Mezquida,,"$ 6,731","$ 350,000",AM,29,Reserve,"Dec 31, 2021",1-yr,"$ 350,000",Colorado Rapids,Mls,2021
10,William Yarbrough,,"$ 5,769","$ 300,000",GK,32,Starter,"Dec 31, 2023",3-yrs,"$ 900,000",Colorado Rapids,Mls,2021
11,Keegan Rosenberry,,"$ 5,481","$ 285,000",RB,27,Starter,"Dec 31, 2021",1-yr,"$ 285,000",Colorado Rapids,Mls,2021
12,Danny Wilson,,"$ 5,288","$ 275,000",CB,29,Starter,"Dec 31, 2022",2-yrs,"$ 550,000",Colorado Rapids,Mls,2021
13,Lalas Abubakar,,"$ 4,038","$ 210,000",CB,26,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",Colorado Rapids,Mls,2021
14,Clint Irwin,,"$ 3,654","$ 190,000",GK,32,Reserve,"Dec 31, 2022",2-yrs,"$ 380,000",Colorado Rapids,Mls,2021
15,Braian Galván,,"$ 3,077","$ 160,000",RW,20,Reserve,"Dec 31, 2021",1-yr,"$ 160,000",Colorado Rapids,Mls,2021
16,Drew Moor,,"$ 2,885","$ 150,000",CB,37,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Colorado Rapids,Mls,2021
17,Steven Beitashour,,"$ 2,885","$ 150,000",RB,34,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Colorado Rapids,Mls,2021
18,Kortne Ford,,"$ 2,692","$ 140,000",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Colorado Rapids,Mls,2021
19,Andre Shinyashiki,,"$ 2,308","$ 120,000",LW,23,Starter,"Dec 31, 2021",1-yr,"$ 120,000",Colorado Rapids,Mls,2021
20,Cole Bassett,,"$ 2,115","$ 110,000",CM,19,Starter,"Dec 31, 2021",1-yr,"$ 110,000",Colorado Rapids,Mls,2021
21,Matt Hundley,,"$ 1,827","$ 95,000",LW,21,Reserve,"Nov 30, 2021",1-yr,"$ 95,000",Colorado Rapids,Mls,2021
22,Sebastian Anderson,,"$ 1,731","$ 90,000",RB,18,Reserve,"Nov 30, 2021",1-yr,"$ 90,000",Colorado Rapids,Mls,2021
23,Jeremy Kelly,,"$ 1,643","$ 85,444",RB,23,Reserve,"Nov 30, 2021",1-yr,"$ 85,444",Colorado Rapids,Mls,2021
24,Andre Rawls,,"$ 1,635","$ 85,000",GK,29,Reserve,"Nov 30, 2021",1-yr,"$ 85,000",Colorado Rapids,Mls,2021
25,Michael Edwards,,"$ 1,565","$ 81,375",CB,20,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Colorado Rapids,Mls,2021
26,Philip Mayaka,,"$ 1,565","$ 81,375",CM,20,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Colorado Rapids,Mls,2021
27,Collen Warner,,"$ 1,565","$ 81,375",CM,32,Reserve,"Dec 31, 2022",2-yrs,"$ 162,750",Colorado Rapids,Mls,2021
28,Abraham Rodriguez,,"$ 1,222","$ 63,547",GK,18,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
29,Oliver Larraz,,"$ 1,222","$ 63,547",CM,19,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Colorado Rapids,Mls,2021
30,Darren Yapi,,"$ 1,222","$ 63,547",CF,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
31,Will Vint,,"$ 1,222","$ 63,547",DM,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
32,Yaya Toure,,"$ 1,222","$ 63,547",RW,16,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
