,Player,,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
0,Ali Adnan,,"$ 22,115","$ 1,149,996",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 1,149,996",Vancouver Whitecaps,Mls,2021
1,Lucas Cavallini,,"$ 21,154","$ 1,100,000",CF,28,Starter,"Dec 31, 2022",2-yrs,"$ 2,200,000",Vancouver Whitecaps,Mls,2021
2,Caio Alexandre,,"$ 9,615","$ 500,000",CM,22,Starter,"Dec 31, 2024",4-yrs,"$ 2,000,000",Vancouver Whitecaps,Mls,2021
3,Érik Godoy,,"$ 8,654","$ 450,000",CB,27,Reserve,"Dec 31, 2022",2-yrs,"$ 900,000",Vancouver Whitecaps,Mls,2021
4,Cristian Dájome,,"$ 7,692","$ 400,000",LW,27,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Vancouver Whitecaps,Mls,2021
5,Ranko Veselinovic,,"$ 6,923","$ 360,000",CB,22,Starter,"Dec 31, 2023",3-yrs,"$ 1,080,000",Vancouver Whitecaps,Mls,2021
6,Janio Bikel,,"$ 6,731","$ 350,000",CM,25,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Vancouver Whitecaps,Mls,2021
7,Leonard Owusu,,"$ 6,731","$ 350,000",CM,23,Reserve,"Dec 31, 2022",2-yrs,"$ 700,000",Vancouver Whitecaps,Mls,2021
8,Russell Teibert,,"$ 6,731","$ 350,000",DM,28,Starter,"Dec 31, 2023",3-yrs,"$ 1,050,000",Vancouver Whitecaps,Mls,2021
9,Déiber Caicedo,,"$ 5,769","$ 300,000",RW,21,Starter,"Dec 31, 2023",3-yrs,"$ 900,000",Vancouver Whitecaps,Mls,2021
10,Jake Nerwinski,,"$ 4,904","$ 255,000",RB,26,Starter,"Dec 31, 2022",2-yrs,"$ 510,000",Vancouver Whitecaps,Mls,2021
11,Maxime Crépeau,,"$ 4,808","$ 250,000",GK,27,Starter,"Dec 31, 2022",2-yrs,"$ 500,000",Vancouver Whitecaps,Mls,2021
12,Bruno Gaspar,,"$ 3,846","$ 200,000",RB,28,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Vancouver Whitecaps,Mls,2021
13,Tosaint Ricketts,,"$ 3,077","$ 160,000",CF,33,Reserve,"Dec 31, 2021",1-yr,"$ 160,000",Vancouver Whitecaps,Mls,2021
14,Cristián Gutiérrez,,"$ 2,885","$ 150,000",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 150,000",Vancouver Whitecaps,Mls,2021
15,Andy Rose,,"$ 2,538","$ 132,000",CM,31,Starter,"Dec 31, 2021",1-yr,"$ 132,000",Vancouver Whitecaps,Mls,2021
16,Derek Cornelius,,"$ 2,443","$ 127,050",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 127,050",Vancouver Whitecaps,Mls,2021
17,Evan Newton,,"$ 1,827","$ 95,000",GK,33,Reserve,"Dec 31, 2022",2-yrs,"$ 190,000",Vancouver Whitecaps,Mls,2021
18,Ryan Raposo,,"$ 1,731","$ 90,000",RW,22,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Vancouver Whitecaps,Mls,2021
19,Michael Baldisimo,,"$ 1,721","$ 89,513",DM,21,Reserve,"Dec 31, 2021",1-yr,"$ 89,513",Vancouver Whitecaps,Mls,2021
20,Thomas Hasal,,"$ 1,565","$ 81,375",GK,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Vancouver Whitecaps,Mls,2021
21,Theo Bair,,"$ 1,565","$ 81,375",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Vancouver Whitecaps,Mls,2021
22,Damiano Pecile,,"$ 1,283","$ 66,724",DM,19,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Vancouver Whitecaps,Mls,2021
23,Gianfranco Facchineri,,"$ 1,283","$ 66,724",CB,19,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Vancouver Whitecaps,Mls,2021
24,Patrick Metcalfe,,"$ 1,283","$ 66,724",CM,22,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Vancouver Whitecaps,Mls,2021
25,Isaac Boehmer,,"$ 1,283","$ 66,724",GK,19,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Vancouver Whitecaps,Mls,2021
26,Kamron Habibullah,,"$ 1,222","$ 63,547",LW,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Vancouver Whitecaps,Mls,2021
27,Javain Brown,,"$ 1,222","$ 63,547",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Vancouver Whitecaps,Mls,2021
28,David Egbo,,"$ 1,222","$ 63,547",CF,22,Reserve,"Dec 31, 2024",4-yrs,"$ 254,188",Vancouver Whitecaps,Mls,2021
29,Matteo Campagna,,"$ 1,222","$ 63,547",CB,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Vancouver Whitecaps,Mls,2021
