,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Jack Wilshere,"£ 80,000","£ 4,160,000","£ 4,372,183",M,24,England,Bournemouth,Premier League,2016-2017
1,Jordon Ibe,"£ 37,000","£ 1,924,000","£ 2,022,135",F,20,England,Bournemouth,Premier League,2016-2017
2,Artur Boruc,"£ 32,000","£ 1,664,000","£ 1,748,873",K,36,Poland,Bournemouth,Premier League,2016-2017
3,Callum Wilson,"£ 30,000","£ 1,560,000","£ 1,639,569",F,24,England,Bournemouth,Premier League,2016-2017
4,Marc Wilson,"£ 30,000","£ 1,560,000","£ 1,639,569",D,28,Ireland,Bournemouth,Premier League,2016-2017
5,Lewis Cook,"£ 30,000","£ 1,560,000","£ 1,639,569",M,19,England,Bournemouth,Premier League,2016-2017
6,Adam Federici,"£ 30,000","£ 1,560,000","£ 1,639,569",K,31,Australia,Bournemouth,Premier League,2016-2017
7,Harry Arter,"£ 27,000","£ 1,404,000","£ 1,475,612",M,26,Ireland,Bournemouth,Premier League,2016-2017
8,Max Gradel,"£ 27,000","£ 1,404,000","£ 1,475,612",F,28,Cote d'Ivoire,Bournemouth,Premier League,2016-2017
9,Benik Afobe,"£ 27,000","£ 1,404,000","£ 1,475,612",F,23,Democratic Republic of Congo,Bournemouth,Premier League,2016-2017
10,Andrew Surman,"£ 26,000","£ 1,352,000","£ 1,420,960",M,29,England,Bournemouth,Premier League,2016-2017
11,Charlie Daniels,"£ 25,000","£ 1,300,000","£ 1,366,307",D,29,England,Bournemouth,Premier League,2016-2017
12,Brad Smith,"£ 25,000","£ 1,300,000","£ 1,366,307",D,22,Australia,Bournemouth,Premier League,2016-2017
13,Marc Pugh,"£ 25,000","£ 1,300,000","£ 1,366,307",F,29,England,Bournemouth,Premier League,2016-2017
14,Steve Cook,"£ 24,000","£ 1,248,000","£ 1,311,655",D,25,England,Bournemouth,Premier League,2016-2017
15,Adam Smith,"£ 23,000","£ 1,196,000","£ 1,257,003",D,25,England,Bournemouth,Premier League,2016-2017
16,Junior Stanislas,"£ 21,000","£ 1,092,000","£ 1,147,698",F,26,England,Bournemouth,Premier League,2016-2017
17,Lys Mousset,"£ 20,000","£ 1,040,000","£ 1,093,046",F,20,France,Bournemouth,Premier League,2016-2017
18,Simon Francis,"£ 20,000","£ 1,040,000","£ 1,093,046",D,31,England,Bournemouth,Premier League,2016-2017
19,Dan Gosling,"£ 20,000","£ 1,040,000","£ 1,093,046",M,26,England,Bournemouth,Premier League,2016-2017
20,Nathan Aké,"£ 20,000","£ 1,040,000","£ 1,093,046",D,21,Netherlands,Bournemouth,Premier League,2016-2017
21,Joshua King,"£ 20,000","£ 1,040,000","£ 1,093,046",F,24,Norway,Bournemouth,Premier League,2016-2017
22,Tyrone Mings,"£ 18,000","£ 936,000","£ 983,741",D,23,England,Bournemouth,Premier League,2016-2017
23,Rhoys Wiggins,"£ 16,000","£ 832,000","£ 874,437",D,28,Wales,Bournemouth,Premier League,2016-2017
24,Ryan Fraser,"£ 14,000","£ 728,000","£ 765,132",F,22,Scotland,Bournemouth,Premier League,2016-2017
25,Ryan Allsop,"£ 11,000","£ 572,000","£ 601,175",K,24,England,Bournemouth,Premier League,2016-2017
26,Baily Cargill,"£ 3,000","£ 156,000","£ 163,957",D,20,England,Bournemouth,Premier League,2016-2017
27,Aaron Ramsdale,"£ 2,500","£ 130,000","£ 136,631",K,18,England,Bournemouth,Premier League,2016-2017
28,Jack Simpson,£ 596,"£ 31,000","£ 32,581",D,19,England,Bournemouth,Premier League,2016-2017
29,Ollie Harfield,£ 442,"£ 23,000","£ 24,173",M,18,England,Bournemouth,Premier League,2016-2017
30,Keelan O'Connell,£ 442,"£ 23,000","£ 24,173",M,16,England,Bournemouth,Premier League,2016-2017
31,Sam Surridge,£ 442,"£ 23,000","£ 24,173",F,17,England,Bournemouth,Premier League,2016-2017
32,Corey Jordan,£ 442,"£ 23,000","£ 24,173",D,17,England,Bournemouth,Premier League,2016-2017
33,Lewis Grabban,£ 0,£ 0,£ 0,F,28,Jamaica,Bournemouth,Premier League,2016-2017
34,Eunan O'Kane,£ 0,£ 0,£ 0,M,25,Ireland,Bournemouth,Premier League,2016-2017
35,Jordan Holmes,£ 0,£ 0,£ 0,K,19,Australia,Bournemouth,Premier League,2016-2017
36,Emerson Hyndman,£ 0,£ 0,£ 0,M,20,United States,Bournemouth,Premier League,2016-2017
37,Callum Buckley,£ 0,£ 0,£ 0,D,20,England,Bournemouth,Premier League,2016-2017
38,Jordan Lee,£ 0,£ 0,£ 0,D,19,England,Bournemouth,Premier League,2016-2017
39,Matt Worthington,£ 0,£ 0,£ 0,M,18,England,Bournemouth,Premier League,2016-2017
40,Harry Cornick,£ 0,£ 0,£ 0,F,21,England,Bournemouth,Premier League,2016-2017
