,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Eden Hazard,"£ 215,346","£ 11,198,000","£ 11,769,161",F,25,Belgium,Chelsea,Premier League,2016-2017
1,Cesc Fàbregas,"£ 198,712","£ 10,333,000","£ 10,860,041",M,29,Spain,Chelsea,Premier League,2016-2017
2,N'Golo Kanté,"£ 150,000","£ 7,800,000","£ 8,197,844",M,25,France,Chelsea,Premier League,2016-2017
3,Diego Costa,"£ 150,000","£ 7,800,000","£ 8,197,844",F,27,Spain,Chelsea,Premier League,2016-2017
4,Willian,"£ 120,000","£ 6,240,000","£ 6,558,275",F,27,Brazil,Chelsea,Premier League,2016-2017
5,Thibaut Courtois,"£ 100,000","£ 5,200,000","£ 5,465,229",K,24,Belgium,Chelsea,Premier League,2016-2017
6,Pedro,"£ 95,750","£ 4,979,000","£ 5,232,957",F,28,Spain,Chelsea,Premier League,2016-2017
7,César Azpilicueta,"£ 90,000","£ 4,680,000","£ 4,918,706",D,26,Spain,Chelsea,Premier League,2016-2017
8,David Luiz,"£ 83,115","£ 4,322,000","£ 4,542,446",D,29,Brazil,Chelsea,Premier League,2016-2017
9,Loïc Rémy,"£ 80,000","£ 4,160,000","£ 4,372,183",F,29,France,Chelsea,Premier League,2016-2017
10,Gary Cahill,"£ 80,000","£ 4,160,000","£ 4,372,183",D,30,England,Chelsea,Premier League,2016-2017
11,Michy Batshuayi,"£ 70,000","£ 3,640,000","£ 3,825,660",F,22,Belgium,Chelsea,Premier League,2016-2017
12,Nemanja Matic,"£ 70,000","£ 3,640,000","£ 3,825,660",M,27,Serbia,Chelsea,Premier League,2016-2017
13,John Terry,"£ 50,000","£ 2,600,000","£ 2,732,615",D,35,England,Chelsea,Premier League,2016-2017
14,Asmir Begovic,"£ 50,000","£ 2,600,000","£ 2,732,615",K,29,Bosnia-Herzegovina,Chelsea,Premier League,2016-2017
15,Marcos Alonso,"£ 50,000","£ 2,600,000","£ 2,732,615",D,25,Spain,Chelsea,Premier League,2016-2017
16,Kurt Zouma,"£ 40,000","£ 2,080,000","£ 2,186,092",D,21,France,Chelsea,Premier League,2016-2017
17,Nathaniel Chalobah,"£ 35,000","£ 1,820,000","£ 1,912,830",M,21,England,Chelsea,Premier League,2016-2017
18,Ruben Loftus-Cheek,"£ 35,000","£ 1,820,000","£ 1,912,830",M,20,England,Chelsea,Premier League,2016-2017
19,Eduardo,"£ 30,000","£ 1,560,000","£ 1,639,569",K,33,Portugal,Chelsea,Premier League,2016-2017
20,Victor Moses,"£ 30,000","£ 1,560,000","£ 1,639,569",F,25,Nigeria,Chelsea,Premier League,2016-2017
21,Kenedy,"£ 25,000","£ 1,300,000","£ 1,366,307",M,20,Brazil,Chelsea,Premier League,2016-2017
22,Nathan Aké,"£ 20,000","£ 1,040,000","£ 1,093,046",D,21,Netherlands,Chelsea,Premier League,2016-2017
23,Ola Aina,"£ 15,000","£ 780,000","£ 819,784",D,19,Nigeria,Chelsea,Premier League,2016-2017
24,Todd Kane,"£ 8,500","£ 442,000","£ 464,544",D,22,England,Chelsea,Premier League,2016-2017
25,Dominic Solanke,"£ 5,000","£ 260,000","£ 273,261",F,18,England,Chelsea,Premier League,2016-2017
26,Matej Delac,£ 0,£ 0,£ 0,K,23,Croatia,Chelsea,Premier League,2016-2017
27,Matt Miazga,£ 0,£ 0,£ 0,D,20,United States,Chelsea,Premier League,2016-2017
28,Michael Hector,£ 0,£ 0,£ 0,D,23,Jamaica,Chelsea,Premier League,2016-2017
29,Jamal Blackman,£ 0,£ 0,£ 0,K,22,England,Chelsea,Premier League,2016-2017
30,Nathan,£ 0,£ 0,£ 0,F,20,Brazil,Chelsea,Premier League,2016-2017
31,Cristian Cuevas,£ 0,£ 0,£ 0,D,21,Chile,Chelsea,Premier League,2016-2017
32,Christian Atsu,£ 0,£ 0,£ 0,F,24,Ghana,Chelsea,Premier League,2016-2017
33,Oscar,£ 0,£ 0,£ 0,M,24,Brazil,Chelsea,Premier League,2016-2017
34,Branislav Ivanovic,£ 0,£ 0,£ 0,D,32,Serbia,Chelsea,Premier League,2016-2017
35,Bertrand Traoré,£ 0,£ 0,£ 0,F,20,Burkina Faso,Chelsea,Premier League,2016-2017
36,Tomas Kalas,£ 0,£ 0,£ 0,D,23,Czech Republic,Chelsea,Premier League,2016-2017
