,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Harry Kane,"£ 100,000","£ 5,200,000","£ 5,465,229",F,22,England,Tottenham,Premier League,2016-2017
1,Hugo Lloris,"£ 100,000","£ 5,200,000","£ 5,465,229",K,29,France,Tottenham,Premier League,2016-2017
2,Heung-min Son,"£ 85,000","£ 4,420,000","£ 4,645,445",F,23,South Korea,Tottenham,Premier League,2016-2017
3,Toby Alderweireld,"£ 80,000","£ 4,160,000","£ 4,372,183",D,27,Belgium,Tottenham,Premier League,2016-2017
4,Erik Lamela,"£ 80,000","£ 4,160,000","£ 4,372,183",F,24,Argentina,Tottenham,Premier League,2016-2017
5,Moussa Sissoko,"£ 80,000","£ 4,160,000","£ 4,372,183",M,26,France,Tottenham,Premier League,2016-2017
6,Christian Eriksen,"£ 75,000","£ 3,900,000","£ 4,098,922",M,24,Denmark,Tottenham,Premier League,2016-2017
7,Kyle Walker,"£ 70,000","£ 3,640,000","£ 3,825,660",D,26,England,Tottenham,Premier League,2016-2017
8,Victor Wanyama,"£ 65,000","£ 3,380,000","£ 3,552,399",M,25,Kenya,Tottenham,Premier League,2016-2017
9,Jan Vertonghen,"£ 60,308","£ 3,136,000","£ 3,295,954",D,29,Belgium,Tottenham,Premier League,2016-2017
10,Danny Rose,"£ 60,000","£ 3,120,000","£ 3,279,138",D,25,England,Tottenham,Premier League,2016-2017
11,Eric Dier,"£ 60,000","£ 3,120,000","£ 3,279,138",M,22,England,Tottenham,Premier League,2016-2017
12,Mousa Dembélé,"£ 55,000","£ 2,860,000","£ 3,005,876",M,28,Belgium,Tottenham,Premier League,2016-2017
13,Dele Alli,"£ 50,000","£ 2,600,000","£ 2,732,615",M,20,England,Tottenham,Premier League,2016-2017
14,Kevin Wimmer,"£ 45,000","£ 2,340,000","£ 2,459,353",D,23,Austria,Tottenham,Premier League,2016-2017
15,Michel Vorm,"£ 40,000","£ 2,080,000","£ 2,186,092",K,32,Netherlands,Tottenham,Premier League,2016-2017
16,Ryan Mason,"£ 40,000","£ 2,080,000","£ 2,186,092",M,25,England,Tottenham,Premier League,2016-2017
17,Vincent Janssen,"£ 35,000","£ 1,820,000","£ 1,912,830",F,22,Netherlands,Tottenham,Premier League,2016-2017
18,Kieran Trippier,"£ 35,000","£ 1,820,000","£ 1,912,830",D,25,England,Tottenham,Premier League,2016-2017
19,Tom Carroll,"£ 35,000","£ 1,820,000","£ 1,912,830",M,24,England,Tottenham,Premier League,2016-2017
20,Pau López,"£ 33,154","£ 1,724,000","£ 1,811,934",K,21,Spain,Tottenham,Premier League,2016-2017
21,Ben Davies,"£ 30,000","£ 1,560,000","£ 1,639,569",D,23,Wales,Tottenham,Premier League,2016-2017
22,Harry Winks,"£ 25,000","£ 1,300,000","£ 1,366,307",M,20,England,Tottenham,Premier League,2016-2017
23,Cameron Carter-Vickers,"£ 20,000","£ 1,040,000","£ 1,093,046",D,18,United States,Tottenham,Premier League,2016-2017
24,Kyle Walker-Peters,"£ 10,000","£ 520,000","£ 546,523",D,19,England,Tottenham,Premier League,2016-2017
25,Filip Lesniak,£ 750,"£ 39,000","£ 40,989",M,20,Slovakia,Tottenham,Premier League,2016-2017
26,Alfie Whiteman,£ 96,"£ 5,000","£ 5,255",K,17,England,Tottenham,Premier League,2016-2017
27,Marcus Edwards,£ 96,"£ 5,000","£ 5,255",F,17,England,Tottenham,Premier League,2016-2017
28,Samuel Shashoua,£ 96,"£ 5,000","£ 5,255",F,17,England,Tottenham,Premier League,2016-2017
29,Nabil Bentaleb,£ 0,£ 0,£ 0,M,21,Algeria,Tottenham,Premier League,2016-2017
30,Georges-Kevin N'Koudou,£ 0,£ 0,£ 0,F,21,France,Tottenham,Premier League,2016-2017
31,Luke Amos,£ 0,£ 0,£ 0,M,19,England,Tottenham,Premier League,2016-2017
32,Luke McGee,£ 0,£ 0,£ 0,K,20,England,Tottenham,Premier League,2016-2017
33,Federico Fazio,£ 0,£ 0,£ 0,D,29,Argentina,Tottenham,Premier League,2016-2017
34,Clinton N'Jie,£ 0,£ 0,£ 0,F,22,Cameroon,Tottenham,Premier League,2016-2017
35,Anton Walkes,£ 0,£ 0,£ 0,M,19,England,Tottenham,Premier League,2016-2017
36,Shayon Harrison,£ 0,£ 0,£ 0,F,18,England,Tottenham,Premier League,2016-2017
37,Josh Onomah,£ 0,£ 0,£ 0,M,19,England,Tottenham,Premier League,2016-2017
