,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Wilfried Bony,"£ 90,000","£ 4,680,000","£ 4,808,456",F,28,Cote d'Ivoire,Swansea,Premier League,2017-2018
1,André Ayew,"£ 80,000","£ 4,160,000","£ 4,274,183",F,27,Ghana,Swansea,Premier League,2017-2018
2,Tammy Abraham,"£ 50,000","£ 2,600,000","£ 2,671,365",F,19,England,Swansea,Premier League,2017-2018
3,Sam Clucas,"£ 50,000","£ 2,600,000","£ 2,671,365",M,26,England,Swansea,Premier League,2017-2018
4,Jordan Ayew,"£ 50,000","£ 2,600,000","£ 2,671,365",F,25,Ghana,Swansea,Premier League,2017-2018
5,Lukasz Fabianski,"£ 50,000","£ 2,600,000","£ 2,671,365",K,32,Poland,Swansea,Premier League,2017-2018
6,Leroy Fer,"£ 45,000","£ 2,340,000","£ 2,404,228",M,27,Netherlands,Swansea,Premier League,2017-2018
7,Federico Fernández,"£ 43,000","£ 2,236,000","£ 2,297,373",D,28,Argentina,Swansea,Premier League,2017-2018
8,Andy King,"£ 40,000","£ 2,080,000","£ 2,137,092",M,28,Wales,Swansea,Premier League,2017-2018
9,Leon Britton,"£ 37,500","£ 1,950,000","£ 2,003,523",M,34,England,Swansea,Premier League,2017-2018
10,Wayne Routledge,"£ 36,000","£ 1,872,000","£ 1,923,382",F,32,England,Swansea,Premier League,2017-2018
11,Tom Carroll,"£ 35,000","£ 1,820,000","£ 1,869,955",M,25,England,Swansea,Premier League,2017-2018
12,Martin Olsson,"£ 32,500","£ 1,690,000","£ 1,736,387",D,29,Sweden,Swansea,Premier League,2017-2018
13,Kyle Naughton,"£ 32,000","£ 1,664,000","£ 1,709,673",D,28,England,Swansea,Premier League,2017-2018
14,Ángel Rangel,"£ 32,000","£ 1,664,000","£ 1,709,673",D,34,Spain,Swansea,Premier League,2017-2018
15,Nathan Dyer,"£ 32,000","£ 1,664,000","£ 1,709,673",F,29,England,Swansea,Premier League,2017-2018
16,Luciano Narsingh,"£ 30,000","£ 1,560,000","£ 1,602,819",F,26,Netherlands,Swansea,Premier League,2017-2018
17,Kyle Bartley,"£ 27,500","£ 1,430,000","£ 1,469,250",D,26,England,Swansea,Premier League,2017-2018
18,Renato Sanches,"£ 25,712","£ 1,337,000","£ 1,373,698",M,19,Portugal,Swansea,Premier League,2017-2018
19,Kristoffer Nordfeldt,"£ 25,000","£ 1,300,000","£ 1,335,682",K,28,Sweden,Swansea,Premier League,2017-2018
20,Alfie Mawson,"£ 25,000","£ 1,300,000","£ 1,335,682",D,23,England,Swansea,Premier League,2017-2018
21,Erwin Mulder,"£ 20,000","£ 1,040,000","£ 1,068,546",K,28,Netherlands,Swansea,Premier League,2017-2018
22,Mike van der Hoorn,"£ 15,000","£ 780,000","£ 801,409",D,24,Netherlands,Swansea,Premier League,2017-2018
23,Connor Roberts,"£ 5,000","£ 260,000","£ 267,136",D,21,Wales,Swansea,Premier League,2017-2018
24,Kenji Gorré,"£ 4,000","£ 208,000","£ 213,709",F,22,Curacao,Swansea,Premier League,2017-2018
25,Daniel James,"£ 2,500","£ 130,000","£ 133,568",F,19,Wales,Swansea,Premier League,2017-2018
26,Courtney Baker-Richardson,"£ 2,000","£ 104,000","£ 106,855",F,21,England,Swansea,Premier League,2017-2018
27,Adnan Maric,"£ 1,500","£ 78,000","£ 80,141",M,20,Sweden,Swansea,Premier League,2017-2018
28,George Byers,£ 500,"£ 26,000","£ 26,714",M,21,Scotland,Swansea,Premier League,2017-2018
29,Jay Fulton,£ 0,£ 0,£ 0,M,23,Scotland,Swansea,Premier League,2017-2018
30,Joe Rodon,£ 0,£ 0,£ 0,D,19,Wales,Swansea,Premier League,2017-2018
31,Matt Grimes,£ 0,£ 0,£ 0,M,21,England,Swansea,Premier League,2017-2018
32,Adam King,£ 0,£ 0,£ 0,M,21,Scotland,Swansea,Premier League,2017-2018
33,Oliver McBurnie,£ 0,£ 0,£ 0,F,21,Scotland,Swansea,Premier League,2017-2018
34,Roque Mesa,£ 0,£ 0,£ 0,M,28,Spain,Swansea,Premier League,2017-2018
35,Sung-yong Ki,£ 0,£ 0,£ 0,M,28,South Korea,Swansea,Premier League,2017-2018
