,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Oumar Niasse,"£ 50,000","£ 2,600,000","£ 2,625,727",F,28,Senegal,Cardiff,Premier League,2018-2019
1,Harry Arter,"£ 40,000","£ 2,080,000","£ 2,100,581",M,28,Ireland,Cardiff,Premier League,2018-2019
2,Bobby Reid,"£ 30,000","£ 1,560,000","£ 1,575,436",M,25,Jamaica,Cardiff,Premier League,2018-2019
3,Alex Smithies,"£ 30,000","£ 1,560,000","£ 1,575,436",K,28,England,Cardiff,Premier League,2018-2019
4,Bruno Ecuele Manga,"£ 29,500","£ 1,534,000","£ 1,549,179",D,29,Gabon,Cardiff,Premier League,2018-2019
5,Junior Hoilett,"£ 28,000","£ 1,456,000","£ 1,470,407",F,28,Canada,Cardiff,Premier League,2018-2019
6,Sean Morrison,"£ 25,000","£ 1,300,000","£ 1,312,863",D,27,England,Cardiff,Premier League,2018-2019
7,Josh Murphy,"£ 25,000","£ 1,300,000","£ 1,312,863",F,23,England,Cardiff,Premier League,2018-2019
8,Joe Ralls,"£ 24,500","£ 1,274,000","£ 1,286,606",M,24,England,Cardiff,Premier League,2018-2019
9,Aron Gunnarsson,"£ 24,000","£ 1,248,000","£ 1,260,349",M,29,Iceland,Cardiff,Premier League,2018-2019
10,Lee Tomlin,"£ 22,500","£ 1,170,000","£ 1,181,577",F,29,England,Cardiff,Premier League,2018-2019
11,Callum Paterson,"£ 22,500","£ 1,170,000","£ 1,181,577",M,23,Scotland,Cardiff,Premier League,2018-2019
12,Leandro Bacuna,"£ 20,019","£ 1,041,000","£ 1,051,301",M,26,Curacao,Cardiff,Premier League,2018-2019
13,Danny Ward,"£ 20,000","£ 1,040,000","£ 1,050,291",F,27,England,Cardiff,Premier League,2018-2019
14,Joe Bennett,"£ 19,500","£ 1,014,000","£ 1,024,033",D,28,England,Cardiff,Premier League,2018-2019
15,Neil Etheridge,"£ 19,500","£ 1,014,000","£ 1,024,033",K,28,Philippines,Cardiff,Premier League,2018-2019
16,Greg Cunningham,"£ 19,000","£ 988,000","£ 997,776",D,27,Ireland,Cardiff,Premier League,2018-2019
17,Matthew Connolly,"£ 19,000","£ 988,000","£ 997,776",D,30,England,Cardiff,Premier League,2018-2019
18,Lee Peltier,"£ 19,000","£ 988,000","£ 997,776",D,31,England,Cardiff,Premier League,2018-2019
19,Nathaniel Mendez-Laing,"£ 18,500","£ 962,000","£ 971,519",F,26,England,Cardiff,Premier League,2018-2019
20,Gary Madine,"£ 18,000","£ 936,000","£ 945,262",F,27,England,Cardiff,Premier League,2018-2019
21,Kenneth Zohore,"£ 16,500","£ 858,000","£ 866,490",F,24,Denmark,Cardiff,Premier League,2018-2019
22,Víctor Camarasa,"£ 16,115","£ 838,000","£ 846,292",M,24,Spain,Cardiff,Premier League,2018-2019
23,Stuart O'Keefe,"£ 15,000","£ 780,000","£ 787,718",M,27,England,Cardiff,Premier League,2018-2019
24,Sol Bamba,"£ 14,000","£ 728,000","£ 735,203",D,33,Cote d'Ivoire,Cardiff,Premier League,2018-2019
25,Jazz Richards,"£ 13,000","£ 676,000","£ 682,689",D,27,Wales,Cardiff,Premier League,2018-2019
26,Kadeem Harris,"£ 12,000","£ 624,000","£ 630,174",M,25,England,Cardiff,Premier League,2018-2019
27,Brian Murphy,"£ 10,500","£ 546,000","£ 551,403",K,35,Ireland,Cardiff,Premier League,2018-2019
28,Loïc Damour,"£ 9,500","£ 494,000","£ 498,888",M,27,France,Cardiff,Premier League,2018-2019
29,Rhys Healey,"£ 3,000","£ 156,000","£ 157,544",F,23,England,Cardiff,Premier League,2018-2019
30,Cameron Coxe,£ 692,"£ 36,000","£ 36,356",D,19,Wales,Cardiff,Premier League,2018-2019
31,Lloyd Humphries,£ 596,"£ 31,000","£ 31,307",M,20,Wales,Cardiff,Premier League,2018-2019
32,Ciaron Brown,£ 0,£ 0,£ 0,D,20,England,Cardiff,Premier League,2018-2019
33,Jack McKay,£ 0,£ 0,£ 0,F,21,Scotland,Cardiff,Premier League,2018-2019
34,Omar Bogle,£ 0,£ 0,£ 0,F,25,England,Cardiff,Premier League,2018-2019
