,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Abdoulaye Doucouré,"£ 70,000","£ 3,640,000","£ 3,676,017",M,25,France,Watford,Premier League,2018-2019
1,Andre Gray,"£ 70,000","£ 3,640,000","£ 3,676,017",F,27,England,Watford,Premier League,2018-2019
2,Troy Deeney,"£ 65,000","£ 3,380,000","£ 3,413,445",F,30,England,Watford,Premier League,2018-2019
3,Gerard Deulofeu,"£ 60,000","£ 3,120,000","£ 3,150,872",F,24,Spain,Watford,Premier League,2018-2019
4,Tom Cleverley,"£ 50,000","£ 2,600,000","£ 2,625,727",M,28,England,Watford,Premier League,2018-2019
5,Sebastian Prödl,"£ 45,000","£ 2,340,000","£ 2,363,154",D,31,Austria,Watford,Premier League,2018-2019
6,Daryl Janmaat,"£ 45,000","£ 2,340,000","£ 2,363,154",D,28,Netherlands,Watford,Premier League,2018-2019
7,Roberto Pereyra,"£ 45,000","£ 2,340,000","£ 2,363,154",M,27,Argentina,Watford,Premier League,2018-2019
8,Étienne Capoue,"£ 40,000","£ 2,080,000","£ 2,100,581",M,29,France,Watford,Premier League,2018-2019
9,Stefano Okaka,"£ 35,000","£ 1,820,000","£ 1,838,009",F,28,Italy,Watford,Premier League,2018-2019
10,Heurelho Gomes,"£ 35,000","£ 1,820,000","£ 1,838,009",K,37,Brazil,Watford,Premier League,2018-2019
11,Nathaniel Chalobah,"£ 35,000","£ 1,820,000","£ 1,838,009",M,23,England,Watford,Premier League,2018-2019
12,Will Hughes,"£ 30,000","£ 1,560,000","£ 1,575,436",M,23,England,Watford,Premier League,2018-2019
13,Ben Foster,"£ 30,000","£ 1,560,000","£ 1,575,436",K,35,England,Watford,Premier League,2018-2019
14,Christian Kabasele,"£ 30,000","£ 1,560,000","£ 1,575,436",D,27,Belgium,Watford,Premier League,2018-2019
15,Isaac Success,"£ 30,000","£ 1,560,000","£ 1,575,436",F,22,Nigeria,Watford,Premier League,2018-2019
16,José Holebas,"£ 30,000","£ 1,560,000","£ 1,575,436",D,34,Greece,Watford,Premier League,2018-2019
17,Adam Masina,"£ 28,000","£ 1,456,000","£ 1,470,407",D,24,Italy,Watford,Premier League,2018-2019
18,Miguel Britos,"£ 25,000","£ 1,300,000","£ 1,312,863",D,32,Uruguay,Watford,Premier League,2018-2019
19,Marc Navarro,"£ 23,000","£ 1,196,000","£ 1,207,834",D,22,Spain,Watford,Premier League,2018-2019
20,Craig Cathcart,"£ 23,000","£ 1,196,000","£ 1,207,834",D,29,Northern Ireland,Watford,Premier League,2018-2019
21,Kiko Femenía,"£ 20,000","£ 1,040,000","£ 1,050,291",D,27,Spain,Watford,Premier League,2018-2019
22,Marvin Zeegelaar,"£ 20,000","£ 1,040,000","£ 1,050,291",D,27,Netherlands,Watford,Premier League,2018-2019
23,Adalberto Peñaranda,"£ 17,962","£ 934,000","£ 943,242",F,21,Venezuela,Watford,Premier League,2018-2019
24,Ken Sema,"£ 15,000","£ 780,000","£ 787,718",M,24,Sweden,Watford,Premier League,2018-2019
25,Adrian Mariappa,"£ 15,000","£ 780,000","£ 787,718",D,31,Jamaica,Watford,Premier League,2018-2019
26,Domingos Quina,"£ 8,000","£ 416,000","£ 420,116",M,18,Portugal,Watford,Premier League,2018-2019
27,Ben Wilmot,"£ 5,000","£ 260,000","£ 262,573",D,18,England,Watford,Premier League,2018-2019
28,Pontus Dahlberg,"£ 3,000","£ 156,000","£ 157,544",K,19,Sweden,Watford,Premier League,2018-2019
29,Kwasi Sibo,"£ 2,000","£ 104,000","£ 105,029",M,20,Ghana,Watford,Premier League,2018-2019
30,Filip Stuparevic,£ 0,£ 0,£ 0,F,17,Serbia,Watford,Premier League,2018-2019
31,Dimitri Foulquier,£ 0,£ 0,£ 0,D,25,Guadeloupe,Watford,Premier League,2018-2019
32,Jerome Sinclair,£ 0,£ 0,£ 0,F,21,England,Watford,Premier League,2018-2019
33,Jorge Segura,£ 0,£ 0,£ 0,D,21,Colombia,Watford,Premier League,2018-2019
34,Daniel Bachmann,£ 0,£ 0,£ 0,K,23,Austria,Watford,Premier League,2018-2019
35,Obbi Oulare,£ 0,£ 0,£ 0,F,22,Belgium,Watford,Premier League,2018-2019
36,Cucho Hernández,£ 0,£ 0,£ 0,F,19,Colombia,Watford,Premier League,2018-2019
37,Tommie Hoban,£ 0,£ 0,£ 0,D,24,Ireland,Watford,Premier League,2018-2019
38,Dodi Lukebakio,£ 0,£ 0,£ 0,F,20,Belgium,Watford,Premier League,2018-2019
