,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Wilfried Zaha,"£ 130,000","£ 6,760,000","£ 6,760,000",F,27,Cote d'Ivoire,Crystal Palace,Premier League,2019-2020
1,Max Meyer,"£ 125,000","£ 6,500,000","£ 6,500,000",F,24,Germany,Crystal Palace,Premier League,2019-2020
2,Christian Benteke,"£ 120,000","£ 6,240,000","£ 6,240,000",F,29,Belgium,Crystal Palace,Premier League,2019-2020
3,Mamadou Sakho,"£ 100,000","£ 5,200,000","£ 5,200,000",D,29,France,Crystal Palace,Premier League,2019-2020
4,Gary Cahill,"£ 65,000","£ 3,380,000","£ 3,380,000",D,34,England,Crystal Palace,Premier League,2019-2020
5,Cheikhou Kouyaté,"£ 65,000","£ 3,380,000","£ 3,380,000",M,30,Senegal,Crystal Palace,Premier League,2019-2020
6,Scott Dann,"£ 60,000","£ 3,120,000","£ 3,120,000",D,32,England,Crystal Palace,Premier League,2019-2020
7,Connor Wickham,"£ 60,000","£ 3,120,000","£ 3,120,000",F,26,England,Crystal Palace,Premier League,2019-2020
8,Cenk Tosun,"£ 60,000","£ 3,120,000","£ 3,120,000",F,28,Turkey,Crystal Palace,Premier League,2019-2020
9,Vicente Guaita,"£ 60,000","£ 3,120,000","£ 3,120,000",K,33,Spain,Crystal Palace,Premier League,2019-2020
10,Jeffrey Schlupp,"£ 55,962","£ 2,910,000","£ 2,910,000",M,27,Ghana,Crystal Palace,Premier League,2019-2020
11,Andros Townsend,"£ 55,000","£ 2,860,000","£ 2,860,000",F,28,England,Crystal Palace,Premier League,2019-2020
12,Jairo Riedewald,"£ 55,000","£ 2,860,000","£ 2,860,000",D,23,Netherlands,Crystal Palace,Premier League,2019-2020
13,James McArthur,"£ 55,000","£ 2,860,000","£ 2,860,000",M,32,Scotland,Crystal Palace,Premier League,2019-2020
14,Luka Milivojevic,"£ 55,000","£ 2,860,000","£ 2,860,000",M,28,Serbia,Crystal Palace,Premier League,2019-2020
15,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 2,860,000",D,29,Netherlands,Crystal Palace,Premier League,2019-2020
16,James McCarthy,"£ 50,000","£ 2,600,000","£ 2,600,000",M,29,Ireland,Crystal Palace,Premier League,2019-2020
17,James Tomkins,"£ 50,000","£ 2,600,000","£ 2,600,000",D,30,England,Crystal Palace,Premier League,2019-2020
18,Wayne Hennessey,"£ 40,000","£ 2,080,000","£ 2,080,000",K,33,Wales,Crystal Palace,Premier League,2019-2020
19,Joel Ward,"£ 35,000","£ 1,820,000","£ 1,820,000",D,30,England,Crystal Palace,Premier League,2019-2020
20,Jordan Ayew,"£ 32,500","£ 1,690,000","£ 1,690,000",F,28,Ghana,Crystal Palace,Premier League,2019-2020
21,Martin Kelly,"£ 25,000","£ 1,300,000","£ 1,300,000",D,29,England,Crystal Palace,Premier League,2019-2020
22,Víctor Camarasa,"£ 12,692","£ 660,000","£ 660,000",M,25,Spain,Crystal Palace,Premier League,2019-2020
23,Stephen Henderson,"£ 6,923","£ 360,000","£ 360,000",K,31,Ireland,Crystal Palace,Premier League,2019-2020
24,Dion Henry,£ 577,"£ 30,000","£ 30,000",K,21,England,Crystal Palace,Premier League,2019-2020
