,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Mesut Özil,"£ 350,000","£ 18,200,000","£ 18,200,000",F,32,Germany,Arsenal,Premier League,2020-2021
1,Pierre-Emerick Aubameyang,"£ 250,000","£ 13,000,000","£ 13,000,000",F,31,Gabon,Arsenal,Premier League,2020-2021
2,Thomas Partey,"£ 250,000","£ 13,000,000","£ 13,000,000",M,27,Ghana,Arsenal,Premier League,2020-2021
3,Alexandre Lacazette,"£ 182,115","£ 9,470,000","£ 9,470,000",F,29,France,Arsenal,Premier League,2020-2021
4,Willian,"£ 138,462","£ 7,200,000","£ 7,200,000",F,32,Brazil,Arsenal,Premier League,2020-2021
5,Thomas,"£ 125,000","£ 6,500,000","£ 6,500,000",M,27,Ghana,Arsenal,Premier League,2020-2021
6,Héctor Bellerín,"£ 110,000","£ 5,720,000","£ 5,720,000",D,25,Spain,Arsenal,Premier League,2020-2021
7,David Luiz,"£ 100,962","£ 5,250,000","£ 5,250,000",D,33,Brazil,Arsenal,Premier League,2020-2021
8,Granit Xhaka,"£ 100,000","£ 5,200,000","£ 5,200,000",M,28,Switzerland,Arsenal,Premier League,2020-2021
9,Bernd Leno,"£ 100,000","£ 5,200,000","£ 5,200,000",K,28,Germany,Arsenal,Premier League,2020-2021
10,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,200,000",D,27,Bosnia-Herzegovina,Arsenal,Premier League,2020-2021
11,Nicolas Pépé,"£ 100,000","£ 5,200,000","£ 5,200,000",F,25,Cote d'Ivoire,Arsenal,Premier League,2020-2021
12,Sokratis,"£ 91,923","£ 4,780,000","£ 4,780,000",D,32,Greece,Arsenal,Premier League,2020-2021
13,Shkodran Mustafi,"£ 90,000","£ 4,680,000","£ 4,680,000",D,28,Germany,Arsenal,Premier League,2020-2021
14,Gabriel Martinelli,"£ 90,000","£ 4,680,000","£ 4,680,000",F,19,Brazil,Arsenal,Premier League,2020-2021
15,Kieran Tierney,"£ 80,769","£ 4,200,000","£ 4,200,000",D,23,Scotland,Arsenal,Premier League,2020-2021
16,Martin Ødegaard,"£ 69,423","£ 3,610,000","£ 3,610,000",F,22,Norway,Arsenal,Premier League,2020-2021
17,Dani Ceballos,"£ 51,923","£ 2,700,000","£ 2,700,000",M,24,Spain,Arsenal,Premier League,2020-2021
18,Mohamed Elneny,"£ 50,000","£ 2,600,000","£ 2,600,000",M,28,Egypt,Arsenal,Premier League,2020-2021
19,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,600,000",D,25,England,Arsenal,Premier League,2020-2021
20,William Saliba,"£ 40,000","£ 2,080,000","£ 2,080,000",D,19,France,Arsenal,Premier League,2020-2021
21,Mathew Ryan,"£ 35,000","£ 1,820,000","£ 1,820,000",K,28,Australia,Arsenal,Premier League,2020-2021
22,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 1,820,000",M,23,England,Arsenal,Premier League,2020-2021
23,Gabriel Magalhães,"£ 27,500","£ 1,430,000","£ 1,430,000",D,22,Brazil,Arsenal,Premier League,2020-2021
24,Cédric Soares,"£ 26,500","£ 1,378,000","£ 1,378,000",D,29,Portugal,Arsenal,Premier League,2020-2021
25,Rob Holding,"£ 25,000","£ 1,300,000","£ 1,300,000",D,25,England,Arsenal,Premier League,2020-2021
26,Joe Willock,"£ 20,000","£ 1,040,000","£ 1,040,000",M,21,England,Arsenal,Premier League,2020-2021
27,Pablo Marí,"£ 16,923","£ 880,000","£ 880,000",D,27,Spain,Arsenal,Premier League,2020-2021
28,Eddie Nketiah,"£ 15,000","£ 780,000","£ 780,000",F,21,England,Arsenal,Premier League,2020-2021
29,Emile Smith Rowe,"£ 15,000","£ 780,000","£ 780,000",F,20,England,Arsenal,Premier League,2020-2021
30,Reiss Nelson,"£ 15,000","£ 780,000","£ 780,000",F,20,England,Arsenal,Premier League,2020-2021
31,Rúnar Alex Rúnarsson,"£ 15,000","£ 780,000","£ 780,000",K,25,Iceland,Arsenal,Premier League,2020-2021
32,Matt Macey,"£ 10,000","£ 520,000","£ 520,000",K,26,England,Arsenal,Premier League,2020-2021
33,Bukayo Saka,"£ 10,000","£ 520,000","£ 520,000",M,19,England,Arsenal,Premier League,2020-2021
34,Dejan Iliev,"£ 5,769","£ 300,000","£ 300,000",K,25,North Macedonia,Arsenal,Premier League,2020-2021
