,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Ben Mee,"£ 55,000","£ 2,860,000","£ 2,860,000",D,31,England,Burnley,Premier League,2020-2021
1,Chris Wood,"£ 50,000","£ 2,600,000","£ 2,600,000",F,28,New Zealand,Burnley,Premier League,2020-2021
2,James Tarkowski,"£ 50,000","£ 2,600,000","£ 2,600,000",D,27,England,Burnley,Premier League,2020-2021
3,Ashley Barnes,"£ 40,000","£ 2,080,000","£ 2,080,000",F,31,England,Burnley,Premier League,2020-2021
4,Josh Brownhill,"£ 40,000","£ 2,080,000","£ 2,080,000",M,24,England,Burnley,Premier League,2020-2021
5,Jack Cork,"£ 38,077","£ 1,980,000","£ 1,980,000",M,31,England,Burnley,Premier League,2020-2021
6,Dale Stephens,"£ 37,500","£ 1,950,000","£ 1,950,000",M,31,England,Burnley,Premier League,2020-2021
7,Ashley Westwood,"£ 36,000","£ 1,872,000","£ 1,872,000",M,30,England,Burnley,Premier League,2020-2021
8,Robbie Brady,"£ 35,000","£ 1,820,000","£ 1,820,000",M,28,Ireland,Burnley,Premier League,2020-2021
9,Nick Pope,"£ 35,000","£ 1,820,000","£ 1,820,000",K,28,England,Burnley,Premier League,2020-2021
10,Matej Vydra,"£ 35,000","£ 1,820,000","£ 1,820,000",F,28,Czech Republic,Burnley,Premier League,2020-2021
11,Jay Rodríguez,"£ 35,000","£ 1,820,000","£ 1,820,000",F,31,England,Burnley,Premier League,2020-2021
12,Jóhann Berg Gudmundsson,"£ 30,000","£ 1,560,000","£ 1,560,000",F,29,Iceland,Burnley,Premier League,2020-2021
13,Matthew Lowton,"£ 25,000","£ 1,300,000","£ 1,300,000",D,31,England,Burnley,Premier League,2020-2021
14,Charlie Taylor,"£ 25,000","£ 1,300,000","£ 1,300,000",D,27,England,Burnley,Premier League,2020-2021
15,Erik Pieters,"£ 25,000","£ 1,300,000","£ 1,300,000",D,32,Netherlands,Burnley,Premier League,2020-2021
16,Phil Bardsley,"£ 25,000","£ 1,300,000","£ 1,300,000",D,35,Scotland,Burnley,Premier League,2020-2021
17,Kevin Long,"£ 23,077","£ 1,200,000","£ 1,200,000",D,30,Ireland,Burnley,Premier League,2020-2021
18,Bailey Peacock-Farrell,"£ 22,500","£ 1,170,000","£ 1,170,000",K,23,Northern Ireland,Burnley,Premier League,2020-2021
19,Will Norris,"£ 16,500","£ 858,000","£ 858,000",K,27,England,Burnley,Premier League,2020-2021
20,Dwight McNeil,"£ 5,000","£ 260,000","£ 260,000",F,20,England,Burnley,Premier League,2020-2021
21,Mace Goodridge,"£ 4,500","£ 234,000","£ 234,000",M,21,England,Burnley,Premier League,2020-2021
22,Jimmy Dunne,"£ 3,000","£ 156,000","£ 156,000",D,23,Ireland,Burnley,Premier League,2020-2021
23,Lukas Jensen,"£ 1,250","£ 65,000","£ 65,000",K,21,Denmark,Burnley,Premier League,2020-2021
24,Richard Nartey,"£ 1,250","£ 65,000","£ 65,000",D,22,England,Burnley,Premier League,2020-2021
25,Bobby Thomas,£ 750,"£ 39,000","£ 39,000",D,19,England,Burnley,Premier League,2020-2021
