,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Ben Chilwell,,"£ 190,000","£ 9,880,000",LB,24,Starter,"Jun 30, 2025",5-yrs,"£ 57,036,790",Chelsea,Premier League,2020-2021
1,Callum Hudson-Odoi,,"£ 180,000","£ 9,360,000",LW,20,Reserve,"Jun 30, 2024",4-yrs,"£ 43,227,883",Chelsea,Premier League,2020-2021
2,Timo Werner,,"£ 170,000","£ 8,840,000",CF,24,Starter,"Jun 30, 2025",5-yrs,"£ 51,032,918",Chelsea,Premier League,2020-2021
3,Christian Pulisic,,"£ 158,654","£ 8,250,000",RW,22,Reserve,"Jun 30, 2024",4-yrs,"£ 38,101,500",Chelsea,Premier League,2020-2021
4,Kepa,,"£ 150,000","£ 7,800,000",GK,26,Reserve,"Jun 30, 2025",5-yrs,"£ 45,029,045",Chelsea,Premier League,2020-2021
5,César Azpilicueta,,"£ 145,000","£ 7,540,000",RB,31,Starter,"Jun 30, 2022",2-yrs,"£ 17,411,231",Chelsea,Premier League,2020-2021
6,N'Golo Kanté,,"£ 144,231","£ 7,500,000",CM,29,Starter,"Jun 30, 2023",3-yrs,"£ 25,978,295",Chelsea,Premier League,2020-2021
7,Kai Havertz,,"£ 140,000","£ 7,280,000",AM,21,Starter,"Jun 30, 2025",5-yrs,"£ 42,027,109",Chelsea,Premier League,2020-2021
8,Jorginho,,"£ 110,000","£ 5,720,000",DM,29,Starter,"Jun 30, 2023",3-yrs,"£ 19,812,780",Chelsea,Premier League,2020-2021
9,Olivier Giroud,,"£ 110,000","£ 5,720,000",CF,34,Reserve,"Jun 30, 2022",2-yrs,"£ 13,208,520",Chelsea,Premier League,2020-2021
10,Thiago Silva,,"£ 110,000","£ 5,720,000",CB,36,Reserve,"Jun 30, 2022",2-yrs,"£ 13,208,520",Chelsea,Premier League,2020-2021
11,Marcos Alonso,,"£ 100,000","£ 5,200,000",LB,30,Reserve,"Jun 30, 2023",3-yrs,"£ 18,011,618",Chelsea,Premier League,2020-2021
12,Hakim Ziyech,,"£ 100,000","£ 5,200,000",RW,27,Reserve,"Jun 30, 2025",5-yrs,"£ 30,019,363",Chelsea,Premier League,2020-2021
13,Mateo Kovacic,,"£ 100,000","£ 5,200,000",CM,26,Reserve,"Jun 30, 2024",4-yrs,"£ 24,015,491",Chelsea,Premier League,2020-2021
14,Antonio Rüdiger,,"£ 100,000","£ 5,200,000",CB,27,Reserve,"Jun 30, 2022",2-yrs,"£ 12,007,745",Chelsea,Premier League,2020-2021
15,Reece James,,"£ 100,000","£ 5,200,000",RB,21,Reserve,"Jun 30, 2025",5-yrs,"£ 30,019,363",Chelsea,Premier League,2020-2021
16,Mason Mount,,"£ 88,462","£ 4,600,000",AM,22,Starter,"Jun 30, 2024",4-yrs,"£ 21,244,473",Chelsea,Premier League,2020-2021
17,Andreas Christensen,,"£ 80,000","£ 4,160,000",CB,24,Starter,"Jun 30, 2022",2-yrs,"£ 9,606,196",Chelsea,Premier League,2020-2021
18,Emerson,,"£ 75,000","£ 3,900,000",LB,26,Reserve,"Jun 30, 2022",2-yrs,"£ 9,005,809",Chelsea,Premier League,2020-2021
19,Edouard Mendy,,"£ 65,000","£ 3,380,000",GK,28,Starter,"Jun 30, 2025",5-yrs,"£ 19,512,586",Chelsea,Premier League,2020-2021
20,Tammy Abraham,,"£ 57,692","£ 3,000,000",CF,23,Starter,"Jun 30, 2023",3-yrs,"£ 10,391,318",Chelsea,Premier League,2020-2021
21,Billy Gilmour,,"£ 43,269","£ 2,250,000",CM,19,Reserve,"Jun 30, 2023",3-yrs,"£ 7,793,489",Chelsea,Premier League,2020-2021
22,Kurt Zouma,,"£ 40,000","£ 2,080,000",CB,26,Starter,"Jun 30, 2023",3-yrs,"£ 7,204,647",Chelsea,Premier League,2020-2021
23,Charly Musonda Jr,,"£ 40,000","£ 2,080,000",AM,24,Reserve,"Jun 30, 2022",2-yrs,"£ 4,803,098",Chelsea,Premier League,2020-2021
24,Willy Caballero,,"£ 35,000","£ 1,820,000",GK,39,Reserve,"Jun 30, 2021",1-yr,"£ 2,101,355",Chelsea,Premier League,2020-2021
25,Karlo Ziger,,"£ 4,808","£ 250,000",GK,19,Reserve,"Jun 30, 2021",1-yr,"£ 288,648",Chelsea,Premier League,2020-2021
