,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,João Moutinho,,"£ 100,000","£ 5,200,000",CM,34,Starter,"Jun 30, 2022",2-yrs,"£ 12,007,745",Wolverhampton,Premier League,2020-2021
1,Rui Patrício,,"£ 100,000","£ 5,200,000",GK,32,Starter,"Jun 30, 2022",2-yrs,"£ 12,007,745",Wolverhampton,Premier League,2020-2021
2,Nélson Semedo,,"£ 92,500","£ 4,810,000",RB,27,Starter,"Jun 30, 2023",3-yrs,"£ 16,660,747",Wolverhampton,Premier League,2020-2021
3,Leander Dendoncker,,"£ 90,000","£ 4,680,000",DM,25,Starter,"Jun 30, 2023",3-yrs,"£ 16,210,456",Wolverhampton,Premier League,2020-2021
4,Fábio Silva,,"£ 80,000","£ 4,160,000",CF,18,Reserve,"Jun 30, 2025",5-yrs,"£ 24,015,491",Wolverhampton,Premier League,2020-2021
5,Daniel Podence,,"£ 60,000","£ 3,120,000",RW,25,Reserve,"Jun 30, 2024",4-yrs,"£ 14,409,294",Wolverhampton,Premier League,2020-2021
6,Conor Coady,,"£ 55,000","£ 2,860,000",CB,27,Starter,"Jun 30, 2025",5-yrs,"£ 16,510,650",Wolverhampton,Premier League,2020-2021
7,Pedro Neto,,"£ 50,000","£ 2,600,000",LW,20,Starter,"Jun 30, 2025",5-yrs,"£ 15,009,682",Wolverhampton,Premier League,2020-2021
8,Willy Boly,,"£ 50,000","£ 2,600,000",CB,29,Starter,"Jun 30, 2023",3-yrs,"£ 9,005,809",Wolverhampton,Premier League,2020-2021
9,Rúben Neves,,"£ 50,000","£ 2,600,000",DM,23,Reserve,"Jun 30, 2023",3-yrs,"£ 9,005,809",Wolverhampton,Premier League,2020-2021
10,Willian José,,"£ 49,808","£ 2,590,000",CF,29,Reserve,"Jun 30, 2021",1-yr,"£ 2,990,390",Wolverhampton,Premier League,2020-2021
11,Adama Traoré,,"£ 43,077","£ 2,240,000",RW,25,Starter,"Jun 30, 2023",3-yrs,"£ 7,758,851",Wolverhampton,Premier League,2020-2021
12,Raúl Jiménez,,"£ 41,154","£ 2,140,000",CF,29,Starter,"Jun 30, 2024",4-yrs,"£ 9,883,298",Wolverhampton,Premier League,2020-2021
13,Jonny Otto,,"£ 36,673","£ 1,907,000",LB,26,Reserve,"Jun 30, 2023",3-yrs,"£ 6,605,415",Wolverhampton,Premier League,2020-2021
14,Marçal,,"£ 35,000","£ 1,820,000",LB,31,Starter,"Jun 30, 2022",2-yrs,"£ 4,202,711",Wolverhampton,Premier League,2020-2021
15,Romain Saïss,,"£ 21,923","£ 1,140,000",CB,30,Starter,"Jun 30, 2021",1-yr,"£ 1,316,234",Wolverhampton,Premier League,2020-2021
16,Max Kilman,,"£ 15,000","£ 780,000",CB,23,Reserve,"Jun 30, 2025",5-yrs,"£ 4,502,905",Wolverhampton,Premier League,2020-2021
17,Ki-Jana Hoever,,"£ 7,500","£ 390,000",RB,19,Reserve,"Jun 30, 2025",5-yrs,"£ 2,251,452",Wolverhampton,Premier League,2020-2021
18,John Ruddy,,"£ 5,769","£ 300,000",GK,34,Reserve,"Jun 30, 2022",2-yrs,"£ 692,755",Wolverhampton,Premier League,2020-2021
19,Rayan Aït Nouri,,"£ 4,500","£ 234,000",LB,19,Reserve,"Jun 30, 2021",1-yr,"£ 270,174",Wolverhampton,Premier League,2020-2021
20,Vitinha,,"£ 1,900","£ 98,800",CM,20,Reserve,"Jun 30, 2021",1-yr,"£ 114,074",Wolverhampton,Premier League,2020-2021
21,Owen Otasowie,,"£ 1,500","£ 78,000",DM,20,Reserve,"Jun 30, 2022",2-yrs,"£ 180,116",Wolverhampton,Premier League,2020-2021
22,Morgan Gibbs-White,,"£ 1,500","£ 78,000",CM,21,Reserve,"Jun 30, 2023",3-yrs,"£ 270,174",Wolverhampton,Premier League,2020-2021
