,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Adam Lallana,,"£ 115,000","£ 5,980,000",AM,33,,"Jun 30, 2023",2-yrs,"£ 13,978,752",Brighton,Premier League,2021-2022
1,Joël Veltman,,"£ 69,500","£ 3,614,000",RB,29,,"Jun 30, 2023",2-yrs,"£ 8,448,029",Brighton,Premier League,2021-2022
2,Danny Welbeck,,"£ 55,000","£ 2,860,000",CF,30,,"Jun 30, 2022",1-yr,"£ 3,342,745",Brighton,Premier League,2021-2022
3,Ben White,,"£ 51,000","£ 2,652,000",CB,23,,"Jun 30, 2024",3-yrs,"£ 9,298,909",Brighton,Premier League,2021-2022
4,Alireza Jahanbakhsh,,"£ 50,000","£ 2,600,000",RW,27,,"Jun 30, 2023",2-yrs,"£ 6,077,718",Brighton,Premier League,2021-2022
5,Pascal Groß,,"£ 50,000","£ 2,600,000",CM,30,,"Jun 30, 2022",1-yr,"£ 3,038,859",Brighton,Premier League,2021-2022
6,Jürgen Locadia,,"£ 45,000","£ 2,340,000",CF,27,,"Jun 30, 2022",1-yr,"£ 2,734,973",Brighton,Premier League,2021-2022
7,Lewis Dunk,,"£ 45,000","£ 2,340,000",CB,29,,"Jun 30, 2025",4-yrs,"£ 10,939,893",Brighton,Premier League,2021-2022
8,Leandro Trossard,,"£ 42,500","£ 2,210,000",LW,26,,"Jun 30, 2023",2-yrs,"£ 5,166,061",Brighton,Premier League,2021-2022
9,Florin Andone,,"£ 40,000","£ 2,080,000",CF,28,,"Jun 30, 2023",2-yrs,"£ 4,862,175",Brighton,Premier League,2021-2022
10,Shane Duffy,,"£ 40,000","£ 2,080,000",CB,29,,"Jun 30, 2023",2-yrs,"£ 4,862,175",Brighton,Premier League,2021-2022
11,Adam Webster,,"£ 35,000","£ 1,820,000",CB,26,,"Jun 30, 2023",2-yrs,"£ 4,254,403",Brighton,Premier League,2021-2022
12,Neal Maupay,,"£ 32,500","£ 1,690,000",CF,24,,"Jun 30, 2023",2-yrs,"£ 3,950,517",Brighton,Premier League,2021-2022
13,Solly March,,"£ 30,000","£ 1,560,000",LM,26,,"Jun 30, 2022",1-yr,"£ 1,823,316",Brighton,Premier League,2021-2022
14,Andi Zeqiri,,"£ 26,500","£ 1,378,000",CF,22,,"Jun 30, 2024",3-yrs,"£ 4,831,786",Brighton,Premier League,2021-2022
15,Yves Bissouma,,"£ 25,000","£ 1,300,000",CM,24,,"Jun 30, 2023",2-yrs,"£ 3,038,859",Brighton,Premier League,2021-2022
16,Jason Steele,,"£ 15,962","£ 830,000",GK,30,,"Jun 30, 2023",2-yrs,"£ 1,940,195",Brighton,Premier League,2021-2022
17,Dan Burn,,"£ 15,962","£ 830,000",CB,29,,"Jun 30, 2023",2-yrs,"£ 1,940,195",Brighton,Premier League,2021-2022
18,Percy Tau,,"£ 15,962","£ 830,000",SS,27,,"Jun 30, 2022",1-yr,"£ 970,097",Brighton,Premier League,2021-2022
19,Steven Alzate,,"£ 15,000","£ 780,000",CM,22,,"Jun 30, 2024",3-yrs,"£ 2,734,973",Brighton,Premier League,2021-2022
20,Michal Karbownik,,"£ 11,731","£ 610,000",LB,20,,"Jun 30, 2024",3-yrs,"£ 2,138,889",Brighton,Premier League,2021-2022
21,Robert Sánchez,,"£ 10,000","£ 520,000",GK,23,,"Jun 30, 2025",4-yrs,"£ 2,431,087",Brighton,Premier League,2021-2022
22,Alexis Mac Allister,,"£ 10,000","£ 520,000",AM,22,,"Jun 30, 2023",2-yrs,"£ 1,215,544",Brighton,Premier League,2021-2022
23,Aaron Connolly,,"£ 10,000","£ 520,000",CF,21,,"Jun 30, 2024",3-yrs,"£ 1,823,316",Brighton,Premier League,2021-2022
24,Jakub Moder,,"£ 9,038","£ 470,000",CM,22,,"Jun 30, 2025",4-yrs,"£ 2,197,329",Brighton,Premier League,2021-2022
25,Christian Walton,,"£ 8,000","£ 416,000",GK,25,,"Jun 30, 2022",1-yr,"£ 486,217",Brighton,Premier League,2021-2022
26,Tariq Lamptey,,"£ 5,000","£ 260,000",RB,20,,"Jun 30, 2025",4-yrs,"£ 1,215,544",Brighton,Premier League,2021-2022
27,Moisés Caicedo,,"£ 3,500","£ 182,000",CM,19,,"Jun 30, 2025",4-yrs,"£ 850,881",Brighton,Premier League,2021-2022
28,Tudor Baluta,,£ 0,£ 0,DM,22,,"Jun 30, 2022",1-yr,£ 0,Brighton,Premier League,2021-2022
29,Enock Mwepu,,£ 0,£ 0,CM,23,,"Jun 30, 2025",4-yrs,£ 0,Brighton,Premier League,2021-2022
30,Jan Paul van Hecke,,£ 0,£ 0,CB,21,,"Jun 30, 2023",2-yrs,£ 0,Brighton,Premier League,2021-2022
