,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Raphinha,,"£ 63,500","£ 3,302,000",RW,24,,"Jun 30, 2024",3-yrs,"£ 11,578,054",Leeds,Premier League,2021-2022
1,Rodrigo,,"£ 57,692","£ 3,000,000",SS,30,,"Jun 30, 2024",3-yrs,"£ 10,519,128",Leeds,Premier League,2021-2022
2,Robin Koch,,"£ 50,000","£ 2,600,000",CB,24,,"Jun 30, 2024",3-yrs,"£ 9,116,578",Leeds,Premier League,2021-2022
3,Patrick Bamford,,"£ 35,000","£ 1,820,000",CF,27,,"Jun 30, 2022",1-yr,"£ 2,127,201",Leeds,Premier League,2021-2022
4,Hélder Costa,,"£ 32,500","£ 1,690,000",RW,27,,"Jun 30, 2024",3-yrs,"£ 5,925,775",Leeds,Premier League,2021-2022
5,Diego Llorente,,"£ 22,000","£ 1,144,000",CB,27,,"Jun 30, 2024",3-yrs,"£ 4,011,294",Leeds,Premier League,2021-2022
6,Illan Meslier,,"£ 21,500","£ 1,118,000",GK,21,,"Jun 30, 2023",2-yrs,"£ 2,613,419",Leeds,Premier League,2021-2022
7,Adam Forshaw,,"£ 20,000","£ 1,040,000",CM,29,,"Jun 30, 2022",1-yr,"£ 1,215,544",Leeds,Premier League,2021-2022
8,Joe Gelhardt,,"£ 16,538","£ 860,000",CF,19,,"Jun 30, 2024",3-yrs,"£ 3,015,483",Leeds,Premier League,2021-2022
9,Jack Harrison,,"£ 15,000","£ 780,000",LW,24,,"Jun 30, 2024",3-yrs,"£ 2,734,973",Leeds,Premier League,2021-2022
10,Ian Poveda,,"£ 8,250","£ 429,000",RW,21,,"Jun 30, 2024",3-yrs,"£ 1,504,235",Leeds,Premier League,2021-2022
11,Stuart Dallas,,"£ 8,000","£ 416,000",RB,30,,"Jun 30, 2024",3-yrs,"£ 1,458,652",Leeds,Premier League,2021-2022
12,Luke Ayling,,"£ 8,000","£ 416,000",RB,29,,"Jun 30, 2023",2-yrs,"£ 972,435",Leeds,Premier League,2021-2022
13,Mateusz Klich,,"£ 7,750","£ 403,000",CM,31,,"Jun 30, 2024",3-yrs,"£ 1,413,070",Leeds,Premier League,2021-2022
14,Liam Cooper,,"£ 6,500","£ 338,000",CB,29,,"Jun 30, 2024",3-yrs,"£ 1,185,155",Leeds,Premier League,2021-2022
15,Kalvin Phillips,,"£ 4,500","£ 234,000",DM,25,,"Jun 30, 2024",3-yrs,"£ 820,492",Leeds,Premier League,2021-2022
16,Tyler Roberts,,"£ 3,500","£ 182,000",SS,22,,"Jun 30, 2024",3-yrs,"£ 638,160",Leeds,Premier League,2021-2022
17,Pascal Struijk,,"£ 2,500","£ 130,000",CB,21,,"Jun 30, 2024",3-yrs,"£ 455,829",Leeds,Premier League,2021-2022
18,Jamie Shackleton,,"£ 1,500","£ 78,000",CM,21,,"Jun 30, 2024",3-yrs,"£ 273,497",Leeds,Premier League,2021-2022
19,Elia Caprile,,"£ 1,000","£ 52,000",GK,19,,"Jun 30, 2023",2-yrs,"£ 121,554",Leeds,Premier League,2021-2022
20,Leif Davis,,£ 577,"£ 30,000",LB,21,,"Jun 30, 2023",2-yrs,"£ 70,128",Leeds,Premier League,2021-2022
21,Júnior Firpo,,£ 0,£ 0,LB,24,,"Jun 30, 2025",4-yrs,£ 0,Leeds,Premier League,2021-2022
22,Robbie Gotts,,£ 0,£ 0,CM,21,,"Jun 30, 2022",1-yr,£ 0,Leeds,Premier League,2021-2022
23,Jordan Stevens,,£ 0,£ 0,RM,21,,"Jun 30, 2022",1-yr,£ 0,Leeds,Premier League,2021-2022
