,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Mauro Icardi,"€ 158,577","€ 8,246,000","€ 8,284,979",F,24,Argentina,Inter Milan,Serie A,2017-2018
1,Ivan Perisic,"€ 105,731","€ 5,498,000","€ 5,523,989",F,28,Croatia,Inter Milan,Serie A,2017-2018
2,Miranda,"€ 105,731","€ 5,498,000","€ 5,523,989",D,32,Brazil,Inter Milan,Serie A,2017-2018
3,Matías Vecino,"€ 100,250","€ 5,213,000","€ 5,237,642",M,25,Uruguay,Inter Milan,Serie A,2017-2018
4,Marcelo Brozovic,"€ 88,096","€ 4,581,000","€ 4,602,654",M,24,Croatia,Inter Milan,Serie A,2017-2018
5,Samir Handanovic,"€ 88,096","€ 4,581,000","€ 4,602,654",K,32,Slovenia,Inter Milan,Serie A,2017-2018
6,Rafinha,"€ 85,192","€ 4,430,000","€ 4,450,941",M,24,Brazil,Inter Milan,Serie A,2017-2018
7,Andrea Ranocchia,"€ 84,577","€ 4,398,000","€ 4,418,789",D,29,Italy,Inter Milan,Serie A,2017-2018
8,Antonio Candreva,"€ 77,538","€ 4,032,000","€ 4,051,059",F,30,Italy,Inter Milan,Serie A,2017-2018
9,Borja Valero,"€ 77,538","€ 4,032,000","€ 4,051,059",M,32,Spain,Inter Milan,Serie A,2017-2018
10,João Cancelo,"€ 70,481","€ 3,665,000","€ 3,682,324",D,23,Portugal,Inter Milan,Serie A,2017-2018
11,Éder,"€ 63,442","€ 3,299,000","€ 3,314,594",F,30,Italy,Inter Milan,Serie A,2017-2018
12,Danilo D'Ambrosio,"€ 56,385","€ 2,932,000","€ 2,945,859",D,28,Italy,Inter Milan,Serie A,2017-2018
13,Roberto Gagliardini,"€ 52,846","€ 2,748,000","€ 2,760,990",M,23,Italy,Inter Milan,Serie A,2017-2018
14,Cristian Ansaldi,"€ 49,327","€ 2,565,000","€ 2,577,125",D,30,Argentina,Inter Milan,Serie A,2017-2018
15,Davide Santon,"€ 45,808","€ 2,382,000","€ 2,393,260",D,26,Italy,Inter Milan,Serie A,2017-2018
16,Dalbert,"€ 42,288","€ 2,199,000","€ 2,209,395",D,23,Brazil,Inter Milan,Serie A,2017-2018
17,Milan Skriniar,"€ 42,288","€ 2,199,000","€ 2,209,395",D,22,Slovakia,Inter Milan,Serie A,2017-2018
18,Yann Karamoh,"€ 35,250","€ 1,833,000","€ 1,841,665",F,18,France,Inter Milan,Serie A,2017-2018
19,Lisandro López,"€ 22,750","€ 1,183,000","€ 1,188,592",D,27,Argentina,Inter Milan,Serie A,2017-2018
20,Andrea Pinamonti,"€ 17,615","€ 916,000","€ 920,330",F,18,Italy,Inter Milan,Serie A,2017-2018
21,Daniele Padelli,"€ 17,615","€ 916,000","€ 920,330",K,31,Italy,Inter Milan,Serie A,2017-2018
22,Tommaso Berni,"€ 7,058","€ 367,000","€ 368,735",K,34,Italy,Inter Milan,Serie A,2017-2018
23,Assane Gnoukouri,"€ 3,519","€ 183,000","€ 183,865",M,20,Cote d'Ivoire,Inter Milan,Serie A,2017-2018
24,Nicolò Zaniolo,€ 942,"€ 49,000","€ 49,232",M,17,Italy,Inter Milan,Serie A,2017-2018
25,Marco Pissardo,€ 558,"€ 29,000","€ 29,137",K,19,Italy,Inter Milan,Serie A,2017-2018
26,Manuel Lombardoni,€ 250,"€ 13,000","€ 13,061",D,18,Italy,Inter Milan,Serie A,2017-2018
27,Xian Emmers,€ 250,"€ 13,000","€ 13,061",M,17,Belgium,Inter Milan,Serie A,2017-2018
28,Gabriel Barbosa,€ 135,"€ 7,000","€ 7,033",F,20,Brazil,Inter Milan,Serie A,2017-2018
29,Stevan Jovetic,€ 0,€ 0,€ 0,F,27,Montenegro,Inter Milan,Serie A,2017-2018
30,Geoffrey Kondogbia,€ 0,€ 0,€ 0,M,24,Central African Republic,Inter Milan,Serie A,2017-2018
31,Zinho Vanheusden,€ 0,€ 0,€ 0,D,17,Belgium,Inter Milan,Serie A,2017-2018
32,Yuto Nagatomo,€ 0,€ 0,€ 0,D,30,Japan,Inter Milan,Serie A,2017-2018
33,João Mário,€ 0,€ 0,€ 0,M,24,Portugal,Inter Milan,Serie A,2017-2018
