,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Domenico Berardi,"€ 70,481","€ 3,665,000","€ 3,682,324",F,22,Italy,Sassuolo,Serie A,2017-2018
1,Khouma Babacar,"€ 49,385","€ 2,568,000","€ 2,580,139",F,24,Senegal,Sassuolo,Serie A,2017-2018
2,Matteo Politano,"€ 38,769","€ 2,016,000","€ 2,025,530",F,23,Italy,Sassuolo,Serie A,2017-2018
3,Francesco Acerbi,"€ 35,250","€ 1,833,000","€ 1,841,665",D,29,Italy,Sassuolo,Serie A,2017-2018
4,Andrea Consigli,"€ 35,250","€ 1,833,000","€ 1,841,665",K,30,Italy,Sassuolo,Serie A,2017-2018
5,Alessandro Matri,"€ 35,250","€ 1,833,000","€ 1,841,665",F,32,Italy,Sassuolo,Serie A,2017-2018
6,Diego Falcinelli,"€ 31,712","€ 1,649,000","€ 1,656,795",F,26,Italy,Sassuolo,Serie A,2017-2018
7,Federico Peluso,"€ 28,192","€ 1,466,000","€ 1,472,930",D,33,Italy,Sassuolo,Serie A,2017-2018
8,Simone Missiroli,"€ 24,673","€ 1,283,000","€ 1,289,065",M,31,Italy,Sassuolo,Serie A,2017-2018
9,Francesco Magnanelli,"€ 21,154","€ 1,100,000","€ 1,105,200",M,32,Italy,Sassuolo,Serie A,2017-2018
10,Alfred Duncan,"€ 21,154","€ 1,100,000","€ 1,105,200",M,24,Ghana,Sassuolo,Serie A,2017-2018
11,Paolo Cannavaro,"€ 21,154","€ 1,100,000","€ 1,105,200",D,36,Italy,Sassuolo,Serie A,2017-2018
12,Gianluca Pegolo,"€ 17,615","€ 916,000","€ 920,330",K,36,Italy,Sassuolo,Serie A,2017-2018
13,Pietro Iemmello,"€ 17,615","€ 916,000","€ 920,330",F,25,Italy,Sassuolo,Serie A,2017-2018
14,Mauricio Lemos,"€ 16,885","€ 878,000","€ 882,150",D,21,Uruguay,Sassuolo,Serie A,2017-2018
15,Davide Biondini,"€ 14,096","€ 733,000","€ 736,465",M,34,Italy,Sassuolo,Serie A,2017-2018
16,Edoardo Goldaniga,"€ 14,096","€ 733,000","€ 736,465",D,23,Italy,Sassuolo,Serie A,2017-2018
17,Timo Letschert,"€ 14,096","€ 733,000","€ 736,465",D,24,Netherlands,Sassuolo,Serie A,2017-2018
18,Luca Antei,"€ 12,327","€ 641,000","€ 644,030",D,25,Italy,Sassuolo,Serie A,2017-2018
19,Federico Ricci,"€ 10,558","€ 549,000","€ 551,595",F,23,Italy,Sassuolo,Serie A,2017-2018
20,Antonino Ragusa,"€ 10,558","€ 549,000","€ 551,595",F,27,Italy,Sassuolo,Serie A,2017-2018
21,Stefano Sensi,"€ 10,558","€ 549,000","€ 551,595",M,21,Italy,Sassuolo,Serie A,2017-2018
22,Claud Adjapong,"€ 8,808","€ 458,000","€ 460,165",D,19,Italy,Sassuolo,Serie A,2017-2018
23,Luca Mazzitelli,"€ 7,058","€ 367,000","€ 368,735",M,21,Italy,Sassuolo,Serie A,2017-2018
24,Francesco Cassata,"€ 7,038","€ 366,000","€ 367,730",M,19,Italy,Sassuolo,Serie A,2017-2018
25,Pol Lirola,"€ 5,288","€ 275,000","€ 276,300",D,19,Spain,Sassuolo,Serie A,2017-2018
26,Cristian Dell'Orco,"€ 5,288","€ 275,000","€ 276,300",D,23,Italy,Sassuolo,Serie A,2017-2018
27,Rogério,"€ 4,192","€ 218,000","€ 219,030",D,19,Brazil,Sassuolo,Serie A,2017-2018
28,Leonardo Marson,€ 808,"€ 42,000","€ 42,199",K,19,Italy,Sassuolo,Serie A,2017-2018
29,Daniele Cipolla,€ 596,"€ 31,000","€ 31,147",M,19,Italy,Sassuolo,Serie A,2017-2018
30,Manuel Ferrini,€ 558,"€ 29,000","€ 29,137",D,19,Italy,Sassuolo,Serie A,2017-2018
31,Giacomo Raspadori,€ 250,"€ 13,000","€ 13,061",F,17,Italy,Sassuolo,Serie A,2017-2018
32,Davide Frattesi,€ 250,"€ 13,000","€ 13,061",M,17,Italy,Sassuolo,Serie A,2017-2018
33,Nicholas Pierini,€ 250,"€ 13,000","€ 13,061",F,18,Italy,Sassuolo,Serie A,2017-2018
34,Giacomo Satalino,€ 250,"€ 13,000","€ 13,061",K,18,Italy,Sassuolo,Serie A,2017-2018
35,Marcello Gazzola,€ 0,€ 0,€ 0,D,32,Italy,Sassuolo,Serie A,2017-2018
36,Martin Erlic,€ 0,€ 0,€ 0,D,19,Croatia,Sassuolo,Serie A,2017-2018
37,Gianluca Scamacca,€ 0,€ 0,€ 0,F,18,Italy,Sassuolo,Serie A,2017-2018
38,Riccardo Marchizza,€ 0,€ 0,€ 0,D,19,Italy,Sassuolo,Serie A,2017-2018
