,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Mattia Destro,"€ 71,231","€ 3,704,000","€ 3,698,899",F,27,Italy,Bologna,Serie A,2018-2019
1,Roberto Soriano,"€ 49,712","€ 2,585,000","€ 2,581,440",M,27,Italy,Bologna,Serie A,2018-2019
2,Blerim Dzemaili,"€ 42,731","€ 2,222,000","€ 2,218,940",M,32,Switzerland,Bologna,Serie A,2018-2019
3,Federico Santander,"€ 35,615","€ 1,852,000","€ 1,849,450",F,27,Paraguay,Bologna,Serie A,2018-2019
4,Rodrigo Palacio,"€ 32,058","€ 1,667,000","€ 1,664,704",F,36,Argentina,Bologna,Serie A,2018-2019
5,Diego Falcinelli,"€ 32,058","€ 1,667,000","€ 1,664,704",F,27,Italy,Bologna,Serie A,2018-2019
6,Lukasz Skorupski,"€ 30,269","€ 1,574,000","€ 1,571,832",K,27,Poland,Bologna,Serie A,2018-2019
7,Godfred Donsah,"€ 30,269","€ 1,574,000","€ 1,571,832",M,22,Ghana,Bologna,Serie A,2018-2019
8,Danilo,"€ 28,481","€ 1,481,000","€ 1,478,961",D,34,Brazil,Bologna,Serie A,2018-2019
9,Giancarlo González,"€ 28,481","€ 1,481,000","€ 1,478,961",D,30,Costa Rica,Bologna,Serie A,2018-2019
10,Andrea Poli,"€ 28,481","€ 1,481,000","€ 1,478,961",M,28,Italy,Bologna,Serie A,2018-2019
11,Sebastien De Maio,"€ 28,462","€ 1,480,000","€ 1,477,962",D,31,France,Bologna,Serie A,2018-2019
12,Ibrahima Mbaye,"€ 26,712","€ 1,389,000","€ 1,387,087",D,23,Senegal,Bologna,Serie A,2018-2019
13,Nicola Sansone,"€ 23,654","€ 1,230,000","€ 1,228,306",F,26,Italy,Bologna,Serie A,2018-2019
14,Riccardo Orsolini,"€ 21,365","€ 1,111,000","€ 1,109,470",F,21,Italy,Bologna,Serie A,2018-2019
15,Federico Mattiello,"€ 19,596","€ 1,019,000","€ 1,017,597",D,22,Italy,Bologna,Serie A,2018-2019
16,Ladislav Krejci,"€ 19,596","€ 1,019,000","€ 1,017,597",F,25,Czech Republic,Bologna,Serie A,2018-2019
17,Filip Helander,"€ 17,808","€ 926,000","€ 924,725",D,25,Sweden,Bologna,Serie A,2018-2019
18,Ádám Nagy,"€ 17,808","€ 926,000","€ 924,725",M,23,Hungary,Bologna,Serie A,2018-2019
19,Lorenzo Crisetig,"€ 17,808","€ 926,000","€ 924,725",M,25,Italy,Bologna,Serie A,2018-2019
20,Mitchell Dijks,"€ 16,019","€ 833,000","€ 831,853",D,25,Netherlands,Bologna,Serie A,2018-2019
21,Nehuén Paz,"€ 16,019","€ 833,000","€ 831,853",D,25,Argentina,Bologna,Serie A,2018-2019
22,Mattias Svanberg,"€ 14,250","€ 741,000","€ 739,980",M,19,Sweden,Bologna,Serie A,2018-2019
23,Alex Ferrari,"€ 14,250","€ 741,000","€ 739,980",D,24,Italy,Bologna,Serie A,2018-2019
24,Erick Pulgar,"€ 14,250","€ 741,000","€ 739,980",M,24,Chile,Bologna,Serie A,2018-2019
25,Simone Edera,"€ 14,231","€ 740,000","€ 738,981",F,21,Italy,Bologna,Serie A,2018-2019
26,Luca Rizzo,"€ 14,096","€ 733,000","€ 731,991",M,26,Italy,Bologna,Serie A,2018-2019
27,César Falletti,"€ 14,096","€ 733,000","€ 731,991",M,25,Uruguay,Bologna,Serie A,2018-2019
28,Lyanco,"€ 12,500","€ 650,000","€ 649,105",D,21,Brazil,Bologna,Serie A,2018-2019
29,Angelo da Costa,"€ 12,462","€ 648,000","€ 647,108",K,34,Brazil,Bologna,Serie A,2018-2019
30,Emil Krafth,"€ 10,558","€ 549,000","€ 548,244",D,23,Sweden,Bologna,Serie A,2018-2019
31,Arturo Calabresi,"€ 7,115","€ 370,000","€ 369,490",D,22,Italy,Bologna,Serie A,2018-2019
32,Orji Okwonkwo,"€ 3,558","€ 185,000","€ 184,745",F,20,Nigeria,Bologna,Serie A,2018-2019
33,Antonio Santurro,"€ 3,558","€ 185,000","€ 184,745",K,26,Italy,Bologna,Serie A,2018-2019
34,Juan Manuel Valencia,"€ 3,558","€ 185,000","€ 184,745",M,20,Colombia,Bologna,Serie A,2018-2019
35,Kingsley Michael,"€ 2,731","€ 142,000","€ 141,804",M,18,Nigeria,Bologna,Serie A,2018-2019
36,Fabrizio Brignani,"€ 1,385","€ 72,000","€ 71,901",D,20,Italy,Bologna,Serie A,2018-2019
37,Felipe Avenatti,"€ 1,192","€ 62,000","€ 61,915",F,25,Uruguay,Bologna,Serie A,2018-2019
38,Caio Vinicius Pirana,€ 865,"€ 45,000","€ 44,938",K,19,Brazil,Bologna,Serie A,2018-2019
39,Hamza El Kaouakibi,€ 558,"€ 29,000","€ 28,960",D,20,Morocco,Bologna,Serie A,2018-2019
40,Federico Ravaglia,€ 250,"€ 13,000","€ 12,982",K,18,Italy,Bologna,Serie A,2018-2019
41,Mattia Cozzari,€ 250,"€ 13,000","€ 12,982",M,19,Italy,Bologna,Serie A,2018-2019
42,Simone Rossetti,€ 0,€ 0,€ 0,F,21,Italy,Bologna,Serie A,2018-2019
43,Mouhamadou Sarr,€ 0,€ 0,€ 0,K,21,Senegal,Bologna,Serie A,2018-2019
44,Giordano Trovade,€ 0,€ 0,€ 0,M,20,Italy,Bologna,Serie A,2018-2019
45,Gabriele Corbo,€ 0,€ 0,€ 0,D,18,Italy,Bologna,Serie A,2018-2019
46,Aaron Mattia Tabacchi,€ 0,€ 0,€ 0,F,20,Italy,Bologna,Serie A,2018-2019
47,Andrea Vassallo,€ 0,€ 0,€ 0,F,20,Italy,Bologna,Serie A,2018-2019
