,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Krzysztof Piatek,"€ 64,115","€ 3,334,000","€ 3,329,409",F,23,Poland,Genoa,Serie A,2018-2019
1,Gianluca Lapadula,"€ 53,423","€ 2,778,000","€ 2,774,174",F,28,Italy,Genoa,Serie A,2018-2019
2,Domenico Criscito,"€ 42,731","€ 2,222,000","€ 2,218,940",D,31,Italy,Genoa,Serie A,2018-2019
3,Stefano Sturaro,"€ 40,000","€ 2,080,000","€ 2,077,136",M,25,Italy,Genoa,Serie A,2018-2019
4,Sandro,"€ 39,135","€ 2,035,000","€ 2,032,198",M,29,Brazil,Genoa,Serie A,2018-2019
5,Rômulo,"€ 35,577","€ 1,850,000","€ 1,847,452",M,31,Italy,Genoa,Serie A,2018-2019
6,Lisandro López,"€ 32,058","€ 1,667,000","€ 1,664,704",D,28,Argentina,Genoa,Serie A,2018-2019
7,Federico Marchetti,"€ 24,923","€ 1,296,000","€ 1,294,215",K,35,Italy,Genoa,Serie A,2018-2019
8,Andrea Favilli,"€ 24,923","€ 1,296,000","€ 1,294,215",F,21,Italy,Genoa,Serie A,2018-2019
9,Ervin Zukanovic,"€ 21,365","€ 1,111,000","€ 1,109,470",D,31,Bosnia-Herzegovina,Genoa,Serie A,2018-2019
10,Oscar Hiljemark,"€ 21,365","€ 1,111,000","€ 1,109,470",M,26,Sweden,Genoa,Serie A,2018-2019
11,Luca Rossettini,"€ 21,365","€ 1,111,000","€ 1,109,470",D,33,Italy,Genoa,Serie A,2018-2019
12,Ivan Radovanovic,"€ 21,346","€ 1,110,000","€ 1,108,471",M,29,Serbia,Genoa,Serie A,2018-2019
13,Miguel Veloso,"€ 20,385","€ 1,060,000","€ 1,058,540",M,32,Portugal,Genoa,Serie A,2018-2019
14,Antonio Sanabria,"€ 18,077","€ 940,000","€ 938,706",F,22,Paraguay,Genoa,Serie A,2018-2019
15,Goran Pandev,"€ 17,808","€ 926,000","€ 924,725",F,34,North Macedonia,Genoa,Serie A,2018-2019
16,Davide Biraschi,"€ 16,019","€ 833,000","€ 831,853",D,23,Italy,Genoa,Serie A,2018-2019
17,Iuri Medeiros,"€ 14,250","€ 741,000","€ 739,980",F,23,Portugal,Genoa,Serie A,2018-2019
18,Darko Lazovic,"€ 14,250","€ 741,000","€ 739,980",M,27,Serbia,Genoa,Serie A,2018-2019
19,Giuseppe Pezzella,"€ 14,231","€ 740,000","€ 738,981",D,20,Italy,Genoa,Serie A,2018-2019
20,Lukas Lerager,"€ 12,500","€ 650,000","€ 649,105",M,24,Denmark,Genoa,Serie A,2018-2019
21,Christian Kouamé,"€ 12,462","€ 648,000","€ 647,108",F,20,Cote d'Ivoire,Genoa,Serie A,2018-2019
22,Nicolás Spolli,"€ 12,462","€ 648,000","€ 647,108",D,35,Argentina,Genoa,Serie A,2018-2019
23,Daniel Bessa,"€ 12,462","€ 648,000","€ 647,108",M,25,Italy,Genoa,Serie A,2018-2019
24,Luca Mazzitelli,"€ 12,462","€ 648,000","€ 647,108",M,22,Italy,Genoa,Serie A,2018-2019
25,Ivan Lakicevic,"€ 10,692","€ 556,000","€ 555,234",D,24,Serbia,Genoa,Serie A,2018-2019
26,Pedro Pereira,"€ 10,692","€ 556,000","€ 555,234",D,20,Portugal,Genoa,Serie A,2018-2019
27,Koray Günter,"€ 10,692","€ 556,000","€ 555,234",D,23,Germany,Genoa,Serie A,2018-2019
28,Esteban Rolón,"€ 10,692","€ 556,000","€ 555,234",M,23,Argentina,Genoa,Serie A,2018-2019
29,Petar Brlek,"€ 10,558","€ 549,000","€ 548,244",M,24,Croatia,Genoa,Serie A,2018-2019
30,Stephane Omeonga,"€ 8,904","€ 463,000","€ 462,362",M,22,Belgium,Genoa,Serie A,2018-2019
31,Nicola Dalmonte,"€ 8,904","€ 463,000","€ 462,362",F,20,Italy,Genoa,Serie A,2018-2019
32,Cristian Romero,"€ 7,115","€ 370,000","€ 369,490",D,20,Argentina,Genoa,Serie A,2018-2019
33,András Schäfer,"€ 7,115","€ 370,000","€ 369,490",M,19,Hungary,Genoa,Serie A,2018-2019
34,Rok Vodisek,"€ 7,115","€ 370,000","€ 369,490",K,19,Slovenia,Genoa,Serie A,2018-2019
35,Lukas Zima,"€ 7,038","€ 366,000","€ 365,496",K,24,Czech Republic,Genoa,Serie A,2018-2019
36,Paolo Ghiglione,"€ 5,346","€ 278,000","€ 277,617",D,21,Italy,Genoa,Serie A,2018-2019
37,Jandrei,"€ 4,519","€ 235,000","€ 234,676",K,25,Brazil,Genoa,Serie A,2018-2019
38,Luca Zanimacchia,"€ 2,462","€ 128,000","€ 127,824",F,19,Italy,Genoa,Serie A,2018-2019
39,Alessio Rollandi,€ 250,"€ 13,000","€ 12,982",K,18,Italy,Genoa,Serie A,2018-2019
40,Antonio Candela,€ 250,"€ 13,000","€ 12,982",D,18,Italy,Genoa,Serie A,2018-2019
41,Gianni Palmese,€ 250,"€ 13,000","€ 12,982",D,19,Italy,Genoa,Serie A,2018-2019
42,Alessandro Russo,€ 250,"€ 13,000","€ 12,982",K,17,Italy,Genoa,Serie A,2018-2019
43,Giorgio Altare,€ 250,"€ 13,000","€ 12,982",D,19,Italy,Genoa,Serie A,2018-2019
44,Nicolò Rovella,€ 250,"€ 13,000","€ 12,982",M,16,Italy,Genoa,Serie A,2018-2019
45,Michele Bruzzo,€ 250,"€ 13,000","€ 12,982",M,19,Italy,Genoa,Serie A,2018-2019
46,Davide Sibilia,€ 250,"€ 13,000","€ 12,982",M,18,Italy,Genoa,Serie A,2018-2019
47,Federico Valietti,€ 250,"€ 13,000","€ 12,982",D,19,Italy,Genoa,Serie A,2018-2019
48,Massimo Tazzer,€ 250,"€ 13,000","€ 12,982",D,19,Italy,Genoa,Serie A,2018-2019
49,Luigi Carillo,€ 0,€ 0,€ 0,D,21,Italy,Genoa,Serie A,2018-2019
50,Claudio Spinelli,€ 0,€ 0,€ 0,F,21,Argentina,Genoa,Serie A,2018-2019
51,Eddie Salcedo,€ 0,€ 0,€ 0,F,16,Italy,Genoa,Serie A,2018-2019
52,Fallou Njie,€ 0,€ 0,€ 0,D,19,The Gambia,Genoa,Serie A,2018-2019
53,Filip Jagiello,€ 0,€ 0,€ 0,M,20,Poland,Genoa,Serie A,2018-2019
54,Franco Ferrari,€ 0,€ 0,€ 0,F,22,Italy,Genoa,Serie A,2018-2019
55,Ionut Radu,€ 0,€ 0,€ 0,K,21,Romania,Genoa,Serie A,2018-2019
56,Jawad El Yamiq,€ 0,€ 0,€ 0,D,26,Morocco,Genoa,Serie A,2018-2019
57,Kevin Piscopo,€ 0,€ 0,€ 0,F,20,Italy,Genoa,Serie A,2018-2019
