,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Cristiano Ronaldo,"€ 1,103,981","€ 57,407,000","€ 57,327,946",F,33,Portugal,Juventus,Serie A,2018-2019
1,Gonzalo Higuaín,"€ 338,327","€ 17,593,000","€ 17,568,773",F,30,Argentina,Juventus,Serie A,2018-2019
2,Paulo Dybala,"€ 249,288","€ 12,963,000","€ 12,945,149",F,24,Argentina,Juventus,Serie A,2018-2019
3,Miralem Pjanic,"€ 231,481","€ 12,037,000","€ 12,020,424",M,28,Bosnia-Herzegovina,Juventus,Serie A,2018-2019
4,Douglas Costa,"€ 213,673","€ 11,111,000","€ 11,095,699",F,27,Brazil,Juventus,Serie A,2018-2019
5,Leonardo Bonucci,"€ 195,865","€ 10,185,000","€ 10,170,974",D,31,Italy,Juventus,Serie A,2018-2019
6,Mario Mandzukic,"€ 195,865","€ 10,185,000","€ 10,170,974",F,32,Croatia,Juventus,Serie A,2018-2019
7,Emre Can,"€ 178,058","€ 9,259,000","€ 9,246,250",M,24,Germany,Juventus,Serie A,2018-2019
8,Wojciech Szczesny,"€ 142,442","€ 7,407,000","€ 7,396,800",K,28,Poland,Juventus,Serie A,2018-2019
9,Blaise Matuidi,"€ 142,442","€ 7,407,000","€ 7,396,800",M,31,France,Juventus,Serie A,2018-2019
10,Giorgio Chiellini,"€ 142,442","€ 7,407,000","€ 7,396,800",D,33,Italy,Juventus,Serie A,2018-2019
11,Juan Cuadrado,"€ 142,442","€ 7,407,000","€ 7,396,800",F,30,Colombia,Juventus,Serie A,2018-2019
12,Sami Khedira,"€ 142,442","€ 7,407,000","€ 7,396,800",M,31,Germany,Juventus,Serie A,2018-2019
13,Medhi Benatia,"€ 106,846","€ 5,556,000","€ 5,548,349",D,31,Morocco,Juventus,Serie A,2018-2019
