,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Andrea Belotti,,"€ 71,154","€ 3,700,000",CF,27,Starter,"Jun 30, 2022",2-yrs,"€ 7,400,000",Torino,Serie A,2020-2021
1,Salvatore Sirigu,,"€ 71,154","€ 3,700,000",GK,34,Starter,"Jun 30, 2022",2-yrs,"€ 7,400,000",Torino,Serie A,2020-2021
2,Simone Zaza,,"€ 60,577","€ 3,150,000",CF,29,Starter,"Jun 30, 2023",3-yrs,"€ 9,450,000",Torino,Serie A,2020-2021
3,Armando Izzo,,"€ 60,577","€ 3,150,000",CB,28,Reserve,"Jun 30, 2024",4-yrs,"€ 12,600,000",Torino,Serie A,2020-2021
4,Simone Verdi,,"€ 60,577","€ 3,150,000",AM,28,Starter,"Jun 30, 2023",3-yrs,"€ 9,450,000",Torino,Serie A,2020-2021
5,Ricardo Rodríguez,,"€ 53,462","€ 2,780,000",LB,28,Reserve,"Jun 30, 2024",4-yrs,"€ 11,120,000",Torino,Serie A,2020-2021
6,Antonio Sanabria,,"€ 53,462","€ 2,780,000",CF,24,Reserve,"Jun 30, 2025",5-yrs,"€ 13,900,000",Torino,Serie A,2020-2021
7,Nicolas N'Koulou,,"€ 53,462","€ 2,780,000",CB,30,Starter,"Jun 30, 2021",1-yr,"€ 2,780,000",Torino,Serie A,2020-2021
8,Tomás Rincón,,"€ 49,808","€ 2,590,000",DM,33,Starter,"Jun 30, 2022",2-yrs,"€ 5,180,000",Torino,Serie A,2020-2021
9,Daniele Baselli,,"€ 49,808","€ 2,590,000",CM,28,Reserve,"Jun 30, 2022",2-yrs,"€ 5,180,000",Torino,Serie A,2020-2021
10,Karol Linetty,,"€ 49,808","€ 2,590,000",CM,26,Starter,"Jun 30, 2024",4-yrs,"€ 10,360,000",Torino,Serie A,2020-2021
11,Cristian Ansaldi,,"€ 35,577","€ 1,850,000",LB,34,Starter,"Jun 30, 2022",2-yrs,"€ 3,700,000",Torino,Serie A,2020-2021
12,Federico Bonazzoli,,"€ 35,577","€ 1,850,000",CF,23,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Torino,Serie A,2020-2021
13,Sasa Lukic,,"€ 25,000","€ 1,300,000",CM,24,Reserve,"Jun 30, 2023",3-yrs,"€ 3,900,000",Torino,Serie A,2020-2021
14,Nicola Murru,,"€ 25,000","€ 1,300,000",LB,26,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Torino,Serie A,2020-2021
15,Lyanco,,"€ 21,346","€ 1,110,000",CB,24,Reserve,"Jun 30, 2024",4-yrs,"€ 4,440,000",Torino,Serie A,2020-2021
16,Rolando Mandragora,,"€ 21,346","€ 1,110,000",DM,23,Starter,"Jun 30, 2022",2-yrs,"€ 2,220,000",Torino,Serie A,2020-2021
17,Bremer,,"€ 17,885","€ 930,000",CB,23,Starter,"Jun 30, 2023",3-yrs,"€ 2,790,000",Torino,Serie A,2020-2021
18,Mërgim Vojvoda,,"€ 17,308","€ 900,000",RB,26,Starter,"Jun 30, 2024",4-yrs,"€ 3,600,000",Torino,Serie A,2020-2021
19,Amer Gojak,,"€ 17,308","€ 900,000",AM,23,Reserve,"Jun 30, 2021",1-yr,"€ 900,000",Torino,Serie A,2020-2021
20,Vanja Milinković-Savić,,"€ 14,231","€ 740,000",GK,23,Reserve,"Jun 30, 2024",4-yrs,"€ 2,960,000",Torino,Serie A,2020-2021
21,Samir Ujkani,,"€ 7,308","€ 380,000",GK,32,Reserve,"Jun 30, 2021",1-yr,"€ 380,000",Torino,Serie A,2020-2021
22,Alessandro Buongiorno,,"€ 7,115","€ 370,000",CB,21,Reserve,"Jun 30, 2024",4-yrs,"€ 1,480,000",Torino,Serie A,2020-2021
23,Wilfried Stephane Singo,,"€ 5,000","€ 260,000",RB,20,Reserve,"Jun 30, 2023",3-yrs,"€ 780,000",Torino,Serie A,2020-2021
24,Erick Ferigra,,"€ 2,885","€ 150,000",CB,21,Reserve,"Jun 30, 2021",1-yr,"€ 150,000",Torino,Serie A,2020-2021
