,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Roberto Soriano,,"€ 39,423","€ 2,050,000",AM,29,Starter,"Jun 30, 2023",3-yrs,"€ 6,150,000",Bologna,Serie A,2020-2021
1,Nicola Sansone,,"€ 39,423","€ 2,050,000",LW,29,Reserve,"Jun 30, 2023",3-yrs,"€ 6,150,000",Bologna,Serie A,2020-2021
2,Andrea Poli,,"€ 39,231","€ 2,040,000",CM,31,Reserve,"Jun 30, 2022",2-yrs,"€ 4,080,000",Bologna,Serie A,2020-2021
3,Riccardo Orsolini,,"€ 39,231","€ 2,040,000",RW,24,Reserve,"Jun 30, 2022",2-yrs,"€ 4,080,000",Bologna,Serie A,2020-2021
4,Rodrigo Palacio,,"€ 39,231","€ 2,040,000",CF,38,Starter,"Jun 30, 2021",1-yr,"€ 2,040,000",Bologna,Serie A,2020-2021
5,Gary Medel,,"€ 36,923","€ 1,920,000",DM,33,Starter,"Jun 30, 2022",2-yrs,"€ 3,840,000",Bologna,Serie A,2020-2021
6,Federico Santander,,"€ 35,577","€ 1,850,000",CF,29,Reserve,"Jun 30, 2022",2-yrs,"€ 3,700,000",Bologna,Serie A,2020-2021
7,Lorenzo De Silvestri,,"€ 32,115","€ 1,670,000",RB,32,Starter,"Jun 30, 2022",2-yrs,"€ 3,340,000",Bologna,Serie A,2020-2021
8,Lukasz Skorupski,,"€ 32,115","€ 1,670,000",GK,29,Starter,"Jun 30, 2023",3-yrs,"€ 5,010,000",Bologna,Serie A,2020-2021
9,Adama Soumaoro,,"€ 30,962","€ 1,610,000",CB,28,Reserve,"Jun 30, 2021",1-yr,"€ 1,610,000",Bologna,Serie A,2020-2021
10,Musa Barrow,,"€ 28,462","€ 1,480,000",CF,22,Starter,"Jun 30, 2024",4-yrs,"€ 5,920,000",Bologna,Serie A,2020-2021
11,Mitchell Dijks,,"€ 28,462","€ 1,480,000",LB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 4,440,000",Bologna,Serie A,2020-2021
12,Ibrahima Mbaye,,"€ 26,731","€ 1,390,000",RB,26,Reserve,"Jun 30, 2023",3-yrs,"€ 4,170,000",Bologna,Serie A,2020-2021
13,Danilo,,"€ 19,808","€ 1,030,000",CB,36,Reserve,"Jun 30, 2021",1-yr,"€ 1,030,000",Bologna,Serie A,2020-2021
14,Andreas Skov Olsen,,"€ 19,808","€ 1,030,000",RW,21,Starter,"Jun 30, 2024",4-yrs,"€ 4,120,000",Bologna,Serie A,2020-2021
15,Paolo Faragò,,"€ 17,885","€ 930,000",RB,27,Reserve,"Jun 30, 2021",1-yr,"€ 930,000",Bologna,Serie A,2020-2021
16,Mattias Svanberg,,"€ 17,885","€ 930,000",CM,22,Starter,"Jun 30, 2023",3-yrs,"€ 2,790,000",Bologna,Serie A,2020-2021
17,Nicolás Domínguez,,"€ 17,308","€ 900,000",CM,22,Reserve,"Jun 30, 2024",4-yrs,"€ 3,600,000",Bologna,Serie A,2020-2021
18,Valentin Antov,,"€ 14,808","€ 770,000",CB,20,Reserve,"Jun 30, 2021",1-yr,"€ 770,000",Bologna,Serie A,2020-2021
19,Takehiro Tomiyasu,,"€ 14,808","€ 770,000",CB,22,Starter,"Jun 30, 2024",4-yrs,"€ 3,080,000",Bologna,Serie A,2020-2021
20,Angelo da Costa,,"€ 12,500","€ 650,000",GK,37,Reserve,"Jun 30, 2021",1-yr,"€ 650,000",Bologna,Serie A,2020-2021
21,Jerdy Schouten,,"€ 12,308","€ 640,000",CM,24,Starter,"Jun 30, 2024",4-yrs,"€ 2,560,000",Bologna,Serie A,2020-2021
22,Aaron Hickey,,"€ 11,154","€ 580,000",LB,18,Starter,"Jun 30, 2024",4-yrs,"€ 2,320,000",Bologna,Serie A,2020-2021
23,Emanuel Vignato,,"€ 10,769","€ 560,000",RW,20,Reserve,"Jun 30, 2024",4-yrs,"€ 2,240,000",Bologna,Serie A,2020-2021
24,Andri Fannar Baldursson,,"€ 5,385","€ 280,000",CM,19,Reserve,"Jun 30, 2025",5-yrs,"€ 1,400,000",Bologna,Serie A,2020-2021
25,Federico Ravaglia,,"€ 1,154","€ 60,000",GK,21,Reserve,"Jun 30, 2023",3-yrs,"€ 180,000",Bologna,Serie A,2020-2021
26,Sebastian Breza,,"€ 1,154","€ 60,000",GK,22,Reserve,"Jun 30, 2021",1-yr,"€ 60,000",Bologna,Serie A,2020-2021
27,Edoardo Vergani,,€ 769,"€ 40,000",CF,19,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Bologna,Serie A,2020-2021
28,Musa Juwara,,€ 769,"€ 40,000",LW,19,Reserve,"Jun 30, 2024",4-yrs,"€ 160,000",Bologna,Serie A,2020-2021
