,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Adam Ounas,,"€ 35,577","€ 1,850,000",RW,24,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Crotone,Serie A,2020-2021
1,Sebastiano Luperto,,"€ 25,000","€ 1,300,000",CB,24,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Crotone,Serie A,2020-2021
2,Samuel Di Carmine,,"€ 25,000","€ 1,300,000",CF,32,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Crotone,Serie A,2020-2021
3,Arkadiusz Reca,,"€ 21,346","€ 1,110,000",LM,25,Starter,"Jun 30, 2021",1-yr,"€ 1,110,000",Crotone,Serie A,2020-2021
4,Simy,,"€ 21,346","€ 1,110,000",CF,28,Starter,"Jun 30, 2022",2-yrs,"€ 2,220,000",Crotone,Serie A,2020-2021
5,Lisandro Magallán,,"€ 18,462","€ 960,000",CB,27,Starter,"Jun 30, 2021",1-yr,"€ 960,000",Crotone,Serie A,2020-2021
6,Jacopo Petriccione,,"€ 17,885","€ 930,000",DM,25,Reserve,"Jun 30, 2024",4-yrs,"€ 3,720,000",Crotone,Serie A,2020-2021
7,Ahmad Benali,,"€ 16,346","€ 850,000",CM,28,Reserve,"Jun 30, 2023",3-yrs,"€ 2,550,000",Crotone,Serie A,2020-2021
8,Emmanuel Rivière,,"€ 15,962","€ 830,000",CF,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,660,000",Crotone,Serie A,2020-2021
9,Luca Cigarini,,"€ 15,192","€ 790,000",DM,34,Starter,"Jun 30, 2022",2-yrs,"€ 1,580,000",Crotone,Serie A,2020-2021
10,Luca Marrone,,"€ 14,231","€ 740,000",CB,30,Starter,"Jun 30, 2022",2-yrs,"€ 1,480,000",Crotone,Serie A,2020-2021
11,Andrea Rispoli,,"€ 13,269","€ 690,000",RM,32,Reserve,"Jun 30, 2022",2-yrs,"€ 1,380,000",Crotone,Serie A,2020-2021
12,Eduardo Henrique,,"€ 10,385","€ 540,000",DM,25,Reserve,"Jun 30, 2021",1-yr,"€ 540,000",Crotone,Serie A,2020-2021
13,Milos Vulic,,"€ 9,808","€ 510,000",CM,24,Starter,"Jun 30, 2023",3-yrs,"€ 1,530,000",Crotone,Serie A,2020-2021
14,Koffi Djidji,,"€ 9,038","€ 470,000",CB,28,Reserve,"Jun 30, 2021",1-yr,"€ 470,000",Crotone,Serie A,2020-2021
15,Vladimir Golemic,,"€ 8,654","€ 450,000",CB,29,Starter,"Jun 30, 2021",1-yr,"€ 450,000",Crotone,Serie A,2020-2021
16,Niccolò Zanellato,,"€ 7,885","€ 410,000",CM,22,Reserve,"Jun 30, 2021",1-yr,"€ 410,000",Crotone,Serie A,2020-2021
17,Pedro Pereira,,"€ 7,308","€ 380,000",RM,23,Starter,"Jun 30, 2021",1-yr,"€ 380,000",Crotone,Serie A,2020-2021
18,Salvatore Molina,,"€ 7,115","€ 370,000",RM,29,Starter,"Jun 30, 2023",3-yrs,"€ 1,110,000",Crotone,Serie A,2020-2021
19,Giuseppe Cuomo,,"€ 6,346","€ 330,000",CB,23,Reserve,"Jun 30, 2022",2-yrs,"€ 660,000",Crotone,Serie A,2020-2021
20,Alex Cordaz,,"€ 5,385","€ 280,000",GK,38,Starter,"Jun 30, 2022",2-yrs,"€ 560,000",Crotone,Serie A,2020-2021
21,Antonio Mazzotta,,"€ 5,385","€ 280,000",LM,31,Reserve,"Jun 30, 2021",1-yr,"€ 280,000",Crotone,Serie A,2020-2021
22,Luis Rojas,,"€ 5,000","€ 260,000",AM,18,Reserve,"Jun 30, 2024",4-yrs,"€ 1,040,000",Crotone,Serie A,2020-2021
23,Marco Festa,,"€ 3,846","€ 200,000",GK,28,Reserve,"Jun 30, 2022",2-yrs,"€ 400,000",Crotone,Serie A,2020-2021
24,Junior Messias,,"€ 3,846","€ 200,000",SS,29,Starter,"Jun 30, 2024",4-yrs,"€ 800,000",Crotone,Serie A,2020-2021
25,Denis Dragus,,"€ 3,654","€ 190,000",CF,21,Reserve,"Jun 30, 2021",1-yr,"€ 190,000",Crotone,Serie A,2020-2021
26,Gian Marco Crespi,,"€ 2,500","€ 130,000",GK,19,Reserve,"Jun 30, 2021",1-yr,"€ 130,000",Crotone,Serie A,2020-2021
27,Aristóteles Romero,,"€ 1,731","€ 90,000",DM,25,Reserve,"Jun 30, 2021",1-yr,"€ 90,000",Crotone,Serie A,2020-2021
28,Francesco D'Alterio,,€ 769,"€ 40,000",GK,18,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Crotone,Serie A,2020-2021
