,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Fernando Llorente,"€ 61,731","€ 3,210,000","€ 3,210,000",F,35,Spain,Udinese,Serie A,2020-2021
1,Rodrigo de Paul,"€ 35,577","€ 1,850,000","€ 1,850,000",F,26,Argentina,Udinese,Serie A,2020-2021
2,Kevin Lasagna,"€ 25,000","€ 1,300,000","€ 1,300,000",F,28,Italy,Udinese,Serie A,2020-2021
3,Mato Jajalo,"€ 25,000","€ 1,300,000","€ 1,300,000",M,32,Bosnia-Herzegovina,Udinese,Serie A,2020-2021
4,Ilija Nestorovski,"€ 25,000","€ 1,300,000","€ 1,300,000",F,30,North Macedonia,Udinese,Serie A,2020-2021
5,Roberto Pereyra,"€ 24,615","€ 1,280,000","€ 1,280,000",F,29,Argentina,Udinese,Serie A,2020-2021
6,Gerard Deulofeu,"€ 24,615","€ 1,280,000","€ 1,280,000",F,26,Spain,Udinese,Serie A,2020-2021
7,Rolando Mandragora,"€ 21,346","€ 1,110,000","€ 1,110,000",M,23,Italy,Udinese,Serie A,2020-2021
8,Bram Nuytinck,"€ 21,346","€ 1,110,000","€ 1,110,000",D,30,Netherlands,Udinese,Serie A,2020-2021
9,Sebastien De Maio,"€ 21,346","€ 1,110,000","€ 1,110,000",D,33,France,Udinese,Serie A,2020-2021
10,Juan Musso,"€ 21,346","€ 1,110,000","€ 1,110,000",K,26,Argentina,Udinese,Serie A,2020-2021
11,Stefano Okaka,"€ 19,808","€ 1,030,000","€ 1,030,000",F,31,Italy,Udinese,Serie A,2020-2021
12,Samir,"€ 17,885","€ 930,000","€ 930,000",D,25,Brazil,Udinese,Serie A,2020-2021
13,Jens Stryger Larsen,"€ 17,885","€ 930,000","€ 930,000",D,29,Denmark,Udinese,Serie A,2020-2021
14,Ignacio Pussetto,"€ 17,885","€ 930,000","€ 930,000",F,24,Argentina,Udinese,Serie A,2020-2021
15,Rodrigo Becão,"€ 14,808","€ 770,000","€ 770,000",D,24,Brazil,Udinese,Serie A,2020-2021
16,Tolgay Arslan,"€ 14,808","€ 770,000","€ 770,000",M,30,Germany,Udinese,Serie A,2020-2021
17,Kevin Bonifazi,"€ 14,231","€ 740,000","€ 740,000",D,24,Italy,Udinese,Serie A,2020-2021
18,Felipe Vizeu,"€ 12,500","€ 650,000","€ 650,000",F,23,Brazil,Udinese,Serie A,2020-2021
19,Walace,"€ 12,308","€ 640,000","€ 640,000",M,25,Brazil,Udinese,Serie A,2020-2021
20,Fernando Forestieri,"€ 12,308","€ 640,000","€ 640,000",F,30,Italy,Udinese,Serie A,2020-2021
21,Marvin Zeegelaar,"€ 12,308","€ 640,000","€ 640,000",D,30,Netherlands,Udinese,Serie A,2020-2021
22,Cristo,"€ 12,115","€ 630,000","€ 630,000",F,22,Spain,Udinese,Serie A,2020-2021
23,Ewandro Costa,"€ 10,769","€ 560,000","€ 560,000",F,24,Brazil,Udinese,Serie A,2020-2021
24,Hidde ter Avest,"€ 10,769","€ 560,000","€ 560,000",D,23,Netherlands,Udinese,Serie A,2020-2021
25,Thomas Ouwejan,"€ 9,808","€ 510,000","€ 510,000",D,24,Netherlands,Udinese,Serie A,2020-2021
26,Simone Scuffet,"€ 8,846","€ 460,000","€ 460,000",K,24,Italy,Udinese,Serie A,2020-2021
27,Jean-Victor Makengo,"€ 7,308","€ 380,000","€ 380,000",M,22,France,Udinese,Serie A,2020-2021
28,Nahuel Molina,"€ 7,308","€ 380,000","€ 380,000",D,22,Argentina,Udinese,Serie A,2020-2021
29,Nícolas,"€ 7,115","€ 370,000","€ 370,000",K,32,Brazil,Udinese,Serie A,2020-2021
30,Mamadou Coulibaly,"€ 7,115","€ 370,000","€ 370,000",M,21,Senegal,Udinese,Serie A,2020-2021
31,Jayden Braaf,"€ 5,000","€ 260,000","€ 260,000",F,18,Netherlands,Udinese,Serie A,2020-2021
32,Sebastian Prödl,"€ 5,000","€ 260,000","€ 260,000",D,33,Austria,Udinese,Serie A,2020-2021
33,Petar Micin,"€ 3,654","€ 190,000","€ 190,000",F,22,Serbia,Udinese,Serie A,2020-2021
34,Manuel Gasparini,"€ 2,500","€ 130,000","€ 130,000",K,18,Italy,Udinese,Serie A,2020-2021
35,Martin Palumbo,"€ 1,346","€ 70,000","€ 70,000",M,18,Norway,Udinese,Serie A,2020-2021
